chart,version,post_deploy_hooks,other_hooks,hook_status,hook_route_evidence,hook_route_next_action,generates_secrets,existing_secret,crds,no_crds_variant,webhooks,required_values,values_schema,install_vs_upgrade,notes,extension_slots,dependency_lock,remote_dependency_risk,dependency_range_policy,dependency_refresh_survival,variants_built,buildable_not_yet_run,not_yet_enabled
prometheus-community/prometheus-pushgateway,3.6.0,—,—,—,—,—,yes,n/a (generated only),—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),—,—,yes — NOTES.txt,yes — per-use review,empty closure; no dependency provenance,—,not-needed,—,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
prometheus-community/prometheus,29.8.0,—,—,—,—,—,yes,n/a (generated only),—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),yes — values.schema.json,—,yes — NOTES.txt,yes — per-use review,locked 4 deps; Chart.lock digest,4 remote repos; 4 non-exact constraints; vendored subcharts,freeze-to-chart-lock,candidate-visible:candidate-proof-complete-root-path-present,default+server-only-ephemeral,—,ha (curated proof lane — bespoke teaching needed)
rook-release/rook-ceph-cluster,v1.19.5,—,—,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,—,—,—,—,yes — per-use review,locked 1 deps; no dependency provenance,—,not-needed,—,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
rook-release/rook-ceph,v1.19.5,—,—,—,—,—,—,n/a,yes,NOT built - template-baked CRDs; no clean chart toggle yet,—,—,—,—,—,—,locked 2 deps; no dependency provenance,—,not-needed,—,default,—,no-crds (template-baked CRDs; no clean chart toggle yet)
runix/pgadmin4,1.62.0,—,—,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,yes — mandatory inputs (required/fail),—,—,yes — NOTES.txt,yes — per-use review,empty closure; no dependency provenance,—,not-needed,—,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
sealed-secrets/sealed-secrets,2.18.6,—,—,—,—,—,—,buildable — not yet run,yes,built,—,—,—,—,—,yes — per-use review,empty closure; no dependency provenance,—,not-needed,—,default+no-crds,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
secrets-store-csi-driver/secrets-store-csi-driver,1.6.0,—,—,—,—,—,—,n/a,—,buildable — not yet run,—,—,—,—,—,yes — per-use review,empty closure; no dependency provenance,—,not-needed,—,default+sync-secret-rotation,no-crds (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
stakater/reloader,2.2.12,—,—,—,—,—,—,n/a,—,n/a (no CRDs),—,—,yes — values.schema.json,—,yes — NOTES.txt,yes — per-use review,empty closure; no dependency provenance,—,not-needed,—,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
strimzi/strimzi-kafka-operator,1.0.0,—,—,—,—,—,—,n/a,10,built,—,—,—,—,yes — NOTES.txt,yes — per-use review,empty closure; no dependency provenance,—,not-needed,—,default+no-crds,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
traefik/traefik,40.2.0,—,—,—,—,—,yes,NOT built - chart ships no Secret toggle,25,built,2,yes — mandatory inputs (required/fail),yes — values.schema.json,—,yes — NOTES.txt,yes — per-use review,empty closure; no dependency provenance,—,not-needed,—,default+no-crds,—,existing-secret (chart ships no Secret toggle)
velero/velero,12.0.1,—,—,—,—,—,—,buildable — not yet run,yes,built,—,—,—,—,—,yes — per-use review,empty closure; no dependency provenance,—,not-needed,—,default+no-crds,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
vm/victoria-logs-single,0.12.5,—,—,—,—,—,—,buildable — not yet run,—,n/a (no CRDs),—,—,—,—,—,yes — per-use review,locked 2 deps; no dependency provenance,—,not-needed,—,default,existing-secret (buildable — not yet run),— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
vm/victoria-metrics-single,0.39.0,—,—,—,—,—,—,n/a,—,n/a (no CRDs),—,—,—,—,—,yes — per-use review,locked 1 deps; no dependency provenance,—,not-needed,—,default,—,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2)
