source_queue,chart,version,base,lane,current_result,gap_kind,resolution_path,variant_role,recommended_variant_or_action,existing_off_ramp,first_step,evidence_needed,rerun_command,source_evidence
target-prerequisite,nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,4.0.18,default,K,blocked,unknown,new-base-variant-after-input-identification,base variant if rendered objects change,"identify the missing input, then decide whether it belongs in a base variant or a target fact",,"replace the unknown prerequisite with a named chart value, Secret, namespace, CRD, or external dependency",the missing input(s) supplied and the re-render matching regular Helm; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart nfs-subdir-external-provisioner/nfs-subdir-external-provisioner --version 4.0.18 --base default,runs/live-kind-parity/nfs-subdir-external-provisioner-nfs-subdir-external-provisioner-default/receipt.yaml
target-prerequisite,opencost/opencost,2.5.21,default,G/P,watch,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/opencost/opencost/2.5.21 --base default,runs/live-helm-confighub-compare/opencost-opencost-default/receipt.yaml
target-prerequisite,opencost/opencost,2.5.21,default,K,blocked,unknown,operator-review-first,no variant until cause is known,review the runtime residue before creating a variant,,inspect pod events/logs and classify the missing condition before modeling a base or target fact,an operator decision recorded for this base/target; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart opencost/opencost --version 2.5.21 --base default,runs/live-kind-parity/opencost-opencost-default/receipt.yaml
target-prerequisite,percona/pg-operator,3.0.0,no-crds,K,watch,crd,crd-ownership-base-or-target-action,CRD ownership base plus target prerequisite,"use a CRD-rendering base, or keep no-crds as external-crds with the CRDs staged first",,choose whether this target owns CRDs through the base or through an external prerequisite,the required CRDs Established on the target before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart percona/pg-operator --version 3.0.0 --base no-crds,runs/live-kind-parity/percona-pg-operator-no-crds/receipt.yaml
target-prerequisite,percona/pxc-operator,1.19.1,no-crds,K,watch,external-api,stack-or-target-fact-variant,stack-derived variant,"bind the upstream endpoint as a target fact, or create a stack variant that includes the dependency",,"identify the upstream service or API the workload expects, then encode it as a target fact or stack dependency",the upstream service/endpoint reachable from the workload; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart percona/pxc-operator --version 1.19.1 --base no-crds,runs/live-kind-parity/percona-pxc-operator-no-crds/receipt.yaml
target-prerequisite,projectcalico/tigera-operator,v3.32.0,default,K,blocked,crd,crd-ownership-base-or-target-action,CRD ownership base plus target prerequisite,"use a CRD-rendering base, or keep default as external-crds with the CRDs staged first",,choose whether this target owns CRDs through the base or through an external prerequisite,the required CRDs Established on the target before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart projectcalico/tigera-operator --version v3.32.0 --base default,runs/live-kind-parity/projectcalico-tigera-operator-default/receipt.yaml
target-prerequisite,prometheus-community/prometheus-adapter,5.3.0,cluster-metrics-readonly,K,blocked,crd,crd-ownership-base-or-target-action,CRD ownership base plus target prerequisite,"use a CRD-rendering base, or keep cluster-metrics-readonly as external-crds with the CRDs staged first",,choose whether this target owns CRDs through the base or through an external prerequisite,the required CRDs Established on the target before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart prometheus-community/prometheus-adapter --version 5.3.0 --base cluster-metrics-readonly,runs/live-kind-parity/prometheus-community-prometheus-adapter-cluster-metrics-readonly/receipt.yaml
target-prerequisite,prometheus-community/prometheus-adapter,5.3.0,default,K,blocked,crd,crd-ownership-base-or-target-action,CRD ownership base plus target prerequisite,"use a CRD-rendering base, or keep default as external-crds with the CRDs staged first",,choose whether this target owns CRDs through the base or through an external prerequisite,the required CRDs Established on the target before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart prometheus-community/prometheus-adapter --version 5.3.0 --base default,runs/live-kind-parity/prometheus-community-prometheus-adapter-default/receipt.yaml
target-prerequisite,rook-release/rook-ceph-cluster,v1.19.5,default,G/P,blocked,namespace,derived-target-variant,target-bound derived variant,stage Namespace rook-ceph before delivery and attach the namespace choice to the target variant,,create the Namespace or make namespace creation an explicit preflight step for this target,the named Namespace exists on the target before apply; then a fresh G/P parity receipt for this base,npm run live-parity:run -- --recipe recipes/rook-release/rook-ceph-cluster/v1.19.5 --base default,runs/live-helm-confighub-compare/rook-release-rook-ceph-cluster-default/receipt.yaml
target-prerequisite,rook-release/rook-ceph-cluster,v1.19.5,default,K,blocked,namespace,derived-target-variant,target-bound derived variant,stage Namespace rook-ceph before delivery and attach the namespace choice to the target variant,,create the Namespace or make namespace creation an explicit preflight step for this target,the named Namespace exists on the target before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart rook-release/rook-ceph-cluster --version v1.19.5 --base default,runs/live-kind-parity/rook-release-rook-ceph-cluster-default/receipt.yaml
target-prerequisite,strimzi/strimzi-kafka-operator,1.0.0,no-crds,K,watch,namespace,derived-target-variant,target-bound derived variant,stage the namespace prerequisite before delivery and attach the namespace choice to the target variant,,create the Namespace or make namespace creation an explicit preflight step for this target,the named Namespace exists on the target before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart strimzi/strimzi-kafka-operator --version 1.0.0 --base no-crds,runs/live-kind-parity/strimzi-strimzi-kafka-operator-no-crds/receipt.yaml
target-prerequisite,velero/velero,12.0.1,no-crds,K,blocked,crd,crd-ownership-base-or-target-action,CRD ownership base plus target prerequisite,"use a CRD-rendering base, or keep no-crds as external-crds with the CRDs staged first",,choose whether this target owns CRDs through the base or through an external prerequisite,the required CRDs Established on the target before apply; then a fresh K parity receipt for this base,npm run kind-parity:run -- --chart velero/velero --version 12.0.1 --base no-crds,runs/live-kind-parity/velero-velero-no-crds/receipt.yaml
