rank,chart,version,user_status,chart_use_answer,first_base,catalog_path,current_proof,proof_lane_rows,proof_lane_summary,variant_revisions,recipe_paths,package_paths,coverage_status,coverage_evidence,hooks_route,hooks_evidence,quirks,quirk_route,quirk_evidence,runtime_gitops_results,runtime_gitops_receipts,gitops_health_residue,gitops_health_residue_evidence,live_compare_receipts,production_decisions,production_decision_paths,top500_route,user_must_provide,routed_or_absorbed,next_action
44,bitnami/spark,10.0.3,not-ready-yet,decision-needed-first,default,recipes/bitnami/spark/10.0.3/CATALOG.md,"proof-grade-with-named-limitation (render parity 2/2, local live 0/2, live parity 0/2)",default;ha,default render=pass confighub=missing local=blocked gitops=missing live-parity=missing two-cluster=missing; ha render=pass confighub=missing local=blocked gitops=missing live-parity=missing two-cluster=missing,recipes/bitnami/spark/10.0.3/revisions/default/r001/variant-revision.yaml;recipes/bitnami/spark/10.0.3/revisions/ha/r001/variant-revision.yaml,recipes/bitnami/spark/10.0.3,packages/bitnami/spark/10.0.3,partial,recipes/bitnami/spark/10.0.3/source-lock.yaml;recipes/bitnami/spark/10.0.3/CATALOG.md;recipes/bitnami/spark/10.0.3/revisions/default/r001/variant-revision.yaml;recipes/bitnami/spark/10.0.3/helm-pain-report.yaml;recipes/bitnami/spark/10.0.3/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/bitnami/spark/10.0.3/value-model.yaml;recipes/bitnami/spark/10.0.3/helm-plan.yaml;recipes/bitnami/spark/10.0.3/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/top100-readiness/readiness.csv;limitation-review;site/catalog.json,,,generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;lookup;generated-facts;tpl;capabilities;storage,,,,,,,,,,rank 101: proof-grade: next80-full:2 revision(s): not-reviewed-for-production: run catalog promotion review,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; target facts at variant time; a decision on the named limitation before use,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,review limitation before promotion: existing-secret (chart ships no Secret toggle)
45,elastic/logstash,8.5.1,works-with-operator-review,not-yet-public-catalog-proof-ready,default,recipes/elastic/logstash/8.5.1/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 1/2, live parity 2/2)",default;ha,default render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=pass; ha render=pass confighub=pass local=fail gitops=pass live-parity=pass two-cluster=missing,recipes/elastic/logstash/8.5.1/revisions/default/r001/variant-revision.yaml;recipes/elastic/logstash/8.5.1/revisions/ha/r001/variant-revision.yaml,recipes/elastic/logstash/8.5.1,packages/elastic/logstash/8.5.1,partial,recipes/elastic/logstash/8.5.1/source-lock.yaml;recipes/elastic/logstash/8.5.1/CATALOG.md;recipes/elastic/logstash/8.5.1/revisions/default/r001/variant-revision.yaml;recipes/elastic/logstash/8.5.1/helm-pain-report.yaml;recipes/elastic/logstash/8.5.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/elastic/logstash/8.5.1/value-model.yaml;recipes/elastic/logstash/8.5.1/helm-plan.yaml;recipes/elastic/logstash/8.5.1/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,extension-slots;tpl;capabilities;storage,,,,,,,runs/live-helm-confighub-compare/elastic-logstash-default/receipt.yaml;runs/live-helm-confighub-compare/elastic-logstash-ha/receipt.yaml,,,rank 107: proof-grade: next80-full:2 revision(s): not-reviewed-for-production: run catalog promotion review,a StorageClass / storage decision,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,run catalog promotion review
46,prometheus-community/prometheus-adapter,5.3.0,not-ready-yet,decision-needed-first,default,recipes/prometheus-community/prometheus-adapter/5.3.0/CATALOG.md,"proof-grade-with-named-limitation (render parity 2/2, local live 0/2, live parity 0/2)",cluster-metrics-readonly;default,cluster-metrics-readonly render=pass confighub=pass local=blocked gitops=missing live-parity=missing two-cluster=missing; default render=pass confighub=pass local=blocked gitops=missing live-parity=missing two-cluster=missing,recipes/prometheus-community/prometheus-adapter/5.3.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml;recipes/prometheus-community/prometheus-adapter/5.3.0/revisions/default/r001/variant-revision.yaml,recipes/prometheus-community/prometheus-adapter/5.3.0,packages/prometheus-community/prometheus-adapter/5.3.0,partial,recipes/prometheus-community/prometheus-adapter/5.3.0/source-lock.yaml;recipes/prometheus-community/prometheus-adapter/5.3.0/CATALOG.md;recipes/prometheus-community/prometheus-adapter/5.3.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml;recipes/prometheus-community/prometheus-adapter/5.3.0/helm-pain-report.yaml;recipes/prometheus-community/prometheus-adapter/5.3.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/prometheus-community/prometheus-adapter/5.3.0/value-model.yaml;recipes/prometheus-community/prometheus-adapter/5.3.0/helm-plan.yaml;recipes/prometheus-community/prometheus-adapter/5.3.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/top100-readiness/readiness.csv;site/catalog.json,,,extension-slots;tpl;capabilities;rbac,,,,,,,,,,rank 118: proof-grade: next80-full:1 revision(s): not-reviewed-for-production: add user-shaped variants before catalog promotion,a compatible Kubernetes target profile or a compatibility base,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,"Promote this candidate into a maintained base, then run ConfigHub proof, local live, live Helm-vs-ConfigHub parity, and the APIService runtime contract before catalog promotion."
47,projectcalico/tigera-operator,v3.32.0,needs-better-base-variant,not-yet-user-ready,default,recipes/projectcalico/tigera-operator/v3.32.0/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default,default render=pass confighub=pass local=blocked gitops=missing live-parity=missing two-cluster=missing,recipes/projectcalico/tigera-operator/v3.32.0/revisions/default/r001/variant-revision.yaml,recipes/projectcalico/tigera-operator/v3.32.0,packages/projectcalico/tigera-operator/v3.32.0,partial,recipes/projectcalico/tigera-operator/v3.32.0/source-lock.yaml;recipes/projectcalico/tigera-operator/v3.32.0/CATALOG.md;recipes/projectcalico/tigera-operator/v3.32.0/revisions/default/r001/variant-revision.yaml;recipes/projectcalico/tigera-operator/v3.32.0/helm-pain-report.yaml;recipes/projectcalico/tigera-operator/v3.32.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/projectcalico/tigera-operator/v3.32.0/value-model.yaml;recipes/projectcalico/tigera-operator/v3.32.0/helm-plan.yaml;recipes/projectcalico/tigera-operator/v3.32.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/top100-readiness/readiness.csv;site/catalog.json,,,hooks;required-values;lookup;rbac,,,,,,,,,,rank 126: proof-grade: next80-full:1 revision(s): not-reviewed-for-production: add user-shaped variants before catalog promotion,"target facts at variant time; mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; hooks classified and routed (not silently executed); cluster lookups lifted into declared target facts,add at least one user-shaped variant before catalog promotion
48,fairwinds-stable/goldilocks,10.3.0,needs-better-base-variant,not-yet-user-ready,default,recipes/fairwinds-stable/goldilocks/10.3.0/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,default render=pass confighub=pass local=pass gitops=missing live-parity=missing two-cluster=missing,recipes/fairwinds-stable/goldilocks/10.3.0/revisions/default/r001/variant-revision.yaml,recipes/fairwinds-stable/goldilocks/10.3.0,packages/fairwinds-stable/goldilocks/10.3.0,partial,recipes/fairwinds-stable/goldilocks/10.3.0/source-lock.yaml;recipes/fairwinds-stable/goldilocks/10.3.0/CATALOG.md;recipes/fairwinds-stable/goldilocks/10.3.0/revisions/default/r001/variant-revision.yaml;recipes/fairwinds-stable/goldilocks/10.3.0/helm-pain-report.yaml;recipes/fairwinds-stable/goldilocks/10.3.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/fairwinds-stable/goldilocks/10.3.0/value-model.yaml;recipes/fairwinds-stable/goldilocks/10.3.0/helm-plan.yaml;recipes/fairwinds-stable/goldilocks/10.3.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,crds;generated-secrets;existing-secret;webhooks;extension-slots;lookup;generated-facts;tpl;capabilities;rbac,,,,,,,,,,rank 130: proof-grade: next80-full:1 revision(s): not-reviewed-for-production: add user-shaped variants before catalog promotion,"an existing Secret for some bases (NOT built - chart ships no Secret toggle); a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; target facts at variant time; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; CRD handling split into explicit bases; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,add at least one user-shaped variant before catalog promotion
49,prometheus-community/prometheus-operator-crds,29.0.0,needs-better-base-variant,not-yet-user-ready,default,recipes/prometheus-community/prometheus-operator-crds/29.0.0/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,default render=pass confighub=missing local=pass gitops=missing live-parity=missing two-cluster=missing,recipes/prometheus-community/prometheus-operator-crds/29.0.0/revisions/default/r001/variant-revision.yaml,recipes/prometheus-community/prometheus-operator-crds/29.0.0,packages/prometheus-community/prometheus-operator-crds/29.0.0,partial,recipes/prometheus-community/prometheus-operator-crds/29.0.0/source-lock.yaml;recipes/prometheus-community/prometheus-operator-crds/29.0.0/CATALOG.md;recipes/prometheus-community/prometheus-operator-crds/29.0.0/revisions/default/r001/variant-revision.yaml;recipes/prometheus-community/prometheus-operator-crds/29.0.0/helm-pain-report.yaml;recipes/prometheus-community/prometheus-operator-crds/29.0.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/prometheus-community/prometheus-operator-crds/29.0.0/value-model.yaml;recipes/prometheus-community/prometheus-operator-crds/29.0.0/helm-plan.yaml;recipes/prometheus-community/prometheus-operator-crds/29.0.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,crds;existing-secret;generated-facts,,,,,,,,,,rank 133: proof-grade: next80-full:1 revision(s): not-reviewed-for-production: add user-shaped variants before catalog promotion,"an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base); target facts at variant time; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; CRD handling split into explicit bases; cluster lookups lifted into declared target facts,add at least one user-shaped variant before catalog promotion
50,bitnami/zookeeper,13.8.7,not-ready-yet,decision-needed-first,default,recipes/bitnami/zookeeper/13.8.7/CATALOG.md,"proof-grade-with-named-limitation (render parity 2/2, local live 0/2, live parity 0/2)",default;ha,default render=pass confighub=missing local=blocked gitops=missing live-parity=missing two-cluster=missing; ha render=pass confighub=missing local=blocked gitops=missing live-parity=missing two-cluster=missing,recipes/bitnami/zookeeper/13.8.7/revisions/default/r001/variant-revision.yaml;recipes/bitnami/zookeeper/13.8.7/revisions/ha/r001/variant-revision.yaml,recipes/bitnami/zookeeper/13.8.7,packages/bitnami/zookeeper/13.8.7,partial,recipes/bitnami/zookeeper/13.8.7/source-lock.yaml;recipes/bitnami/zookeeper/13.8.7/CATALOG.md;recipes/bitnami/zookeeper/13.8.7/revisions/default/r001/variant-revision.yaml;recipes/bitnami/zookeeper/13.8.7/helm-pain-report.yaml;recipes/bitnami/zookeeper/13.8.7/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/bitnami/zookeeper/13.8.7/value-model.yaml;recipes/bitnami/zookeeper/13.8.7/helm-plan.yaml;recipes/bitnami/zookeeper/13.8.7/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/top100-readiness/readiness.csv;limitation-review;site/catalog.json,,,generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;lookup;generated-facts;tpl;capabilities;storage,,,,,,,,,,rank 139: proof-grade: next80-full:2 revision(s): not-reviewed-for-production: run catalog promotion review,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; target facts at variant time; a decision on the named limitation before use,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,review limitation before promotion: existing-secret (chart ships no Secret toggle)
51,elastic/filebeat,8.5.1,works-with-operator-review,not-yet-public-catalog-proof-ready,default,recipes/elastic/filebeat/8.5.1/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",default;node-or-cluster-collector,default render=pass confighub=pass local=blocked gitops=missing live-parity=missing two-cluster=missing; node-or-cluster-collector render=pass confighub=pass local=blocked gitops=missing live-parity=missing two-cluster=missing,recipes/elastic/filebeat/8.5.1/revisions/default/r001/variant-revision.yaml;recipes/elastic/filebeat/8.5.1/revisions/node-or-cluster-collector/r001/variant-revision.yaml,recipes/elastic/filebeat/8.5.1,packages/elastic/filebeat/8.5.1,partial,recipes/elastic/filebeat/8.5.1/source-lock.yaml;recipes/elastic/filebeat/8.5.1/CATALOG.md;recipes/elastic/filebeat/8.5.1/revisions/default/r001/variant-revision.yaml;recipes/elastic/filebeat/8.5.1/helm-pain-report.yaml;recipes/elastic/filebeat/8.5.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/elastic/filebeat/8.5.1/value-model.yaml;recipes/elastic/filebeat/8.5.1/helm-plan.yaml;recipes/elastic/filebeat/8.5.1/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/top100-readiness/readiness.csv;site/catalog.json,,,extension-slots;tpl;rbac,,,,,,,,,,rank 140: proof-grade: next80-full:1 revision(s): not-reviewed-for-production: add user-shaped variants before catalog promotion,nothing beyond a cluster and namespace,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,run catalog promotion review
52,hashicorp/terraform,1.1.2,works-with-operator-review,not-yet-public-catalog-proof-ready,default,recipes/hashicorp/terraform/1.1.2/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",default;no-crds,default render=pass confighub=pass local=blocked gitops=missing live-parity=missing two-cluster=missing; no-crds render=pass confighub=pass local=blocked gitops=missing live-parity=missing two-cluster=missing,recipes/hashicorp/terraform/1.1.2/revisions/default/r001/variant-revision.yaml;recipes/hashicorp/terraform/1.1.2/revisions/no-crds/r001/variant-revision.yaml,recipes/hashicorp/terraform/1.1.2,packages/hashicorp/terraform/1.1.2,partial,recipes/hashicorp/terraform/1.1.2/source-lock.yaml;recipes/hashicorp/terraform/1.1.2/CATALOG.md;recipes/hashicorp/terraform/1.1.2/revisions/default/r001/variant-revision.yaml;recipes/hashicorp/terraform/1.1.2/helm-pain-report.yaml;recipes/hashicorp/terraform/1.1.2/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/hashicorp/terraform/1.1.2/value-model.yaml;recipes/hashicorp/terraform/1.1.2/helm-plan.yaml;recipes/hashicorp/terraform/1.1.2/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/top100-readiness/readiness.csv;site/catalog.json,,,crds;required-values,,,,,,,,,,rank 141: proof-grade: next80-full:2 revision(s): not-reviewed-for-production: run catalog promotion review,a CRD ownership choice (crds vs no-crds base); mandatory chart inputs,exact rendered objects with render parity and receipts; CRD handling split into explicit bases,run catalog promotion review
53,coredns/coredns,1.45.2,needs-better-base-variant,not-yet-user-ready,default,recipes/coredns/coredns/1.45.2/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,default render=pass confighub=pass local=pass gitops=missing live-parity=missing two-cluster=pass,recipes/coredns/coredns/1.45.2/revisions/default/r001/variant-revision.yaml,recipes/coredns/coredns/1.45.2,packages/coredns/coredns/1.45.2,partial,recipes/coredns/coredns/1.45.2/source-lock.yaml;recipes/coredns/coredns/1.45.2/CATALOG.md;recipes/coredns/coredns/1.45.2/revisions/default/r001/variant-revision.yaml;recipes/coredns/coredns/1.45.2/helm-pain-report.yaml;recipes/coredns/coredns/1.45.2/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/coredns/coredns/1.45.2/value-model.yaml;recipes/coredns/coredns/1.45.2/helm-plan.yaml;recipes/coredns/coredns/1.45.2/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,existing-secret;extension-slots;required-values;generated-facts;tpl;capabilities;rbac,,,,,,,,,,rank 143: proof-grade: next80-full:1 revision(s): not-reviewed-for-production: add user-shaped variants before catalog promotion,"an existing Secret for some bases (buildable — not yet run); target facts at variant time; mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,add at least one user-shaped variant before catalog promotion
54,fairwinds-stable/vpa,4.11.0,works-with-operator-review,not-yet-public-catalog-proof-ready,default,recipes/fairwinds-stable/vpa/4.11.0/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 2/2)",default;no-crds,default render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=missing; no-crds render=pass confighub=pass local=pass gitops=pass live-parity=pass two-cluster=missing,recipes/fairwinds-stable/vpa/4.11.0/revisions/default/r001/variant-revision.yaml;recipes/fairwinds-stable/vpa/4.11.0/revisions/no-crds/r001/variant-revision.yaml,recipes/fairwinds-stable/vpa/4.11.0,packages/fairwinds-stable/vpa/4.11.0,partial,recipes/fairwinds-stable/vpa/4.11.0/source-lock.yaml;recipes/fairwinds-stable/vpa/4.11.0/CATALOG.md;recipes/fairwinds-stable/vpa/4.11.0/revisions/default/r001/variant-revision.yaml;recipes/fairwinds-stable/vpa/4.11.0/helm-pain-report.yaml;recipes/fairwinds-stable/vpa/4.11.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/fairwinds-stable/vpa/4.11.0/value-model.yaml;recipes/fairwinds-stable/vpa/4.11.0/helm-plan.yaml;recipes/fairwinds-stable/vpa/4.11.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,crds;webhooks;extension-slots;lookup;tpl;capabilities;rbac,,,,,,,runs/live-helm-confighub-compare/fairwinds-stable-vpa-default/receipt.yaml;runs/live-helm-confighub-compare/fairwinds-stable-vpa-no-crds/receipt.yaml,,,rank 148: proof-grade: next80-full:2 revision(s): not-reviewed-for-production: run catalog promotion review,a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; target facts at variant time,exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,review APIService render-path notes: current maintained bases do not render APIService objects; create a separate APIService-enabled base only if product chooses that path
55,bitnami/phpmyadmin,20.0.0,needs-better-base-variant,not-yet-user-ready,default,recipes/bitnami/phpmyadmin/20.0.0/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default,default render=pass confighub=missing local=blocked gitops=missing live-parity=missing two-cluster=missing,recipes/bitnami/phpmyadmin/20.0.0/revisions/default/r001/variant-revision.yaml,recipes/bitnami/phpmyadmin/20.0.0,packages/bitnami/phpmyadmin/20.0.0,partial,recipes/bitnami/phpmyadmin/20.0.0/source-lock.yaml;recipes/bitnami/phpmyadmin/20.0.0/CATALOG.md;recipes/bitnami/phpmyadmin/20.0.0/revisions/default/r001/variant-revision.yaml;recipes/bitnami/phpmyadmin/20.0.0/helm-pain-report.yaml;recipes/bitnami/phpmyadmin/20.0.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/bitnami/phpmyadmin/20.0.0/value-model.yaml;recipes/bitnami/phpmyadmin/20.0.0/helm-plan.yaml;recipes/bitnami/phpmyadmin/20.0.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/top100-readiness/readiness.csv;user-shaped-variant-backlog;site/catalog.json,,,generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;storage,,,,,,,,,,rank 162: proof-grade: next80-full:1 revision(s): not-reviewed-for-production: add user-shaped variants before catalog promotion,"an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; target facts at variant time; mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,add at least one user-shaped variant before catalog promotion
56,prometheus-community/prometheus-pushgateway,3.6.0,needs-better-base-variant,not-yet-user-ready,default,recipes/prometheus-community/prometheus-pushgateway/3.6.0/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,default render=pass confighub=missing local=pass gitops=missing live-parity=missing two-cluster=missing,recipes/prometheus-community/prometheus-pushgateway/3.6.0/revisions/default/r001/variant-revision.yaml,recipes/prometheus-community/prometheus-pushgateway/3.6.0,packages/prometheus-community/prometheus-pushgateway/3.6.0,partial,recipes/prometheus-community/prometheus-pushgateway/3.6.0/source-lock.yaml;recipes/prometheus-community/prometheus-pushgateway/3.6.0/CATALOG.md;recipes/prometheus-community/prometheus-pushgateway/3.6.0/revisions/default/r001/variant-revision.yaml;recipes/prometheus-community/prometheus-pushgateway/3.6.0/helm-pain-report.yaml;recipes/prometheus-community/prometheus-pushgateway/3.6.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/prometheus-community/prometheus-pushgateway/3.6.0/value-model.yaml;recipes/prometheus-community/prometheus-pushgateway/3.6.0/helm-plan.yaml;recipes/prometheus-community/prometheus-pushgateway/3.6.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,generated-secrets;extension-slots;required-values;tpl;storage,,,,,,,,,,rank 167: proof-grade: next80-full:1 revision(s): not-reviewed-for-production: add user-shaped variants before catalog promotion,"a StorageClass / storage decision; mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion
57,fluent/fluentd,0.5.3,needs-better-base-variant,not-yet-user-ready,default,recipes/fluent/fluentd/0.5.3/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,default render=pass confighub=pass local=pass gitops=missing live-parity=missing two-cluster=missing,recipes/fluent/fluentd/0.5.3/revisions/default/r001/variant-revision.yaml,recipes/fluent/fluentd/0.5.3,packages/fluent/fluentd/0.5.3,partial,recipes/fluent/fluentd/0.5.3/source-lock.yaml;recipes/fluent/fluentd/0.5.3/CATALOG.md;recipes/fluent/fluentd/0.5.3/revisions/default/r001/variant-revision.yaml;recipes/fluent/fluentd/0.5.3/helm-pain-report.yaml;recipes/fluent/fluentd/0.5.3/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/fluent/fluentd/0.5.3/value-model.yaml;recipes/fluent/fluentd/0.5.3/helm-plan.yaml;recipes/fluent/fluentd/0.5.3/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,extension-slots;tpl;capabilities;rbac;storage,,,,,,,,,,"rank 175: not-in-catalog: not-proved: none: create recipe, package, variants, rendered digest, scans, and receipts","a StorageClass / storage decision; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion
58,jaegertracing/jaeger-operator,2.57.0,works-with-operator-review,not-yet-public-catalog-proof-ready,default,recipes/jaegertracing/jaeger-operator/2.57.0/CATALOG.md,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",default;no-crds,default render=pass confighub=pass local=blocked gitops=missing live-parity=missing two-cluster=missing; no-crds render=pass confighub=pass local=blocked gitops=missing live-parity=missing two-cluster=missing,recipes/jaegertracing/jaeger-operator/2.57.0/revisions/default/r001/variant-revision.yaml;recipes/jaegertracing/jaeger-operator/2.57.0/revisions/no-crds/r001/variant-revision.yaml,recipes/jaegertracing/jaeger-operator/2.57.0,packages/jaegertracing/jaeger-operator/2.57.0,partial,recipes/jaegertracing/jaeger-operator/2.57.0/source-lock.yaml;recipes/jaegertracing/jaeger-operator/2.57.0/CATALOG.md;recipes/jaegertracing/jaeger-operator/2.57.0/revisions/default/r001/variant-revision.yaml;recipes/jaegertracing/jaeger-operator/2.57.0/helm-pain-report.yaml;recipes/jaegertracing/jaeger-operator/2.57.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/jaegertracing/jaeger-operator/2.57.0/value-model.yaml;recipes/jaegertracing/jaeger-operator/2.57.0/helm-plan.yaml;recipes/jaegertracing/jaeger-operator/2.57.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/top100-readiness/readiness.csv;site/catalog.json,,,crds;webhooks;extension-slots,,,,,,,,,,rank 179: proof-grade: next80-full:2 revision(s): not-reviewed-for-production: run catalog promotion review,a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time,exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review
59,bitnami/memcached,8.5.5,needs-better-base-variant,not-yet-user-ready,default,recipes/bitnami/memcached/8.5.5/CATALOG.md,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,default render=pass confighub=missing local=pass gitops=missing live-parity=missing two-cluster=missing,recipes/bitnami/memcached/8.5.5/revisions/default/r001/variant-revision.yaml,recipes/bitnami/memcached/8.5.5,packages/bitnami/memcached/8.5.5,partial,recipes/bitnami/memcached/8.5.5/source-lock.yaml;recipes/bitnami/memcached/8.5.5/CATALOG.md;recipes/bitnami/memcached/8.5.5/revisions/default/r001/variant-revision.yaml;recipes/bitnami/memcached/8.5.5/helm-pain-report.yaml;recipes/bitnami/memcached/8.5.5/control-points.yaml;data/outcome-coverage/feature-outcomes.csv;recipes/bitnami/memcached/8.5.5/value-model.yaml;recipes/bitnami/memcached/8.5.5/helm-plan.yaml;recipes/bitnami/memcached/8.5.5/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv;data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md;site/catalog.json,,,generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;lookup;generated-facts;tpl;capabilities;storage,,,,,,,,,,rank 182: proof-grade: next80-full:1 revision(s): not-reviewed-for-production: add user-shaped variants before catalog promotion,"an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; target facts at variant time; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,add at least one user-shaped variant before catalog promotion
