chart,version,variant,lane,lane_label,state,reason,next_action,support_artifact,owner,completion_class,command
bitnami/mysql,14.0.3,existing-secret,promotion,variant-promotion (proven),proven,server-side promotion receipt passed,keep receipt fresh when the upstream base changes,runs/mysql-existing-secret-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,needs-target-or-prereq-fix,
bitnami/mysql,14.0.3,generated-passwords,promotion,variant-promotion (proven),proven,server-side promotion receipt passed,keep receipt fresh when the upstream base changes,runs/mysql-generated-passwords-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,needs-target-or-prereq-fix,
bitnami/nginx,24.0.2,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
bitnami/nginx,24.0.2,customer-acme-prod,promotion,variant-promotion (not-applicable-derived-variant),not-applicable-derived-variant,derived ConfigHub variant creation is not the base-variant promotion lane,use the derived variant receipts and target-bound lane for this downstream variant,runs/derived-variant-execution/nginx-customer-acme-prod/variant-create-receipt.yaml,catalog/promotion,needs-target-or-prereq-fix,
bitnami/nginx,24.0.2,existing-tls-ingress,K,two-cluster-kind,todo,single-cluster local live passes; this live lane is runnable but not yet recorded,run the two-cluster kind parity lane,runs/live-kind-parity/bitnami-nginx-existing-tls-ingress/receipt.yaml,either,needs-run,
bitnami/nginx,24.0.2,existing-tls-ingress,promotion,variant-promotion (proven),proven,server-side promotion receipt passed,keep receipt fresh when the upstream base changes,runs/nginx-existing-tls-ingress-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,needs-target-or-prereq-fix,
bitnami/nginx,24.0.2,http-clusterip,K,two-cluster-kind,todo,single-cluster local live passes; this live lane is runnable but not yet recorded,run the two-cluster kind parity lane,runs/live-kind-parity/bitnami-nginx-http-clusterip/receipt.yaml,either,needs-run,
bitnami/nginx,24.0.2,http-clusterip,promotion,variant-promotion (proven),proven,server-side promotion receipt passed,keep receipt fresh when the upstream base changes,runs/nginx-http-clusterip-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,needs-target-or-prereq-fix,
bitnami/nginx,24.0.2,prod-us-east,promotion,variant-promotion (not-applicable-derived-variant),not-applicable-derived-variant,derived ConfigHub variant creation is not the base-variant promotion lane,use the derived variant receipts and target-bound lane for this downstream variant,runs/derived-variant-execution/nginx-prod-us-east/variant-create-receipt.yaml,catalog/promotion,needs-target-or-prereq-fix,
bitnami/nginx,24.0.4,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
bitnami/nginx,24.0.4,existing-tls-ingress,G,gitops-oci-live,watch,gitops-runtime: Argo health Progressing (parity passed),"Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",recipes/bitnami/nginx/24.0.4/gitops-runtime-review.yaml,needs GitOps controller-health review,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/nginx/24.0.4 --base existing-tls-ingress --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/nginx,24.0.4,existing-tls-ingress,K,two-cluster-kind,todo,single-cluster local live passes; this live lane is runnable but not yet recorded,run the two-cluster kind parity lane,runs/live-kind-parity/bitnami-nginx-existing-tls-ingress/receipt.yaml,either,needs-run,
bitnami/nginx,24.0.4,existing-tls-ingress,P,live-helm-vs-confighub-parity,watch,gitops-runtime: Argo health Progressing (parity passed),"Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",recipes/bitnami/nginx/24.0.4/gitops-runtime-review.yaml,needs GitOps controller-health review,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/nginx/24.0.4 --base existing-tls-ingress --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/nginx,24.0.4,existing-tls-ingress,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/cl-nginx-24-0-4-existing-tls-ingress-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
bitnami/nginx,24.0.4,http-clusterip,K,two-cluster-kind,todo,single-cluster local live passes; this live lane is runnable but not yet recorded,run the two-cluster kind parity lane,runs/live-kind-parity/bitnami-nginx-http-clusterip/receipt.yaml,either,needs-run,
bitnami/nginx,24.0.4,http-clusterip,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/cl-nginx-24-0-4-http-clusterip-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
bitnami/nginx,25.0.0,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
bitnami/nginx,25.0.0,existing-tls-ingress,G,gitops-oci-live,watch,gitops-runtime: Argo health Progressing (parity passed),"Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",recipes/bitnami/nginx/25.0.0/gitops-runtime-review.yaml,needs GitOps controller-health review,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/nginx/25.0.0 --base existing-tls-ingress --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/nginx,25.0.0,existing-tls-ingress,P,live-helm-vs-confighub-parity,watch,gitops-runtime: Argo health Progressing (parity passed),"Review the controller-health residue (aggregate vs per-resource health, sync state) and refresh the gitops-runtime-review support artifact.",recipes/bitnami/nginx/25.0.0/gitops-runtime-review.yaml,needs GitOps controller-health review,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/nginx/25.0.0 --base existing-tls-ingress --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/nginx,25.0.0,existing-tls-ingress,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/cl-nginx-25-0-0-existing-tls-ingress-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
bitnami/nginx,25.0.0,http-clusterip,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/cl-nginx-25-0-0-http-clusterip-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
bitnami/opensearch,2.0.10,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
bitnami/opensearch,2.0.10,default,G,gitops-oci-live,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/opensearch/2.0.10 --base default --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/opensearch,2.0.10,default,K,two-cluster-kind,blocked,semantic object parity issue: missing=0 extra=1 diffs=4; extra=v1|Namespace||default; objects=v1|Service|default|opensearch-coordinating-hl; v1|Service|default|opensearch-data-hl; v1|Service|default|opensearch-ingest-hl; v1|Service|default|opensearch-master-hl; live Helm includes Service spec.trafficDistribution=PreferClose for this cluster capability profile; runtime also fails to pull docker.io/bitnami/os-shell:12-debian-12-r51,"Catalog work: model the required Kubernetes capability/profile field, update the base or semantic contract, then rerun.",runs/live-kind-parity/bitnami-opensearch-default/receipt.yaml,catalog,needs-modeling,
bitnami/opensearch,2.0.10,default,L,local-live,fail,local-live fail: runtime-readiness: statefulset/opensearch-coordinating: not-ready (opensearch-coordinating-0[PodInitializing ready=false restarts=0;] opensearch-coordinating-1[PodInitializing ready=false restarts=0;] opensearch-data-0[PodIniti),"Inspect pod logs/events, decide whether the issue is target policy, lifecycle, chart configuration, or a better base, then rerun.",runs/next80-local-kind/bitnami-opensearch-2.0.10-default/observation-receipt.yaml,runtime-readiness,needs-target-or-prereq-fix,npm run live-parity:run -- --recipe recipes/bitnami/opensearch/2.0.10 --base default --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/opensearch,2.0.10,default,P,live-helm-vs-confighub-parity,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/opensearch/2.0.10 --base default --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/opensearch,2.0.10,default,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/opensearch-default-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
bitnami/opensearch,2.0.10,ha,G,gitops-oci-live,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/opensearch/2.0.10 --base ha --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/opensearch,2.0.10,ha,K,two-cluster-kind,blocked,semantic object parity issue: missing=0 extra=1 diffs=8; extra=v1|Namespace||default; objects=apps/v1|StatefulSet|default|opensearch-coordinating; apps/v1|StatefulSet|default|opensearch-data; apps/v1|StatefulSet|default|opensearch-ingest; apps/v1|StatefulSet|default|opensearch-master; v1|Service|default|opensearch-coordinating-hl; v1|Service|default|opensearch-data-hl; live Helm includes Service spec.trafficDistribution=PreferClose for this cluster capability profile; runtime also fails to pull docker.io/bitnami/os-shell:12-debian-12-r51,"Catalog work: model the required Kubernetes capability/profile field, update the base or semantic contract, then rerun.",runs/live-kind-parity/bitnami-opensearch-ha/receipt.yaml,catalog,needs-modeling,
bitnami/opensearch,2.0.10,ha,L,local-live,fail,local-live fail: runtime-readiness: statefulset/opensearch-coordinating: not-ready (opensearch-coordinating-0[PodInitializing ready=false restarts=0;] opensearch-coordinating-1[PodInitializing ready=false restarts=0;] opensearch-data-0[PodIniti),"Inspect pod logs/events, decide whether the issue is target policy, lifecycle, chart configuration, or a better base, then rerun.",runs/next80-local-kind/bitnami-opensearch-2.0.10-ha/observation-receipt.yaml,runtime-readiness,needs-target-or-prereq-fix,npm run live-parity:run -- --recipe recipes/bitnami/opensearch/2.0.10 --base ha --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/opensearch,2.0.10,ha,P,live-helm-vs-confighub-parity,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/opensearch/2.0.10 --base ha --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/opensearch,2.0.10,ha,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/opensearch-ha-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
bitnami/opensearch,2.0.10,legacy,G,gitops-oci-live,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,
bitnami/opensearch,2.0.10,legacy,K,two-cluster-kind,todo,single-cluster local live passes; this live lane is runnable but not yet recorded,run the two-cluster kind parity lane,,either,needs-run,
bitnami/opensearch,2.0.10,legacy,P,live-helm-vs-confighub-parity,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,
bitnami/opensearch,2.0.10,legacy,promotion,variant-promotion (proven),proven,server-side promotion receipt passed,keep receipt fresh when the upstream base changes,runs/opensearch-legacy-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,needs-target-or-prereq-fix,
bitnami/phpmyadmin,20.0.0,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
bitnami/phpmyadmin,20.0.0,default,G,gitops-oci-live,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/phpmyadmin/20.0.0 --base default --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/phpmyadmin,20.0.0,default,K,two-cluster-kind,blocked,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun.",runs/live-kind-parity/bitnami-phpmyadmin-default/receipt.yaml,catalog or image publisher,needs-modeling,
bitnami/phpmyadmin,20.0.0,default,L,local-live,blocked,local-live blocked: target-prerequisite: deployment/phpmyadmin: prerequisite-blocked (stuck creating: missing mount/secret/config) (node-collector-66b46f8d9-qnkc6[Completed ready=false restarts=0;] phpmyadmin-f67d9cfd6-8hv8z[PodInitializing ready=false restarts=0;] scan-vulnerabilityreport-5),"Turn the missing target condition into a target fact, preflight, lifecycle route, or better base variant.",runs/next80-local-kind/bitnami-phpmyadmin-20.0.0-default/observation-receipt.yaml,target-prerequisite,needs-target-or-prereq-fix,npm run live-parity:run -- --recipe recipes/bitnami/phpmyadmin/20.0.0 --base default --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/phpmyadmin,20.0.0,default,P,live-helm-vs-confighub-parity,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/phpmyadmin/20.0.0 --base default --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/phpmyadmin,20.0.0,default,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/cl-phpmyadmin-20-0-0-default-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
bitnami/phpmyadmin,20.0.0,legacy,G,gitops-oci-live,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,
bitnami/phpmyadmin,20.0.0,legacy,K,two-cluster-kind,todo,single-cluster local live passes; this live lane is runnable but not yet recorded,run the two-cluster kind parity lane,,either,needs-run,
bitnami/phpmyadmin,20.0.0,legacy,P,live-helm-vs-confighub-parity,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,
bitnami/phpmyadmin,20.0.0,legacy,promotion,variant-promotion (proven),proven,server-side promotion receipt passed,keep receipt fresh when the upstream base changes,runs/cl-phpmyadmin-20-0-0-legacy-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,needs-target-or-prereq-fix,
bitnami/phpmyadmin,20.0.0,web-ui-existing-secret,promotion,variant-promotion (not-applicable-candidate),not-applicable-candidate,"candidate rows are planning rows, not server-side promotion evidence",turn this candidate into a real base or derived variant before server-side promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
bitnami/postgresql,18.6.10,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
bitnami/postgresql,18.6.10,existing-secret,K,two-cluster-kind,todo,single-cluster local live passes; this live lane is runnable but not yet recorded,run the two-cluster kind parity lane,runs/live-kind-parity/bitnami-postgresql-existing-secret/receipt.yaml,either,needs-run,
bitnami/postgresql,18.6.10,existing-secret,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/cl-postgresql-18-6-10-existing-secret-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
bitnami/postgresql,18.6.10,generated-passwords,K,two-cluster-kind,todo,single-cluster local live passes; this live lane is runnable but not yet recorded,run the two-cluster kind parity lane,runs/live-kind-parity/bitnami-postgresql-generated-passwords/receipt.yaml,either,needs-run,
bitnami/postgresql,18.6.10,generated-passwords,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/cl-postgresql-18-6-10-generated-passwords-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
bitnami/postgresql,18.6.7,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
bitnami/postgresql,18.6.7,existing-secret,K,two-cluster-kind,todo,single-cluster local live passes; this live lane is runnable but not yet recorded,run the two-cluster kind parity lane,runs/live-kind-parity/bitnami-postgresql-existing-secret/receipt.yaml,either,needs-run,
bitnami/postgresql,18.6.7,existing-secret,lifecycle,lifecycle-observed,todo,chart has hook/lifecycle behavior with no live observation yet,"decide and record the lifecycle route, then observe it live",,catalog,needs-run,
bitnami/postgresql,18.6.7,existing-secret,promotion,variant-promotion (proven),proven,server-side promotion receipt passed,keep receipt fresh when the upstream base changes,runs/postgresql-existing-secret-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,needs-target-or-prereq-fix,
bitnami/postgresql,18.6.7,generated-passwords,K,two-cluster-kind,todo,single-cluster local live passes; this live lane is runnable but not yet recorded,run the two-cluster kind parity lane,runs/live-kind-parity/bitnami-postgresql-generated-passwords/receipt.yaml,either,needs-run,
bitnami/postgresql,18.6.7,generated-passwords,lifecycle,lifecycle-observed,todo,chart has hook/lifecycle behavior with no live observation yet,"decide and record the lifecycle route, then observe it live",,catalog,needs-run,
bitnami/postgresql,18.6.7,generated-passwords,promotion,variant-promotion (proven),proven,server-side promotion receipt passed,keep receipt fresh when the upstream base changes,runs/postgresql-generated-passwords-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,needs-target-or-prereq-fix,
bitnami/postgresql,18.7.0,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
bitnami/postgresql,18.7.0,existing-secret,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/cl-postgresql-18-7-0-existing-secret-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
bitnami/postgresql,18.7.0,generated-passwords,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/cl-postgresql-18-7-0-generated-passwords-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
bitnami/rabbitmq,16.0.14,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
bitnami/rabbitmq,16.0.14,existing-secret,promotion,variant-promotion (proven),proven,server-side promotion receipt passed,keep receipt fresh when the upstream base changes,runs/rabbitmq-existing-secret-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,needs-target-or-prereq-fix,
bitnami/rabbitmq,16.0.14,generated-passwords,promotion,variant-promotion (proven),proven,server-side promotion receipt passed,keep receipt fresh when the upstream base changes,runs/rabbitmq-generated-passwords-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,needs-target-or-prereq-fix,
bitnami/redis,25.5.3,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
bitnami/redis,25.5.3,default,K,two-cluster-kind,todo,single-cluster local live passes; this live lane is runnable but not yet recorded,run the two-cluster kind parity lane,runs/live-kind-parity/bitnami-redis-default/receipt.yaml,either,needs-run,
bitnami/redis,25.5.3,default,lifecycle,lifecycle-observed,todo,chart has hook/lifecycle behavior with no live observation yet,"decide and record the lifecycle route, then observe it live",,catalog,needs-run,
bitnami/redis,25.5.3,default,promotion,variant-promotion (proven),proven,server-side promotion receipt passed,keep receipt fresh when the upstream base changes,runs/redis-default-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,needs-target-or-prereq-fix,
bitnami/redis,25.5.3,prod-us-east,promotion,variant-promotion (not-applicable-derived-variant),not-applicable-derived-variant,derived ConfigHub variant creation is not the base-variant promotion lane,use the derived variant receipts and target-bound lane for this downstream variant,runs/derived-variant-execution/redis-prod-us-east/variant-create-receipt.yaml,catalog/promotion,needs-target-or-prereq-fix,
bitnami/redis,25.5.3,reuse-existing-secret,K,two-cluster-kind,todo,single-cluster local live passes; this live lane is runnable but not yet recorded,run the two-cluster kind parity lane,runs/live-kind-parity/bitnami-redis-reuse-existing-secret/receipt.yaml,either,needs-run,
bitnami/redis,25.5.3,reuse-existing-secret,lifecycle,lifecycle-observed,todo,chart has hook/lifecycle behavior with no live observation yet,"decide and record the lifecycle route, then observe it live",,catalog,needs-run,
bitnami/redis,25.5.3,reuse-existing-secret,promotion,variant-promotion (proven),proven,server-side promotion receipt passed,keep receipt fresh when the upstream base changes,runs/redis-reuse-existing-secret-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,needs-target-or-prereq-fix,
bitnami/redis,25.5.3,staging-eu-west,promotion,variant-promotion (not-applicable-derived-variant),not-applicable-derived-variant,derived ConfigHub variant creation is not the base-variant promotion lane,use the derived variant receipts and target-bound lane for this downstream variant,runs/derived-variant-execution/redis-staging-eu-west/variant-create-receipt.yaml,catalog/promotion,needs-target-or-prereq-fix,
bitnami/redis,27.0.0,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
bitnami/redis,27.0.0,default,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/cl-redis-27-0-0-default-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
bitnami/redis,27.0.0,reuse-existing-secret,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/cl-redis-27-0-0-reuse-existing-secret-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
bitnami/spark,10.0.3,(source),promotion,variant-promotion (not-applicable-source),not-applicable-source,"source rows are upstream chart inputs, not server-side promotion evidence",choose or create an F2 base before server-side variant promotion applies,,catalog/promotion,needs-target-or-prereq-fix,
bitnami/spark,10.0.3,default,G,gitops-oci-live,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/spark/10.0.3 --base default --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/spark,10.0.3,default,K,two-cluster-kind,blocked,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun.",runs/live-kind-parity/bitnami-spark-default/receipt.yaml,catalog or image publisher,needs-modeling,
bitnami/spark,10.0.3,default,L,local-live,blocked,local-live blocked: image-dependency: statefulset/spark-master: image-pull-blocked (spark-master-0[ImagePullBackOff ready=false restarts=0;] spark-worker-0[ImagePullBackOff ready=false restarts=0;]),"Pin, mirror, override, or document the image dependency, then rerun against a target that can pull it.",runs/next80-local-kind/bitnami-spark-10.0.3-default/observation-receipt.yaml,image-dependency,needs-target-or-prereq-fix,npm run live-parity:run -- --recipe recipes/bitnami/spark/10.0.3 --base default --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/spark,10.0.3,default,P,live-helm-vs-confighub-parity,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/spark/10.0.3 --base default --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/spark,10.0.3,default,promotion,variant-promotion (proven-with-watch),watch,"server-side promotion mechanics passed, but changeset-bound promote failed and required the no-changeset fallback",ConfigHub v0.1.80 includes the changeset-bound add-new-units fix; rerun this promotion proof to replace the old fallback receipt with a full pass,runs/cl-spark-10-0-3-default-confighub-proof/latest/variant-promotion-receipt.yaml,catalog/promotion,already-decided,
bitnami/spark,10.0.3,ha,G,gitops-oci-live,watch,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun the live lane.",data/image-digest-workdown/summary.md,catalog or image publisher,already-decided,npm run live-parity:run -- --recipe recipes/bitnami/spark/10.0.3 --base ha --repo-url oci://registry-1.docker.io/bitnamicharts
bitnami/spark,10.0.3,ha,K,two-cluster-kind,blocked,remote-image: image pull failed or pinned image is unavailable (parity passed),"Resolve the image by digest, override to a maintained image, or refresh the catalog base with a pullable image, then rerun.",runs/live-kind-parity/bitnami-spark-ha/receipt.yaml,catalog or image publisher,needs-modeling,
