proof_surface_rank,top500_rank,chart,catalog_tier,workability,adoption_bucket,user_status,strongest_evidence,variant_count,variants,render_parity,in_confighub,local_live,gitops_live,live_parity,two_cluster_kind_parity,hard_gap,source_features,next_action,next_action_source,next_action_receipt,recipe_path,package_path,catalog_path,helm_pain_report
48,130,fairwinds-stable/goldilocks@10.3.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/fairwinds-stable/goldilocks/10.3.0/recipe.yaml,packages/fairwinds-stable/goldilocks/10.3.0,recipes/fairwinds-stable/goldilocks/10.3.0/CATALOG.md,recipes/fairwinds-stable/goldilocks/10.3.0/helm-pain-report.yaml
49,133,prometheus-community/prometheus-operator-crds@29.0.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,-,generated-facts;crds,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/prometheus-community/prometheus-operator-crds/29.0.0/recipe.yaml,packages/prometheus-community/prometheus-operator-crds/29.0.0,recipes/prometheus-community/prometheus-operator-crds/29.0.0/CATALOG.md,recipes/prometheus-community/prometheus-operator-crds/29.0.0/helm-pain-report.yaml
50,139,bitnami/zookeeper@13.8.7,next80-proof-grade,decision-needed-before-promotion,limitation-decision-first,proof-grade-with-named-limitation,render-parity,2,default;ha,2/2,0/2,0/2,0/2,0/2,0/2,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;stateful-storage,review limitation before promotion: existing-secret (chart ships no Secret toggle),limitation-review,,recipes/bitnami/zookeeper/13.8.7/recipe.yaml,packages/bitnami/zookeeper/13.8.7,recipes/bitnami/zookeeper/13.8.7/CATALOG.md,recipes/bitnami/zookeeper/13.8.7/helm-pain-report.yaml
51,140,elastic/filebeat@8.5.1,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,2/2,0/2,0/2,0/2,0/2,0/2,-,tpl;cluster-rbac,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/elastic/filebeat/8.5.1/recipe.yaml,packages/elastic/filebeat/8.5.1,recipes/elastic/filebeat/8.5.1/CATALOG.md,recipes/elastic/filebeat/8.5.1/helm-pain-report.yaml
52,141,hashicorp/terraform@1.1.2,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,render-parity,2,default;no-crds,2/2,0/2,0/2,0/2,0/2,0/2,-,crds,run catalog promotion review,catalog-promotion-review,,recipes/hashicorp/terraform/1.1.2/recipe.yaml,packages/hashicorp/terraform/1.1.2,recipes/hashicorp/terraform/1.1.2/CATALOG.md,recipes/hashicorp/terraform/1.1.2/helm-pain-report.yaml
53,143,coredns/coredns@1.45.2,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,-,generated-facts;tpl;capabilities;cluster-rbac,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/coredns/coredns/1.45.2/recipe.yaml,packages/coredns/coredns/1.45.2,recipes/coredns/coredns/1.45.2/CATALOG.md,recipes/coredns/coredns/1.45.2/helm-pain-report.yaml
54,148,fairwinds-stable/vpa@4.11.0,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,render-parity,2,default;no-crds,2/2,0/2,0/2,0/2,0/2,0/2,-,lookup;tpl;capabilities;crds;cluster-rbac;webhooks,run catalog promotion review,catalog-promotion-review,,recipes/fairwinds-stable/vpa/4.11.0/recipe.yaml,packages/fairwinds-stable/vpa/4.11.0,recipes/fairwinds-stable/vpa/4.11.0/CATALOG.md,recipes/fairwinds-stable/vpa/4.11.0/helm-pain-report.yaml
55,162,bitnami/phpmyadmin@20.0.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,1/1,0/1,0/1,0/1,0/1,0/1,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;stateful-storage,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/bitnami/phpmyadmin/20.0.0/recipe.yaml,packages/bitnami/phpmyadmin/20.0.0,recipes/bitnami/phpmyadmin/20.0.0/CATALOG.md,recipes/bitnami/phpmyadmin/20.0.0/helm-pain-report.yaml
56,167,prometheus-community/prometheus-pushgateway@3.6.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,-,tpl;stateful-storage,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/prometheus-community/prometheus-pushgateway/3.6.0/recipe.yaml,packages/prometheus-community/prometheus-pushgateway/3.6.0,recipes/prometheus-community/prometheus-pushgateway/3.6.0/CATALOG.md,recipes/prometheus-community/prometheus-pushgateway/3.6.0/helm-pain-report.yaml
57,175,fluent/fluentd@0.5.3,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,-,tpl;capabilities;cluster-rbac;stateful-storage,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/fluent/fluentd/0.5.3/recipe.yaml,packages/fluent/fluentd/0.5.3,recipes/fluent/fluentd/0.5.3/CATALOG.md,recipes/fluent/fluentd/0.5.3/helm-pain-report.yaml
58,179,jaegertracing/jaeger-operator@2.57.0,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,render-parity,2,default;no-crds,2/2,0/2,0/2,0/2,0/2,0/2,-,crds;webhooks,run catalog promotion review,catalog-promotion-review,,recipes/jaegertracing/jaeger-operator/2.57.0/recipe.yaml,packages/jaegertracing/jaeger-operator/2.57.0,recipes/jaegertracing/jaeger-operator/2.57.0/CATALOG.md,recipes/jaegertracing/jaeger-operator/2.57.0/helm-pain-report.yaml
59,182,bitnami/memcached@8.5.5,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;stateful-storage,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/bitnami/memcached/8.5.5/recipe.yaml,packages/bitnami/memcached/8.5.5,recipes/bitnami/memcached/8.5.5/CATALOG.md,recipes/bitnami/memcached/8.5.5/helm-pain-report.yaml
60,186,strimzi/strimzi-kafka-operator@1.0.0,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,render-parity,2,default;no-crds,2/2,0/2,0/2,0/2,0/2,0/2,-,tpl;capabilities;crds;cluster-rbac,run catalog promotion review,catalog-promotion-review,,recipes/strimzi/strimzi-kafka-operator/1.0.0/recipe.yaml,packages/strimzi/strimzi-kafka-operator/1.0.0,recipes/strimzi/strimzi-kafka-operator/1.0.0/CATALOG.md,recipes/strimzi/strimzi-kafka-operator/1.0.0/helm-pain-report.yaml
61,190,opencost/opencost@2.5.21,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,1/1,0/1,0/1,0/1,0/1,0/1,-,tpl;capabilities;cluster-rbac;stateful-storage,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/opencost/opencost/2.5.21/recipe.yaml,packages/opencost/opencost/2.5.21,recipes/opencost/opencost/2.5.21/CATALOG.md,recipes/opencost/opencost/2.5.21/helm-pain-report.yaml
62,203,gatekeeper/gatekeeper@3.22.2,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,local-kubernetes-live,2,default;no-crds,2/2,0/2,1/2,0/2,0/2,0/2,-,capabilities;hooks;crds;cluster-rbac;webhooks,run catalog promotion review,catalog-promotion-review,,recipes/gatekeeper/gatekeeper/3.22.2/recipe.yaml,packages/gatekeeper/gatekeeper/3.22.2,recipes/gatekeeper/gatekeeper/3.22.2/CATALOG.md,recipes/gatekeeper/gatekeeper/3.22.2/helm-pain-report.yaml
63,205,bitnami/contour@21.1.4,next80-proof-grade,decision-needed-before-promotion,limitation-decision-first,proof-grade-with-named-limitation,render-parity,2,default;no-crds,2/2,0/2,0/2,0/2,0/2,0/2,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac,review limitation before promotion: existing-secret (chart ships no Secret toggle),limitation-review,,recipes/bitnami/contour/21.1.4/recipe.yaml,packages/bitnami/contour/21.1.4,recipes/bitnami/contour/21.1.4/CATALOG.md,recipes/bitnami/contour/21.1.4/helm-pain-report.yaml
64,215,kyverno/kyverno-policies@3.8.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,1/1,0/1,0/1,0/1,0/1,0/1,-,lookup;tpl,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/kyverno/kyverno-policies/3.8.0/recipe.yaml,packages/kyverno/kyverno-policies/3.8.0,recipes/kyverno/kyverno-policies/3.8.0/CATALOG.md,recipes/kyverno/kyverno-policies/3.8.0/helm-pain-report.yaml
65,308,elastic/metricbeat@8.5.1,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,1/1,0/1,0/1,0/1,0/1,0/1,-,tpl;capabilities;cluster-rbac;stateful-storage,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/elastic/metricbeat/8.5.1/recipe.yaml,packages/elastic/metricbeat/8.5.1,recipes/elastic/metricbeat/8.5.1/CATALOG.md,recipes/elastic/metricbeat/8.5.1/helm-pain-report.yaml
66,336,minio-operator/operator@7.1.1,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,no-crds (template-baked CRDs; no clean chart toggle yet),cluster-rbac,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/minio-operator/operator/7.1.1/recipe.yaml,packages/minio-operator/operator/7.1.1,recipes/minio-operator/operator/7.1.1/CATALOG.md,recipes/minio-operator/operator/7.1.1/helm-pain-report.yaml
67,338,percona/pxc-operator@1.19.1,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,local-kubernetes-live,2,default;no-crds,2/2,0/2,1/2,0/2,0/2,0/2,-,lookup;crds;cluster-rbac,run catalog promotion review,catalog-promotion-review,,recipes/percona/pxc-operator/1.19.1/recipe.yaml,packages/percona/pxc-operator/1.19.1,recipes/percona/pxc-operator/1.19.1/CATALOG.md,recipes/percona/pxc-operator/1.19.1/helm-pain-report.yaml
68,371,bitnami/apache@11.4.29,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,1/1,0/1,0/1,0/1,0/1,0/1,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/bitnami/apache/11.4.29/recipe.yaml,packages/bitnami/apache/11.4.29,recipes/bitnami/apache/11.4.29/CATALOG.md,recipes/bitnami/apache/11.4.29/helm-pain-report.yaml
69,388,grafana/pyroscope@2.0.2,next80-proof-grade,decision-needed-before-promotion,limitation-decision-first,proof-grade-with-named-limitation,local-kubernetes-live,3,default;ha;no-crds,3/3,0/3,1/3,0/3,0/3,0/3,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;stateful-storage,review limitation before promotion: existing-secret (chart ships no Secret toggle),limitation-review,,recipes/grafana/pyroscope/2.0.2/recipe.yaml,packages/grafana/pyroscope/2.0.2,recipes/grafana/pyroscope/2.0.2/CATALOG.md,recipes/grafana/pyroscope/2.0.2/helm-pain-report.yaml
70,452,aws-ebs-csi-driver/aws-ebs-csi-driver@2.60.1,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,1/1,0/1,0/1,0/1,0/1,0/1,-,tpl;capabilities;cluster-rbac,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/recipe.yaml,packages/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/CATALOG.md,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/helm-pain-report.yaml
71,499,falcosecurity/falcosidekick@0.13.1,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,-,capabilities;cluster-rbac;stateful-storage,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/falcosecurity/falcosidekick/0.13.1/recipe.yaml,packages/falcosecurity/falcosidekick/0.13.1,recipes/falcosecurity/falcosidekick/0.13.1/CATALOG.md,recipes/falcosecurity/falcosidekick/0.13.1/helm-pain-report.yaml
72,,aqua/trivy-operator@0.32.1,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,two-cluster-kind-parity,2,default;no-crds,2/2,0/2,1/2,0/2,0/2,1/2,-,,run catalog promotion review,catalog-promotion-review,,recipes/aqua/trivy-operator/0.32.1/recipe.yaml,packages/aqua/trivy-operator/0.32.1,recipes/aqua/trivy-operator/0.32.1/CATALOG.md,recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml
73,,argo-cd/argo-events@2.4.21,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,two-cluster-kind-parity,2,default;no-crds,2/2,0/2,2/2,0/2,0/2,2/2,-,,run catalog promotion review,catalog-promotion-review,,recipes/argo-cd/argo-events/2.4.21/recipe.yaml,packages/argo-cd/argo-events/2.4.21,recipes/argo-cd/argo-events/2.4.21/CATALOG.md,recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml
74,,argo-cd/argo-rollouts@2.40.9,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,two-cluster-kind-parity,2,default;no-crds,2/2,0/2,2/2,0/2,0/2,2/2,-,,run catalog promotion review,catalog-promotion-review,,recipes/argo-cd/argo-rollouts/2.40.9/recipe.yaml,packages/argo-cd/argo-rollouts/2.40.9,recipes/argo-cd/argo-rollouts/2.40.9/CATALOG.md,recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml
75,,argo-cd/argo-workflows@1.0.14,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,2/2,0/2,0/2,0/2,0/2,0/2,-,,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/argo-cd/argo-workflows/1.0.14/recipe.yaml,packages/argo-cd/argo-workflows/1.0.14,recipes/argo-cd/argo-workflows/1.0.14/CATALOG.md,recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml
76,,argo-cd/argocd-image-updater@1.2.2,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,no-crds (template-baked CRDs; no clean chart toggle yet),,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/argo-cd/argocd-image-updater/1.2.2/recipe.yaml,packages/argo-cd/argocd-image-updater/1.2.2,recipes/argo-cd/argocd-image-updater/1.2.2/CATALOG.md,recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml
77,,autoscaler/cluster-autoscaler@9.57.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,2/2,0/2,2/2,0/2,0/2,0/2,-,,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/autoscaler/cluster-autoscaler/9.57.0/recipe.yaml,packages/autoscaler/cluster-autoscaler/9.57.0,recipes/autoscaler/cluster-autoscaler/9.57.0/CATALOG.md,recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml
78,,autoscaler/vertical-pod-autoscaler@0.9.0,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,render-parity,2,default;no-crds,2/2,0/2,0/2,0/2,0/2,0/2,-,,run catalog promotion review,catalog-promotion-review,,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/recipe.yaml,packages/autoscaler/vertical-pod-autoscaler/0.9.0,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/CATALOG.md,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/helm-pain-report.yaml
79,,bitnami/opensearch@2.0.10,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,render-parity,2,default;ha,2/2,0/2,0/2,0/2,0/2,0/2,-,,run catalog promotion review,catalog-promotion-review,,recipes/bitnami/opensearch/2.0.10/recipe.yaml,packages/bitnami/opensearch/2.0.10,recipes/bitnami/opensearch/2.0.10/CATALOG.md,recipes/bitnami/opensearch/2.0.10/helm-pain-report.yaml
80,,crossplane-stable/crossplane@2.3.1,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,-,,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/crossplane-stable/crossplane/2.3.1/recipe.yaml,packages/crossplane-stable/crossplane/2.3.1,recipes/crossplane-stable/crossplane/2.3.1/CATALOG.md,recipes/crossplane-stable/crossplane/2.3.1/helm-pain-report.yaml
81,,grafana/promtail@6.17.1,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,-,,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/grafana/promtail/6.17.1/recipe.yaml,packages/grafana/promtail/6.17.1,recipes/grafana/promtail/6.17.1/CATALOG.md,recipes/grafana/promtail/6.17.1/helm-pain-report.yaml
82,,grafana/rollout-operator@0.49.0,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,local-kubernetes-live,2,default;no-crds,2/2,0/2,1/2,0/2,0/2,0/2,-,,run catalog promotion review,catalog-promotion-review,,recipes/grafana/rollout-operator/0.49.0/recipe.yaml,packages/grafana/rollout-operator/0.49.0,recipes/grafana/rollout-operator/0.49.0/CATALOG.md,recipes/grafana/rollout-operator/0.49.0/helm-pain-report.yaml
83,,haproxytech/kubernetes-ingress@1.52.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,-,,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/haproxytech/kubernetes-ingress/1.52.0/recipe.yaml,packages/haproxytech/kubernetes-ingress/1.52.0,recipes/haproxytech/kubernetes-ingress/1.52.0/CATALOG.md,recipes/haproxytech/kubernetes-ingress/1.52.0/helm-pain-report.yaml
84,,istio/gateway@1.30.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,2/2,0/2,0/2,0/2,0/2,0/2,-,,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/istio/gateway/1.30.0/recipe.yaml,packages/istio/gateway/1.30.0,recipes/istio/gateway/1.30.0/CATALOG.md,recipes/istio/gateway/1.30.0/helm-pain-report.yaml
85,,istio/istiod@1.30.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,1/1,0/1,0/1,0/1,0/1,0/1,-,,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/istio/istiod/1.30.0/recipe.yaml,packages/istio/istiod/1.30.0,recipes/istio/istiod/1.30.0/CATALOG.md,recipes/istio/istiod/1.30.0/helm-pain-report.yaml
86,,jetstack/cert-manager-csi-driver@v0.14.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,-,,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/jetstack/cert-manager-csi-driver/v0.14.0/recipe.yaml,packages/jetstack/cert-manager-csi-driver/v0.14.0,recipes/jetstack/cert-manager-csi-driver/v0.14.0/CATALOG.md,recipes/jetstack/cert-manager-csi-driver/v0.14.0/helm-pain-report.yaml
87,,jetstack/trust-manager@v0.22.1,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,render-parity,2,default;no-crds,2/2,0/2,0/2,0/2,0/2,0/2,-,,run catalog promotion review,catalog-promotion-review,,recipes/jetstack/trust-manager/v0.22.1/recipe.yaml,packages/jetstack/trust-manager/v0.22.1,recipes/jetstack/trust-manager/v0.22.1/CATALOG.md,recipes/jetstack/trust-manager/v0.22.1/helm-pain-report.yaml
88,,linkerd/linkerd-crds@1.8.0,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,local-kubernetes-live,1,default,1/1,0/1,1/1,0/1,0/1,0/1,-,,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/linkerd/linkerd-crds/1.8.0/recipe.yaml,packages/linkerd/linkerd-crds/1.8.0,recipes/linkerd/linkerd-crds/1.8.0/CATALOG.md,recipes/linkerd/linkerd-crds/1.8.0/helm-pain-report.yaml
89,,minio-operator/tenant@7.1.1,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,1/1,0/1,0/1,0/1,0/1,0/1,-,,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/minio-operator/tenant/7.1.1/recipe.yaml,packages/minio-operator/tenant/7.1.1,recipes/minio-operator/tenant/7.1.1/CATALOG.md,recipes/minio-operator/tenant/7.1.1/helm-pain-report.yaml
90,,nats/nack@0.34.0,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,local-kubernetes-live,2,default;no-crds,2/2,0/2,1/2,0/2,0/2,0/2,-,,run catalog promotion review,catalog-promotion-review,,recipes/nats/nack/0.34.0/recipe.yaml,packages/nats/nack/0.34.0,recipes/nats/nack/0.34.0/CATALOG.md,recipes/nats/nack/0.34.0/helm-pain-report.yaml
91,,nats/surveyor@0.20.9,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,2/2,0/2,0/2,0/2,0/2,0/2,-,,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/nats/surveyor/0.20.9/recipe.yaml,packages/nats/surveyor/0.20.9,recipes/nats/surveyor/0.20.9/CATALOG.md,recipes/nats/surveyor/0.20.9/helm-pain-report.yaml
92,,open-telemetry/opentelemetry-operator@0.114.0,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,render-parity,2,default;no-crds,2/2,0/2,0/2,0/2,0/2,0/2,-,,run catalog promotion review,catalog-promotion-review,,recipes/open-telemetry/opentelemetry-operator/0.114.0/recipe.yaml,packages/open-telemetry/opentelemetry-operator/0.114.0,recipes/open-telemetry/opentelemetry-operator/0.114.0/CATALOG.md,recipes/open-telemetry/opentelemetry-operator/0.114.0/helm-pain-report.yaml
93,,percona/pg-operator@3.0.0,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,local-kubernetes-live,2,default;no-crds,2/2,0/2,1/2,0/2,0/2,0/2,-,,run catalog promotion review,catalog-promotion-review,,recipes/percona/pg-operator/3.0.0/recipe.yaml,packages/percona/pg-operator/3.0.0,recipes/percona/pg-operator/3.0.0/CATALOG.md,recipes/percona/pg-operator/3.0.0/helm-pain-report.yaml
94,,percona/psmdb-operator@1.22.0,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,local-kubernetes-live,2,default;no-crds,2/2,0/2,1/2,0/2,0/2,0/2,-,,run catalog promotion review,catalog-promotion-review,,recipes/percona/psmdb-operator/1.22.0/recipe.yaml,packages/percona/psmdb-operator/1.22.0,recipes/percona/psmdb-operator/1.22.0/CATALOG.md,recipes/percona/psmdb-operator/1.22.0/helm-pain-report.yaml
95,,rook-release/rook-ceph@v1.19.5,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,1/1,0/1,0/1,0/1,0/1,0/1,no-crds (template-baked CRDs; no clean chart toggle yet),,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/rook-release/rook-ceph/v1.19.5/recipe.yaml,packages/rook-release/rook-ceph/v1.19.5,recipes/rook-release/rook-ceph/v1.19.5/CATALOG.md,recipes/rook-release/rook-ceph/v1.19.5/helm-pain-report.yaml
96,,rook-release/rook-ceph-cluster@v1.19.5,next80-proof-grade,not-yet-a-good-catalog-offer,needs-useful-variant,proof-grade-needs-user-shaped-variant,render-parity,1,default,1/1,0/1,0/1,0/1,0/1,0/1,-,,add at least one user-shaped variant before catalog promotion,user-shaped-variant-backlog,,recipes/rook-release/rook-ceph-cluster/v1.19.5/recipe.yaml,packages/rook-release/rook-ceph-cluster/v1.19.5,recipes/rook-release/rook-ceph-cluster/v1.19.5/CATALOG.md,recipes/rook-release/rook-ceph-cluster/v1.19.5/helm-pain-report.yaml
97,,sealed-secrets/sealed-secrets@2.18.6,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,local-kubernetes-live,2,default;no-crds,2/2,0/2,1/2,0/2,0/2,0/2,-,,run catalog promotion review,catalog-promotion-review,,recipes/sealed-secrets/sealed-secrets/2.18.6/recipe.yaml,packages/sealed-secrets/sealed-secrets/2.18.6,recipes/sealed-secrets/sealed-secrets/2.18.6/CATALOG.md,recipes/sealed-secrets/sealed-secrets/2.18.6/helm-pain-report.yaml
98,,velero/velero@12.0.1,next80-proof-grade,works-as-proof-needs-catalog-review,promote-after-review,proof-grade-ready-for-promotion-review,render-parity,2,default;no-crds,2/2,0/2,0/2,0/2,0/2,0/2,-,,run catalog promotion review,catalog-promotion-review,,recipes/velero/velero/12.0.1/recipe.yaml,packages/velero/velero/12.0.1,recipes/velero/velero/12.0.1/CATALOG.md,recipes/velero/velero/12.0.1/helm-pain-report.yaml
