chart,recipe_version,base,route_source_version,quirk_class,route_name,lifecycle_phase,action_kind,execution_mode,base_disposition,automatic,who_runs,operating_details,delta,reason,command,evidence,next_action,evidence_required,source_drift
prometheus-community/kube-prometheus-stack,86.1.0,default,85.3.3,hook-phase,postsync-check-or-observation,post-apply,run-check,user-executes,observed,false,Your delivery — a post-apply check (receipted),Webhook TLS and readiness must be observed after apply.,kept,,,data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/prometheus-community/kube-prometheus-stack/85.3.3/helm-pain-report.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/crd-lifecycle-and-upgrade-policy.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/webhook-readiness-and-failure-policy.yaml;runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-default/receipt.yaml;data/production-support-decisions/prometheus-community-kube-prometheus-stack/lifecycle-decision.yaml;runs/top20-local-kind/kube-prometheus-stack-default/observation-receipt.json;runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.3; recipe version 86.1.0
prometheus-community/kube-prometheus-stack,86.1.0,default,85.3.3,hook-phase,preflight-or-presync,preflight,run-preflight,user-executes,observed,false,Your delivery — a preflight step before apply (receipted),The hook creates webhook patch prerequisites before admission configuration is safe to use.,kept,,kubectl apply -f <preflight-job>; kubectl wait --for=condition=complete job/<name>,data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/prometheus-community/kube-prometheus-stack/85.3.3/helm-pain-report.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/crd-lifecycle-and-upgrade-policy.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/webhook-readiness-and-failure-policy.yaml;runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-default/receipt.yaml;data/production-support-decisions/prometheus-community-kube-prometheus-stack/lifecycle-decision.yaml;runs/top20-local-kind/kube-prometheus-stack-default/observation-receipt.json;runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.3; recipe version 86.1.0
prometheus-community/kube-prometheus-stack,86.1.0,default,85.3.3,hook-phase,upgrade-action-with-receipt,pre-apply,run-job,user-executes,observed,false,Your delivery — a GitOps PreSync/PostSync or cub action (receipted),Upgrade behavior must be recorded separately from initial render parity.,kept,,kubectl apply -f <action-job>; kubectl wait --for=condition=complete job/<name>,data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml;data/hook-lifecycle/top100-hooks.csv;recipes/prometheus-community/kube-prometheus-stack/85.3.3/helm-pain-report.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/crd-lifecycle-and-upgrade-policy.yaml;data/production-disposition/receipts/prometheus-community-kube-prometheus-stack/webhook-readiness-and-failure-policy.yaml;runs/live-helm-confighub-compare/prometheus-community-kube-prometheus-stack-default/receipt.yaml;data/production-support-decisions/prometheus-community-kube-prometheus-stack/lifecycle-decision.yaml;runs/top20-local-kind/kube-prometheus-stack-default/observation-receipt.json;runs/live-kind-parity/prometheus-community-kube-prometheus-stack-default/receipt.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.3; recipe version 86.1.0
prometheus-community/kube-prometheus-stack,86.1.0,default,85.3.0,hook-weight-ordering,preserve-ordering,pre-apply,preserve-ordering,target-owned,observed,false,Your applier — must apply CRDs before dependent objects,,kept,,,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 86.1.0
prometheus-community/kube-prometheus-stack,86.1.0,default,85.3.0,target-facts,target-facts-or-preflight,preflight,stage-target-facts,user-executes,observed,false,"Prerequisite — supply once (Secret / CRD / storage), like values",,kept,,# create the required target facts (Secret/StorageClass/etc.) before apply,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 86.1.0
prometheus-community/kube-prometheus-stack,86.1.0,default,85.3.0,webhook-readiness,webhook-readiness-observation,observe,observe-webhook,target-owned,observed,false,"Your delivery waits for the controller-created or operator-supplied certificate, then checks webhook readiness",,kept,,"kubectl get validatingwebhookconfigurations,mutatingwebhookconfigurations",data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 86.1.0
prometheus-community/kube-prometheus-stack,86.1.0,no-crds,85.3.0,hook-delete-policy,preserve-cleanup-policy,observe,accept-target-policy,target-owned,observed,false,"Your cluster — at uninstall, automatically",,kept,,,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 86.1.0
prometheus-community/kube-prometheus-stack,86.1.0,no-crds,85.3.0,hook-phase,postsync-check-or-observation,post-apply,run-check,user-executes,observed,false,Your delivery — a post-apply check (receipted),,kept,,,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 86.1.0
prometheus-community/kube-prometheus-stack,86.1.0,no-crds,85.3.0,hook-phase,preflight-or-presync,preflight,run-preflight,user-executes,observed,false,Your delivery — a preflight step before apply (receipted),,kept,,kubectl apply -f <preflight-job>; kubectl wait --for=condition=complete job/<name>,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 86.1.0
prometheus-community/kube-prometheus-stack,86.1.0,no-crds,85.3.0,hook-phase,upgrade-action-with-receipt,pre-apply,run-job,user-executes,observed,false,Your delivery — a GitOps PreSync/PostSync or cub action (receipted),,kept,,kubectl apply -f <action-job>; kubectl wait --for=condition=complete job/<name>,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 86.1.0
prometheus-community/kube-prometheus-stack,86.1.0,no-crds,85.3.0,hook-weight-ordering,preserve-ordering,pre-apply,preserve-ordering,target-owned,observed,false,Your applier — must apply CRDs before dependent objects,,reduced,CRD-first ordering is not needed in a base that installs no CRDs,,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 86.1.0
prometheus-community/kube-prometheus-stack,86.1.0,no-crds,85.3.0,target-facts,target-facts-or-preflight,preflight,stage-target-facts,user-executes,observed,false,"Prerequisite — supply once (Secret / CRD / storage), like values",,strengthened,this base needs 10 CRDs supplied before deploy (the default base installs them for you),# create the required target facts (Secret/StorageClass/etc.) before apply,data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 86.1.0
prometheus-community/kube-prometheus-stack,86.1.0,no-crds,85.3.0,webhook-readiness,webhook-readiness-observation,observe,observe-webhook,target-owned,observed,false,"Your delivery waits for the controller-created or operator-supplied certificate, then checks webhook readiness",,kept,,"kubectl get validatingwebhookconfigurations,mutatingwebhookconfigurations",data/hook-lifecycle/receipt-index.csv;data/hook-lifecycle/receipts/prometheus-community-kube-prometheus-stack/default/latest.yaml,,"already has a live receipt; keep it fresh when chart, base, or cluster version changes",route source version 85.3.0; recipe version 86.1.0
