chart,version,chart_ref,bucket,catalog_tier,coverage_status,coverage_percent,next_action,owner,a_pinned_version,a_evidence,b_named_base_variant,b_evidence,c_render_parity_receipt,c_evidence,d_pain_and_quirks,d_evidence,e_facts_declared,e_evidence,f_scan_and_disposition,f_evidence,g_live_witness_or_route,g_evidence,h_catalog_and_site,h_evidence
fluent/fluent-bit,0.57.6,fluent/fluent-bit@0.57.6,needs-useful-variant,next80-proof-grade,partial,88,add at least one user-shaped variant before catalog promotion,,pass,recipes/fluent/fluent-bit/0.57.6/source-lock.yaml,pass,recipes/fluent/fluent-bit/0.57.6/CATALOG.md,pass,recipes/fluent/fluent-bit/0.57.6/revisions/default/r001/variant-revision.yaml,pass,recipes/fluent/fluent-bit/0.57.6/helm-pain-report.yaml;recipes/fluent/fluent-bit/0.57.6/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/fluent/fluent-bit/0.57.6/control-points.yaml;recipes/fluent/fluent-bit/0.57.6/value-model.yaml;recipes/fluent/fluent-bit/0.57.6/helm-plan.yaml,todo,recipes/fluent/fluent-bit/0.57.6/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/fluent/fluent-bit/0.57.6/CATALOG.md;site/catalog.json
runix/pgadmin4,1.62.0,runix/pgadmin4@1.62.0,needs-useful-variant,next80-proof-grade,partial,88,add at least one user-shaped variant before catalog promotion,,pass,recipes/runix/pgadmin4/1.62.0/source-lock.yaml,pass,recipes/runix/pgadmin4/1.62.0/CATALOG.md,pass,recipes/runix/pgadmin4/1.62.0/revisions/default/r001/variant-revision.yaml,pass,recipes/runix/pgadmin4/1.62.0/helm-pain-report.yaml;recipes/runix/pgadmin4/1.62.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/runix/pgadmin4/1.62.0/control-points.yaml;recipes/runix/pgadmin4/1.62.0/value-model.yaml;recipes/runix/pgadmin4/1.62.0/helm-plan.yaml,todo,recipes/runix/pgadmin4/1.62.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/runix/pgadmin4/1.62.0/CATALOG.md;site/catalog.json
nfs-subdir-external-provisioner/nfs-subdir-external-provisioner,4.0.18,nfs-subdir-external-provisioner/nfs-subdir-external-provisioner@4.0.18,needs-useful-variant,next80-proof-grade,partial,75,add at least one user-shaped variant before catalog promotion,,pass,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/source-lock.yaml,pass,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/CATALOG.md,pass,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/revisions/default/r001/variant-revision.yaml,pass,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/helm-pain-report.yaml;recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/control-points.yaml;recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/value-model.yaml;recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/helm-plan.yaml,todo,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,todo,data/top100-readiness/readiness.csv,pass,recipes/nfs-subdir-external-provisioner/nfs-subdir-external-provisioner/4.0.18/CATALOG.md;site/catalog.json
kedacore/keda,2.19.0,kedacore/keda@2.19.0,promote-after-review,next80-proof-grade,partial,88,"run APIService promotion review: choose supported base, target scope, CRD ownership path, and evidence refresh rule using the committed aggregation receipt",,pass,recipes/kedacore/keda/2.19.0/source-lock.yaml,pass,recipes/kedacore/keda/2.19.0/CATALOG.md,pass,recipes/kedacore/keda/2.19.0/revisions/default/r001/variant-revision.yaml,pass,recipes/kedacore/keda/2.19.0/helm-pain-report.yaml;recipes/kedacore/keda/2.19.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/kedacore/keda/2.19.0/control-points.yaml;recipes/kedacore/keda/2.19.0/value-model.yaml;recipes/kedacore/keda/2.19.0/helm-plan.yaml,todo,recipes/kedacore/keda/2.19.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/kedacore/keda/2.19.0/CATALOG.md;site/catalog.json
prometheus-community/kube-state-metrics,7.4.0,prometheus-community/kube-state-metrics@7.4.0,promote-after-review,next80-proof-grade,partial,88,run catalog promotion review,,pass,recipes/prometheus-community/kube-state-metrics/7.4.0/source-lock.yaml,pass,recipes/prometheus-community/kube-state-metrics/7.4.0/CATALOG.md,pass,recipes/prometheus-community/kube-state-metrics/7.4.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml,pass,recipes/prometheus-community/kube-state-metrics/7.4.0/helm-pain-report.yaml;recipes/prometheus-community/kube-state-metrics/7.4.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/prometheus-community/kube-state-metrics/7.4.0/control-points.yaml;recipes/prometheus-community/kube-state-metrics/7.4.0/value-model.yaml;recipes/prometheus-community/kube-state-metrics/7.4.0/helm-plan.yaml,todo,recipes/prometheus-community/kube-state-metrics/7.4.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/prometheus-community/kube-state-metrics/7.4.0/CATALOG.md;site/catalog.json
elastic/eck-operator,3.4.0,elastic/eck-operator@3.4.0,promote-after-review,next80-proof-grade,partial,88,run catalog promotion review,,pass,recipes/elastic/eck-operator/3.4.0/source-lock.yaml,pass,recipes/elastic/eck-operator/3.4.0/CATALOG.md,pass,recipes/elastic/eck-operator/3.4.0/revisions/default/r001/variant-revision.yaml,pass,recipes/elastic/eck-operator/3.4.0/helm-pain-report.yaml;recipes/elastic/eck-operator/3.4.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/elastic/eck-operator/3.4.0/control-points.yaml;recipes/elastic/eck-operator/3.4.0/value-model.yaml;recipes/elastic/eck-operator/3.4.0/helm-plan.yaml,todo,recipes/elastic/eck-operator/3.4.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/elastic/eck-operator/3.4.0/CATALOG.md;site/catalog.json
elastic/kibana,8.5.1,elastic/kibana@8.5.1,needs-useful-variant,next80-proof-grade,partial,75,add at least one user-shaped variant before catalog promotion,,pass,recipes/elastic/kibana/8.5.1/source-lock.yaml,pass,recipes/elastic/kibana/8.5.1/CATALOG.md,pass,recipes/elastic/kibana/8.5.1/revisions/default/r001/variant-revision.yaml,pass,recipes/elastic/kibana/8.5.1/helm-pain-report.yaml;recipes/elastic/kibana/8.5.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/elastic/kibana/8.5.1/control-points.yaml;recipes/elastic/kibana/8.5.1/value-model.yaml;recipes/elastic/kibana/8.5.1/helm-plan.yaml,todo,recipes/elastic/kibana/8.5.1/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,todo,data/top100-readiness/readiness.csv,pass,recipes/elastic/kibana/8.5.1/CATALOG.md;site/catalog.json
descheduler/descheduler,0.36.0,descheduler/descheduler@0.36.0,needs-useful-variant,next80-proof-grade,partial,88,add at least one user-shaped variant before catalog promotion,,pass,recipes/descheduler/descheduler/0.36.0/source-lock.yaml,pass,recipes/descheduler/descheduler/0.36.0/CATALOG.md,pass,recipes/descheduler/descheduler/0.36.0/revisions/default/r001/variant-revision.yaml,pass,recipes/descheduler/descheduler/0.36.0/helm-pain-report.yaml;recipes/descheduler/descheduler/0.36.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/descheduler/descheduler/0.36.0/control-points.yaml;recipes/descheduler/descheduler/0.36.0/value-model.yaml;recipes/descheduler/descheduler/0.36.0/helm-plan.yaml,todo,recipes/descheduler/descheduler/0.36.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/descheduler/descheduler/0.36.0/CATALOG.md;site/catalog.json
prometheus-community/prometheus-blackbox-exporter,11.10.0,prometheus-community/prometheus-blackbox-exporter@11.10.0,promote-after-review,next80-proof-grade,partial,88,run catalog promotion review,,pass,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/source-lock.yaml,pass,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/CATALOG.md,pass,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml,pass,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/helm-pain-report.yaml;recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/control-points.yaml;recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/value-model.yaml;recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/helm-plan.yaml,todo,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/CATALOG.md;site/catalog.json
bitnami/elasticsearch,22.1.6,bitnami/elasticsearch@22.1.6,limitation-decision-first,next80-proof-grade,partial,88,review limitation before promotion: existing-secret (chart ships no Secret toggle),,pass,recipes/bitnami/elasticsearch/22.1.6/source-lock.yaml,pass,recipes/bitnami/elasticsearch/22.1.6/CATALOG.md,pass,recipes/bitnami/elasticsearch/22.1.6/revisions/default/r001/variant-revision.yaml,pass,recipes/bitnami/elasticsearch/22.1.6/helm-pain-report.yaml;recipes/bitnami/elasticsearch/22.1.6/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/bitnami/elasticsearch/22.1.6/control-points.yaml;recipes/bitnami/elasticsearch/22.1.6/value-model.yaml;recipes/bitnami/elasticsearch/22.1.6/helm-plan.yaml,todo,recipes/bitnami/elasticsearch/22.1.6/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/bitnami/elasticsearch/22.1.6/CATALOG.md;site/catalog.json
stakater/reloader,2.2.12,stakater/reloader@2.2.12,promote-after-review,next80-proof-grade,partial,88,run catalog promotion review,,pass,recipes/stakater/reloader/2.2.12/source-lock.yaml,pass,recipes/stakater/reloader/2.2.12/CATALOG.md,pass,recipes/stakater/reloader/2.2.12/revisions/controller-default-reviewed/r001/variant-revision.yaml,pass,recipes/stakater/reloader/2.2.12/helm-pain-report.yaml;recipes/stakater/reloader/2.2.12/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/stakater/reloader/2.2.12/control-points.yaml;recipes/stakater/reloader/2.2.12/value-model.yaml;recipes/stakater/reloader/2.2.12/helm-plan.yaml,todo,recipes/stakater/reloader/2.2.12/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/stakater/reloader/2.2.12/CATALOG.md;site/catalog.json
jaegertracing/jaeger,4.8.0,jaegertracing/jaeger@4.8.0,needs-useful-variant,next80-proof-grade,partial,88,add at least one user-shaped variant before catalog promotion,,pass,recipes/jaegertracing/jaeger/4.8.0/source-lock.yaml,pass,recipes/jaegertracing/jaeger/4.8.0/CATALOG.md,pass,recipes/jaegertracing/jaeger/4.8.0/revisions/default/r001/variant-revision.yaml,pass,recipes/jaegertracing/jaeger/4.8.0/helm-pain-report.yaml;recipes/jaegertracing/jaeger/4.8.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/jaegertracing/jaeger/4.8.0/control-points.yaml;recipes/jaegertracing/jaeger/4.8.0/value-model.yaml;recipes/jaegertracing/jaeger/4.8.0/helm-plan.yaml,todo,recipes/jaegertracing/jaeger/4.8.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/jaegertracing/jaeger/4.8.0/CATALOG.md;site/catalog.json
grafana/alloy,1.8.2,grafana/alloy@1.8.2,promote-after-review,next80-proof-grade,partial,88,run catalog promotion review,,pass,recipes/grafana/alloy/1.8.2/source-lock.yaml,pass,recipes/grafana/alloy/1.8.2/CATALOG.md,pass,recipes/grafana/alloy/1.8.2/revisions/default/r001/variant-revision.yaml,pass,recipes/grafana/alloy/1.8.2/helm-pain-report.yaml;recipes/grafana/alloy/1.8.2/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/grafana/alloy/1.8.2/control-points.yaml;recipes/grafana/alloy/1.8.2/value-model.yaml;recipes/grafana/alloy/1.8.2/helm-plan.yaml,todo,recipes/grafana/alloy/1.8.2/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/grafana/alloy/1.8.2/CATALOG.md;site/catalog.json
nats/nats,2.14.0,nats/nats@2.14.0,promote-after-review,next80-proof-grade,partial,88,run catalog promotion review,,pass,recipes/nats/nats/2.14.0/source-lock.yaml,pass,recipes/nats/nats/2.14.0/CATALOG.md,pass,recipes/nats/nats/2.14.0/revisions/default/r001/variant-revision.yaml,pass,recipes/nats/nats/2.14.0/helm-pain-report.yaml;recipes/nats/nats/2.14.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/nats/nats/2.14.0/control-points.yaml;recipes/nats/nats/2.14.0/value-model.yaml;recipes/nats/nats/2.14.0/helm-plan.yaml,todo,recipes/nats/nats/2.14.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/nats/nats/2.14.0/CATALOG.md;site/catalog.json
dex/dex,0.24.0,dex/dex@0.24.0,needs-useful-variant,next80-proof-grade,partial,75,add at least one user-shaped variant before catalog promotion,,pass,recipes/dex/dex/0.24.0/source-lock.yaml,pass,recipes/dex/dex/0.24.0/CATALOG.md,pass,recipes/dex/dex/0.24.0/revisions/default/r001/variant-revision.yaml,pass,recipes/dex/dex/0.24.0/helm-pain-report.yaml;recipes/dex/dex/0.24.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/dex/dex/0.24.0/control-points.yaml;recipes/dex/dex/0.24.0/value-model.yaml;recipes/dex/dex/0.24.0/helm-plan.yaml,todo,recipes/dex/dex/0.24.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,todo,data/top100-readiness/readiness.csv,pass,recipes/dex/dex/0.24.0/CATALOG.md;site/catalog.json
prometheus-community/alertmanager,1.37.0,prometheus-community/alertmanager@1.37.0,promote-after-review,next80-proof-grade,partial,88,run catalog promotion review,,pass,recipes/prometheus-community/alertmanager/1.37.0/source-lock.yaml,pass,recipes/prometheus-community/alertmanager/1.37.0/CATALOG.md,pass,recipes/prometheus-community/alertmanager/1.37.0/revisions/default/r001/variant-revision.yaml,pass,recipes/prometheus-community/alertmanager/1.37.0/helm-pain-report.yaml;recipes/prometheus-community/alertmanager/1.37.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/prometheus-community/alertmanager/1.37.0/control-points.yaml;recipes/prometheus-community/alertmanager/1.37.0/value-model.yaml;recipes/prometheus-community/alertmanager/1.37.0/helm-plan.yaml,todo,recipes/prometheus-community/alertmanager/1.37.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/prometheus-community/alertmanager/1.37.0/CATALOG.md;site/catalog.json
falcosecurity/falco,9.0.0,falcosecurity/falco@9.0.0,needs-useful-variant,next80-proof-grade,partial,88,add at least one user-shaped variant before catalog promotion,,pass,recipes/falcosecurity/falco/9.0.0/source-lock.yaml,pass,recipes/falcosecurity/falco/9.0.0/CATALOG.md,pass,recipes/falcosecurity/falco/9.0.0/revisions/default/r001/variant-revision.yaml,pass,recipes/falcosecurity/falco/9.0.0/helm-pain-report.yaml;recipes/falcosecurity/falco/9.0.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/falcosecurity/falco/9.0.0/control-points.yaml;recipes/falcosecurity/falco/9.0.0/value-model.yaml;recipes/falcosecurity/falco/9.0.0/helm-plan.yaml,todo,recipes/falcosecurity/falco/9.0.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/falcosecurity/falco/9.0.0/CATALOG.md;site/catalog.json
prometheus-community/prometheus-node-exporter,4.55.0,prometheus-community/prometheus-node-exporter@4.55.0,promote-after-review,next80-proof-grade,partial,88,run catalog promotion review,,pass,recipes/prometheus-community/prometheus-node-exporter/4.55.0/source-lock.yaml,pass,recipes/prometheus-community/prometheus-node-exporter/4.55.0/CATALOG.md,pass,recipes/prometheus-community/prometheus-node-exporter/4.55.0/revisions/cluster-metrics-readonly/r001/variant-revision.yaml,pass,recipes/prometheus-community/prometheus-node-exporter/4.55.0/helm-pain-report.yaml;recipes/prometheus-community/prometheus-node-exporter/4.55.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/prometheus-community/prometheus-node-exporter/4.55.0/control-points.yaml;recipes/prometheus-community/prometheus-node-exporter/4.55.0/value-model.yaml;recipes/prometheus-community/prometheus-node-exporter/4.55.0/helm-plan.yaml,todo,recipes/prometheus-community/prometheus-node-exporter/4.55.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/prometheus-community/prometheus-node-exporter/4.55.0/CATALOG.md;site/catalog.json
bitnami/spark,10.0.3,bitnami/spark@10.0.3,limitation-decision-first,next80-proof-grade,partial,88,review limitation before promotion: existing-secret (chart ships no Secret toggle),,pass,recipes/bitnami/spark/10.0.3/source-lock.yaml,pass,recipes/bitnami/spark/10.0.3/CATALOG.md,pass,recipes/bitnami/spark/10.0.3/revisions/default/r001/variant-revision.yaml,pass,recipes/bitnami/spark/10.0.3/helm-pain-report.yaml;recipes/bitnami/spark/10.0.3/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/bitnami/spark/10.0.3/control-points.yaml;recipes/bitnami/spark/10.0.3/value-model.yaml;recipes/bitnami/spark/10.0.3/helm-plan.yaml,todo,recipes/bitnami/spark/10.0.3/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/bitnami/spark/10.0.3/CATALOG.md;site/catalog.json
elastic/logstash,8.5.1,elastic/logstash@8.5.1,promote-after-review,next80-proof-grade,partial,88,run catalog promotion review,,pass,recipes/elastic/logstash/8.5.1/source-lock.yaml,pass,recipes/elastic/logstash/8.5.1/CATALOG.md,pass,recipes/elastic/logstash/8.5.1/revisions/default/r001/variant-revision.yaml,pass,recipes/elastic/logstash/8.5.1/helm-pain-report.yaml;recipes/elastic/logstash/8.5.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/elastic/logstash/8.5.1/control-points.yaml;recipes/elastic/logstash/8.5.1/value-model.yaml;recipes/elastic/logstash/8.5.1/helm-plan.yaml,todo,recipes/elastic/logstash/8.5.1/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/elastic/logstash/8.5.1/CATALOG.md;site/catalog.json
prometheus-community/prometheus-adapter,5.3.0,prometheus-community/prometheus-adapter@5.3.0,not-ready,next80-proof-grade,partial,88,"Run ConfigHub proof, local live, live Helm-vs-ConfigHub parity, and the APIService runtime contract for the maintained apiservice-v1-capability base before catalog promotion.",,pass,recipes/prometheus-community/prometheus-adapter/5.3.0/source-lock.yaml,pass,recipes/prometheus-community/prometheus-adapter/5.3.0/CATALOG.md,pass,recipes/prometheus-community/prometheus-adapter/5.3.0/revisions/apiservice-v1-capability/r001/variant-revision.yaml,pass,recipes/prometheus-community/prometheus-adapter/5.3.0/helm-pain-report.yaml;recipes/prometheus-community/prometheus-adapter/5.3.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/prometheus-community/prometheus-adapter/5.3.0/control-points.yaml;recipes/prometheus-community/prometheus-adapter/5.3.0/value-model.yaml;recipes/prometheus-community/prometheus-adapter/5.3.0/helm-plan.yaml,todo,recipes/prometheus-community/prometheus-adapter/5.3.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/prometheus-community/prometheus-adapter/5.3.0/CATALOG.md;site/catalog.json
projectcalico/tigera-operator,v3.32.0,projectcalico/tigera-operator@v3.32.0,needs-useful-variant,next80-proof-grade,partial,88,add at least one user-shaped variant before catalog promotion,,pass,recipes/projectcalico/tigera-operator/v3.32.0/source-lock.yaml,pass,recipes/projectcalico/tigera-operator/v3.32.0/CATALOG.md,pass,recipes/projectcalico/tigera-operator/v3.32.0/revisions/default/r001/variant-revision.yaml,pass,recipes/projectcalico/tigera-operator/v3.32.0/helm-pain-report.yaml;recipes/projectcalico/tigera-operator/v3.32.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/projectcalico/tigera-operator/v3.32.0/control-points.yaml;recipes/projectcalico/tigera-operator/v3.32.0/value-model.yaml;recipes/projectcalico/tigera-operator/v3.32.0/helm-plan.yaml,todo,recipes/projectcalico/tigera-operator/v3.32.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/projectcalico/tigera-operator/v3.32.0/CATALOG.md;site/catalog.json
fairwinds-stable/goldilocks,10.3.0,fairwinds-stable/goldilocks@10.3.0,needs-useful-variant,next80-proof-grade,partial,88,add at least one user-shaped variant before catalog promotion,,pass,recipes/fairwinds-stable/goldilocks/10.3.0/source-lock.yaml,pass,recipes/fairwinds-stable/goldilocks/10.3.0/CATALOG.md,pass,recipes/fairwinds-stable/goldilocks/10.3.0/revisions/default/r001/variant-revision.yaml,pass,recipes/fairwinds-stable/goldilocks/10.3.0/helm-pain-report.yaml;recipes/fairwinds-stable/goldilocks/10.3.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/fairwinds-stable/goldilocks/10.3.0/control-points.yaml;recipes/fairwinds-stable/goldilocks/10.3.0/value-model.yaml;recipes/fairwinds-stable/goldilocks/10.3.0/helm-plan.yaml,todo,recipes/fairwinds-stable/goldilocks/10.3.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/fairwinds-stable/goldilocks/10.3.0/CATALOG.md;site/catalog.json
prometheus-community/prometheus-operator-crds,29.0.0,prometheus-community/prometheus-operator-crds@29.0.0,needs-useful-variant,next80-proof-grade,partial,88,add at least one user-shaped variant before catalog promotion,,pass,recipes/prometheus-community/prometheus-operator-crds/29.0.0/source-lock.yaml,pass,recipes/prometheus-community/prometheus-operator-crds/29.0.0/CATALOG.md,pass,recipes/prometheus-community/prometheus-operator-crds/29.0.0/revisions/default/r001/variant-revision.yaml,pass,recipes/prometheus-community/prometheus-operator-crds/29.0.0/helm-pain-report.yaml;recipes/prometheus-community/prometheus-operator-crds/29.0.0/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/prometheus-community/prometheus-operator-crds/29.0.0/control-points.yaml;recipes/prometheus-community/prometheus-operator-crds/29.0.0/value-model.yaml;recipes/prometheus-community/prometheus-operator-crds/29.0.0/helm-plan.yaml,todo,recipes/prometheus-community/prometheus-operator-crds/29.0.0/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/prometheus-community/prometheus-operator-crds/29.0.0/CATALOG.md;site/catalog.json
bitnami/zookeeper,13.8.7,bitnami/zookeeper@13.8.7,limitation-decision-first,next80-proof-grade,partial,88,review limitation before promotion: existing-secret (chart ships no Secret toggle),,pass,recipes/bitnami/zookeeper/13.8.7/source-lock.yaml,pass,recipes/bitnami/zookeeper/13.8.7/CATALOG.md,pass,recipes/bitnami/zookeeper/13.8.7/revisions/default/r001/variant-revision.yaml,pass,recipes/bitnami/zookeeper/13.8.7/helm-pain-report.yaml;recipes/bitnami/zookeeper/13.8.7/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/bitnami/zookeeper/13.8.7/control-points.yaml;recipes/bitnami/zookeeper/13.8.7/value-model.yaml;recipes/bitnami/zookeeper/13.8.7/helm-plan.yaml,todo,recipes/bitnami/zookeeper/13.8.7/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,pass,data/outcome-coverage/base-outcomes.csv;data/live-kind-parity/summary.md;data/live-helm-confighub-compare/summary.md,pass,recipes/bitnami/zookeeper/13.8.7/CATALOG.md;site/catalog.json
elastic/filebeat,8.5.1,elastic/filebeat@8.5.1,promote-after-review,next80-proof-grade,partial,75,run catalog promotion review,,pass,recipes/elastic/filebeat/8.5.1/source-lock.yaml,pass,recipes/elastic/filebeat/8.5.1/CATALOG.md,pass,recipes/elastic/filebeat/8.5.1/revisions/default/r001/variant-revision.yaml,pass,recipes/elastic/filebeat/8.5.1/helm-pain-report.yaml;recipes/elastic/filebeat/8.5.1/control-points.yaml;data/outcome-coverage/feature-outcomes.csv,pass,recipes/elastic/filebeat/8.5.1/control-points.yaml;recipes/elastic/filebeat/8.5.1/value-model.yaml;recipes/elastic/filebeat/8.5.1/helm-plan.yaml,todo,recipes/elastic/filebeat/8.5.1/publication/installer-package-receipt.yaml;data/outcome-coverage/chart-outcomes.csv,todo,data/top100-readiness/readiness.csv,pass,recipes/elastic/filebeat/8.5.1/CATALOG.md;site/catalog.json
