rank,chart,version,bucket,current_proof,recommended_first_base,quirks,user_must_provide,confighub_absorbs,next_action,pain_report
54,fairwinds-stable/vpa,4.11.0,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",default (unreviewed first guess),crds;webhooks;extension-slots;lookup;tpl;capabilities;rbac,a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; target facts at variant time,exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,review APIService render-path notes: current maintained bases do not render APIService objects; create a separate APIService-enabled base only if product chooses that path,recipes/fairwinds-stable/vpa/4.11.0/helm-pain-report.yaml
55,bitnami/phpmyadmin,20.0.0,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default (unreviewed first guess),generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;storage,"an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; target facts at variant time; mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,add at least one user-shaped variant before catalog promotion,recipes/bitnami/phpmyadmin/20.0.0/helm-pain-report.yaml
56,prometheus-community/prometheus-pushgateway,3.6.0,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),generated-secrets;extension-slots;required-values;tpl;storage,"a StorageClass / storage decision; mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/prometheus-community/prometheus-pushgateway/3.6.0/helm-pain-report.yaml
57,fluent/fluentd,0.5.3,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),extension-slots;tpl;capabilities;rbac;storage,"a StorageClass / storage decision; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/fluent/fluentd/0.5.3/helm-pain-report.yaml
58,jaegertracing/jaeger-operator,2.57.0,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",no-crds (unreviewed first guess),crds;webhooks;extension-slots,a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time,exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review,recipes/jaegertracing/jaeger-operator/2.57.0/helm-pain-report.yaml
59,bitnami/memcached,8.5.5,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;lookup;generated-facts;tpl;capabilities;storage,"an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; target facts at variant time; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,add at least one user-shaped variant before catalog promotion,recipes/bitnami/memcached/8.5.5/helm-pain-report.yaml
60,strimzi/strimzi-kafka-operator,1.0.0,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 1/2, live parity 0/2)",default (unreviewed first guess),crds;extension-slots;tpl;capabilities;rbac,a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review,recipes/strimzi/strimzi-kafka-operator/1.0.0/helm-pain-report.yaml
61,opencost/opencost,2.5.21,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default (unreviewed first guess),extension-slots;required-values;tpl;capabilities;rbac;storage,"a StorageClass / storage decision; mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/opencost/opencost/2.5.21/helm-pain-report.yaml
62,gatekeeper/gatekeeper,3.22.2,works-with-target-prerequisites,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 1/2, live parity 0/2)",default (unreviewed first guess),hooks;crds;existing-secret;webhooks;extension-slots;capabilities;rbac,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time,exact rendered objects with render parity and receipts; CRD handling split into explicit bases; hooks classified and routed (not silently executed); extension slots routed to reviewed bases,run catalog promotion review,recipes/gatekeeper/gatekeeper/3.22.2/helm-pain-report.yaml
63,bitnami/contour,21.1.4,not-ready-yet,"proof-grade-with-named-limitation (render parity 2/2, local live 0/2, live parity 0/2)",default (unreviewed first guess),crds;generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;lookup;generated-facts;tpl;capabilities;rbac,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a CRD ownership choice (crds vs no-crds base); target facts at variant time; a decision on the named limitation before use,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; CRD handling split into explicit bases; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,review limitation before promotion: existing-secret (chart ships no Secret toggle),recipes/bitnami/contour/21.1.4/helm-pain-report.yaml
64,kyverno/kyverno-policies,3.8.0,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),extension-slots;required-values;lookup;tpl,"target facts at variant time; mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,add at least one user-shaped variant before catalog promotion,recipes/kyverno/kyverno-policies/3.8.0/helm-pain-report.yaml
65,elastic/metricbeat,8.5.1,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default (unreviewed first guess),extension-slots;tpl;capabilities;rbac;storage,"a StorageClass / storage decision; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/elastic/metricbeat/8.5.1/helm-pain-report.yaml
66,minio-operator/operator,7.1.1,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),crds;rbac,"a CRD ownership choice (crds vs no-crds base); your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; CRD handling split into explicit bases,add at least one user-shaped variant before catalog promotion,recipes/minio-operator/operator/7.1.1/helm-pain-report.yaml
67,percona/pxc-operator,1.19.1,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 1/2, live parity 0/2)",default (unreviewed first guess),crds;extension-slots;install-vs-upgrade-divergence;lookup;rbac,a CRD ownership choice (crds vs no-crds base); target facts at variant time,exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,run catalog promotion review,recipes/percona/pxc-operator/1.19.1/helm-pain-report.yaml
68,bitnami/apache,11.4.29,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default (unreviewed first guess),generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;lookup;generated-facts;tpl;capabilities,"an existing Secret for some bases (NOT built - chart ships no Secret toggle); target facts at variant time; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,add at least one user-shaped variant before catalog promotion,recipes/bitnami/apache/11.4.29/helm-pain-report.yaml
69,grafana/pyroscope,2.0.2,not-ready-yet,"proof-grade-with-named-limitation (render parity 3/3, local live 2/3, live parity 0/3)",default (unreviewed first guess),crds;generated-secrets;existing-secret;extension-slots;required-values;lookup;generated-facts;tpl;capabilities;rbac;storage,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; a CRD ownership choice (crds vs no-crds base); target facts at variant time; mandatory chart inputs; a decision on the named limitation before use,exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; CRD handling split into explicit bases; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,review limitation before promotion: existing-secret (chart ships no Secret toggle),recipes/grafana/pyroscope/2.0.2/helm-pain-report.yaml
70,aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default (unreviewed first guess),extension-slots;required-values;tpl;capabilities;rbac,"mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/helm-pain-report.yaml
71,falcosecurity/falcosidekick,0.13.1,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),existing-secret;extension-slots;required-values;capabilities;rbac;storage,"an existing Secret for some bases (buildable — not yet run); a StorageClass / storage decision; mandatory chart inputs; your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/falcosecurity/falcosidekick/0.13.1/helm-pain-report.yaml
72,aqua/trivy-operator,0.32.1,works-with-target-prerequisites,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",default (unreviewed first guess),crds;existing-secret;extension-slots,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review,recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml
73,argo-cd/argo-events,2.4.21,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",default (unreviewed first guess),crds;extension-slots,a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review,recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml
74,argo-cd/argo-rollouts,2.40.9,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",default (unreviewed first guess),crds;extension-slots,a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review,recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml
75,argo-cd/argo-workflows,1.0.14,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",controller-default-reviewed (unreviewed first guess),extension-slots,nothing beyond a cluster and namespace,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,run catalog promotion review,recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml
76,argo-cd/argocd-image-updater,1.2.2,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),crds;existing-secret;extension-slots,"an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base); your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml
77,autoscaler/cluster-autoscaler,9.57.0,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",controller-default-reviewed (unreviewed first guess),extension-slots,nothing beyond a cluster and namespace,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,run catalog promotion review,recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml
78,autoscaler/vertical-pod-autoscaler,0.9.0,works-with-target-prerequisites,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",no-crds (unreviewed first guess),crds;existing-secret;extension-slots,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/helm-pain-report.yaml
79,bitnami/opensearch,2.0.10,works-with-target-prerequisites,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",ha (unreviewed first guess),existing-secret;extension-slots,an existing Secret for some bases (buildable — not yet run),exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,run catalog promotion review,recipes/bitnami/opensearch/2.0.10/helm-pain-report.yaml
80,crossplane-stable/crossplane,2.3.1,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),existing-secret;extension-slots,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/crossplane-stable/crossplane/2.3.1/helm-pain-report.yaml
81,grafana/promtail,6.17.1,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),existing-secret;extension-slots,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/grafana/promtail/6.17.1/helm-pain-report.yaml
82,grafana/rollout-operator,0.49.0,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 1/2, live parity 0/2)",default (unreviewed first guess),crds;extension-slots,a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review,recipes/grafana/rollout-operator/0.49.0/helm-pain-report.yaml
83,haproxytech/kubernetes-ingress,1.52.0,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),existing-secret;extension-slots,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/haproxytech/kubernetes-ingress/1.52.0/helm-pain-report.yaml
84,istio/gateway,1.30.0,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",controller-default-reviewed (unreviewed first guess),none-flagged,nothing beyond a cluster and namespace,exact rendered objects with render parity and receipts,run catalog promotion review,recipes/istio/gateway/1.30.0/helm-pain-report.yaml
85,istio/istiod,1.30.0,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default (unreviewed first guess),existing-secret;extension-slots,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/istio/istiod/1.30.0/helm-pain-report.yaml
86,jetstack/cert-manager-csi-driver,v0.14.0,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),none-flagged,"your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts,add at least one user-shaped variant before catalog promotion,recipes/jetstack/cert-manager-csi-driver/v0.14.0/helm-pain-report.yaml
87,jetstack/trust-manager,v0.22.1,works-with-target-prerequisites,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",default (unreviewed first guess),crds;existing-secret;extension-slots,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review,recipes/jetstack/trust-manager/v0.22.1/helm-pain-report.yaml
88,linkerd/linkerd-crds,1.8.0,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),crds;existing-secret,"an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base); your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; CRD handling split into explicit bases,add at least one user-shaped variant before catalog promotion,recipes/linkerd/linkerd-crds/1.8.0/helm-pain-report.yaml
89,minio-operator/tenant,7.1.1,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),existing-secret;extension-slots,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/minio-operator/tenant/7.1.1/helm-pain-report.yaml
90,nats/nack,0.34.0,works-with-target-prerequisites,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",default (unreviewed first guess),crds;existing-secret;extension-slots,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review,recipes/nats/nack/0.34.0/helm-pain-report.yaml
91,nats/surveyor,0.20.9,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",default-reviewed (unreviewed first guess),extension-slots,nothing beyond a cluster and namespace,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,run catalog promotion review,recipes/nats/surveyor/0.20.9/helm-pain-report.yaml
92,open-telemetry/opentelemetry-operator,0.114.0,works-with-target-prerequisites,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",default (unreviewed first guess),crds;existing-secret;extension-slots,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review,recipes/open-telemetry/opentelemetry-operator/0.114.0/helm-pain-report.yaml
93,percona/pg-operator,3.0.0,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",default (unreviewed first guess),crds,a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases,run catalog promotion review,recipes/percona/pg-operator/3.0.0/helm-pain-report.yaml
94,percona/psmdb-operator,1.22.0,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",default (unreviewed first guess),crds,a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases,run catalog promotion review,recipes/percona/psmdb-operator/1.22.0/helm-pain-report.yaml
95,rook-release/rook-ceph,v1.19.5,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),crds,"a CRD ownership choice (crds vs no-crds base); your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; CRD handling split into explicit bases,add at least one user-shaped variant before catalog promotion,recipes/rook-release/rook-ceph/v1.19.5/helm-pain-report.yaml
96,rook-release/rook-ceph-cluster,v1.19.5,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),existing-secret;extension-slots,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/rook-release/rook-ceph-cluster/v1.19.5/helm-pain-report.yaml
97,sealed-secrets/sealed-secrets,2.18.6,works-with-target-prerequisites,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",default (unreviewed first guess),crds;existing-secret;extension-slots,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review,recipes/sealed-secrets/sealed-secrets/2.18.6/helm-pain-report.yaml
98,velero/velero,12.0.1,works-with-target-prerequisites,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",no-crds (unreviewed first guess),crds;existing-secret;extension-slots,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base),exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,run catalog promotion review,recipes/velero/velero/12.0.1/helm-pain-report.yaml
99,vm/victoria-logs-single,0.12.5,needs-better-base-variant,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default (unreviewed first guess),existing-secret;extension-slots,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,add at least one user-shaped variant before catalog promotion,recipes/vm/victoria-logs-single/0.12.5/helm-pain-report.yaml
100,vm/victoria-metrics-single,0.39.0,works-with-operator-review,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 0/2)",default-reviewed (unreviewed first guess),extension-slots,nothing beyond a cluster and namespace,exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,run catalog promotion review,recipes/vm/victoria-metrics-single/0.39.0/helm-pain-report.yaml
