proof_surface_rank,chart,answer,plain_english,first_action,recommended_base_or_variant,command_or_file,strongest_evidence,render_parity,live_summary,first_promotion_wave,promotion_wave_first_step,promotion_wave_gaps,hard_gap,production_note,catalog_path,helm_pain_report
41,prometheus-community/alertmanager@1.37.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/prometheus-community/alertmanager/1.37.0/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; stateful storage and rollback policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/prometheus-community/alertmanager/1.37.0/CATALOG.md,recipes/prometheus-community/alertmanager/1.37.0/helm-pain-report.yaml
42,falcosecurity/falco@9.0.0,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/falcosecurity/falco/9.0.0/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/falcosecurity/falco/9.0.0/CATALOG.md,recipes/falcosecurity/falco/9.0.0/helm-pain-report.yaml
43,prometheus-community/prometheus-node-exporter@4.55.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/prometheus-community/prometheus-node-exporter/4.55.0/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/prometheus-community/prometheus-node-exporter/4.55.0/CATALOG.md,recipes/prometheus-community/prometheus-node-exporter/4.55.0/helm-pain-report.yaml
44,bitnami/spark@10.0.3,decision-needed-first,A named capability gap affects the recommended path.,"Decide whether to support, disclose, defer, or block the hard gap before promotion.",default,recipes/bitnami/spark/10.0.3/helm-pain-report.yaml,local-kubernetes-live,3/3,local:1/3 gitops:0/3 live-parity:0/3 two-cluster:0/3,no,-,-,existing-secret (chart ships no Secret toggle),Resolve the named gap first: existing-secret (chart ships no Secret toggle).,recipes/bitnami/spark/10.0.3/CATALOG.md,recipes/bitnami/spark/10.0.3/helm-pain-report.yaml
45,elastic/logstash@8.5.1,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/elastic/logstash/8.5.1/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:1/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; stateful storage and rollback policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/elastic/logstash/8.5.1/CATALOG.md,recipes/elastic/logstash/8.5.1/helm-pain-report.yaml
46,prometheus-community/prometheus-adapter@5.3.0,review-needed,The chart needs manual review before a user-facing recommendation is made.,Open top100 readiness and the chart catalog page.,default,recipes/prometheus-community/prometheus-adapter/5.3.0/CATALOG.md,live-helm-vs-confighub-parity,3/3,local:1/3 gitops:1/3 live-parity:1/3 two-cluster:1/3,no,-,-,-,No production claim.,recipes/prometheus-community/prometheus-adapter/5.3.0/CATALOG.md,recipes/prometheus-community/prometheus-adapter/5.3.0/helm-pain-report.yaml
47,projectcalico/tigera-operator@v3.32.0,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/projectcalico/tigera-operator/v3.32.0/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:0/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/projectcalico/tigera-operator/v3.32.0/CATALOG.md,recipes/projectcalico/tigera-operator/v3.32.0/helm-pain-report.yaml
48,fairwinds-stable/goldilocks@10.3.0,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/fairwinds-stable/goldilocks/10.3.0/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,existing-secret (chart ships no Secret toggle),"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/fairwinds-stable/goldilocks/10.3.0/CATALOG.md,recipes/fairwinds-stable/goldilocks/10.3.0/helm-pain-report.yaml
49,prometheus-community/prometheus-operator-crds@29.0.0,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/prometheus-community/prometheus-operator-crds/29.0.0/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/prometheus-community/prometheus-operator-crds/29.0.0/CATALOG.md,recipes/prometheus-community/prometheus-operator-crds/29.0.0/helm-pain-report.yaml
50,bitnami/zookeeper@13.8.7,decision-needed-first,A named capability gap affects the recommended path.,"Decide whether to support, disclose, defer, or block the hard gap before promotion.",default,recipes/bitnami/zookeeper/13.8.7/helm-pain-report.yaml,local-kubernetes-live,3/3,local:1/3 gitops:0/3 live-parity:0/3 two-cluster:0/3,no,-,-,existing-secret (chart ships no Secret toggle),Resolve the named gap first: existing-secret (chart ships no Secret toggle).,recipes/bitnami/zookeeper/13.8.7/CATALOG.md,recipes/bitnami/zookeeper/13.8.7/helm-pain-report.yaml
51,elastic/filebeat@8.5.1,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/elastic/filebeat/8.5.1/CATALOG.md,in-confighub-proof,2/2,local:0/2 gitops:0/2 live-parity:0/2 two-cluster:0/2,no,-,-,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/elastic/filebeat/8.5.1/CATALOG.md,recipes/elastic/filebeat/8.5.1/helm-pain-report.yaml
52,hashicorp/terraform@1.1.2,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/hashicorp/terraform/1.1.2/CATALOG.md,in-confighub-proof,2/2,local:0/2 gitops:0/2 live-parity:0/2 two-cluster:0/2,no,-,-,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/hashicorp/terraform/1.1.2/CATALOG.md,recipes/hashicorp/terraform/1.1.2/helm-pain-report.yaml
53,coredns/coredns@1.45.2,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/coredns/coredns/1.45.2/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/coredns/coredns/1.45.2/CATALOG.md,recipes/coredns/coredns/1.45.2/helm-pain-report.yaml
54,fairwinds-stable/vpa@4.11.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/fairwinds-stable/vpa/4.11.0/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/fairwinds-stable/vpa/4.11.0/CATALOG.md,recipes/fairwinds-stable/vpa/4.11.0/helm-pain-report.yaml
55,bitnami/phpmyadmin@20.0.0,decision-needed-first,A named capability gap affects the recommended path.,"Decide whether to support, disclose, defer, or block the hard gap before promotion.",default,recipes/bitnami/phpmyadmin/20.0.0/helm-pain-report.yaml,local-kubernetes-live,2/2,local:1/2 gitops:0/2 live-parity:0/2 two-cluster:0/2,no,-,-,existing-secret (chart ships no Secret toggle),Resolve the named gap first: existing-secret (chart ships no Secret toggle).,recipes/bitnami/phpmyadmin/20.0.0/CATALOG.md,recipes/bitnami/phpmyadmin/20.0.0/helm-pain-report.yaml
56,karpenter/karpenter@1.14.0,review-needed,The chart needs manual review before a user-facing recommendation is made.,Open top100 readiness and the chart catalog page.,default,recipes/karpenter/karpenter/1.14.0/CATALOG.md,render-parity,3/3,local:0/3 gitops:0/3 live-parity:0/3 two-cluster:0/3,no,-,-,-,No production claim.,recipes/karpenter/karpenter/1.14.0/CATALOG.md,recipes/karpenter/karpenter/1.14.0/helm-pain-report.yaml
57,prometheus-community/prometheus-pushgateway@3.6.0,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/prometheus-community/prometheus-pushgateway/3.6.0/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/prometheus-community/prometheus-pushgateway/3.6.0/CATALOG.md,recipes/prometheus-community/prometheus-pushgateway/3.6.0/helm-pain-report.yaml
58,fluent/fluentd@0.5.3,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/fluent/fluentd/0.5.3/CATALOG.md,two-cluster-kind-parity,1/1,local:1/1 gitops:0/1 live-parity:0/1 two-cluster:1/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/fluent/fluentd/0.5.3/CATALOG.md,recipes/fluent/fluentd/0.5.3/helm-pain-report.yaml
59,jaegertracing/jaeger-operator@2.57.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/jaegertracing/jaeger-operator/2.57.0/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:1/2 gitops:1/2 live-parity:1/2 two-cluster:0/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/jaegertracing/jaeger-operator/2.57.0/CATALOG.md,recipes/jaegertracing/jaeger-operator/2.57.0/helm-pain-report.yaml
60,bitnami/memcached@8.5.5,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/bitnami/memcached/8.5.5/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,existing-secret (chart ships no Secret toggle),"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/bitnami/memcached/8.5.5/CATALOG.md,recipes/bitnami/memcached/8.5.5/helm-pain-report.yaml
61,strimzi/strimzi-kafka-operator@1.0.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/strimzi/strimzi-kafka-operator/1.0.0/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:1/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/strimzi/strimzi-kafka-operator/1.0.0/CATALOG.md,recipes/strimzi/strimzi-kafka-operator/1.0.0/helm-pain-report.yaml
62,opencost/opencost@2.5.21,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/opencost/opencost/2.5.21/CATALOG.md,in-confighub-proof,1/1,local:0/1 gitops:0/1 live-parity:0/1 two-cluster:0/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/opencost/opencost/2.5.21/CATALOG.md,recipes/opencost/opencost/2.5.21/helm-pain-report.yaml
63,gatekeeper/gatekeeper@3.22.2,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/gatekeeper/gatekeeper/3.22.2/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/gatekeeper/gatekeeper/3.22.2/CATALOG.md,recipes/gatekeeper/gatekeeper/3.22.2/helm-pain-report.yaml
64,bitnami/contour@21.1.4,decision-needed-first,A named capability gap affects the recommended path.,"Decide whether to support, disclose, defer, or block the hard gap before promotion.",default,recipes/bitnami/contour/21.1.4/helm-pain-report.yaml,two-cluster-kind-parity,3/3,local:0/3 gitops:0/3 live-parity:0/3 two-cluster:1/3,no,-,-,existing-secret (chart ships no Secret toggle),Resolve the named gap first: existing-secret (chart ships no Secret toggle).,recipes/bitnami/contour/21.1.4/CATALOG.md,recipes/bitnami/contour/21.1.4/helm-pain-report.yaml
65,valkey/valkey@0.11.0,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/valkey/valkey/0.11.0/CATALOG.md,render-parity,1/1,local:0/1 gitops:0/1 live-parity:0/1 two-cluster:0/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/valkey/valkey/0.11.0/CATALOG.md,recipes/valkey/valkey/0.11.0/helm-pain-report.yaml
66,kyverno/kyverno-policies@3.8.0,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/kyverno/kyverno-policies/3.8.0/CATALOG.md,local-kubernetes-live,1/1,local:1/1 gitops:0/1 live-parity:0/1 two-cluster:0/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/kyverno/kyverno-policies/3.8.0/CATALOG.md,recipes/kyverno/kyverno-policies/3.8.0/helm-pain-report.yaml
67,elastic/metricbeat@8.5.1,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/elastic/metricbeat/8.5.1/CATALOG.md,in-confighub-proof,1/1,local:0/1 gitops:0/1 live-parity:0/1 two-cluster:0/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/elastic/metricbeat/8.5.1/CATALOG.md,recipes/elastic/metricbeat/8.5.1/helm-pain-report.yaml
68,minio-operator/operator@7.1.1,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/minio-operator/operator/7.1.1/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,no-crds (template-baked CRDs; no clean chart toggle yet),"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/minio-operator/operator/7.1.1/CATALOG.md,recipes/minio-operator/operator/7.1.1/helm-pain-report.yaml
69,percona/pxc-operator@1.19.1,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/percona/pxc-operator/1.19.1/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:1/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/percona/pxc-operator/1.19.1/CATALOG.md,recipes/percona/pxc-operator/1.19.1/helm-pain-report.yaml
70,bitnami/apache@11.4.29,decision-needed-first,A named capability gap affects the recommended path.,"Decide whether to support, disclose, defer, or block the hard gap before promotion.",default,recipes/bitnami/apache/11.4.29/helm-pain-report.yaml,local-kubernetes-live,2/2,local:1/2 gitops:0/2 live-parity:0/2 two-cluster:0/2,no,-,-,existing-secret (chart ships no Secret toggle),Resolve the named gap first: existing-secret (chart ships no Secret toggle).,recipes/bitnami/apache/11.4.29/CATALOG.md,recipes/bitnami/apache/11.4.29/helm-pain-report.yaml
71,grafana/pyroscope@2.0.2,decision-needed-first,A named capability gap affects the recommended path.,"Decide whether to support, disclose, defer, or block the hard gap before promotion.",default,recipes/grafana/pyroscope/2.0.2/helm-pain-report.yaml,two-cluster-kind-parity,3/3,local:2/3 gitops:0/3 live-parity:0/3 two-cluster:2/3,no,-,-,existing-secret (chart ships no Secret toggle),Resolve the named gap first: existing-secret (chart ships no Secret toggle).,recipes/grafana/pyroscope/2.0.2/CATALOG.md,recipes/grafana/pyroscope/2.0.2/helm-pain-report.yaml
72,aws-ebs-csi-driver/aws-ebs-csi-driver@2.60.1,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/CATALOG.md,in-confighub-proof,1/1,local:0/1 gitops:0/1 live-parity:0/1 two-cluster:0/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/CATALOG.md,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/helm-pain-report.yaml
73,falcosecurity/falcosidekick@0.13.1,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/falcosecurity/falcosidekick/0.13.1/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/falcosecurity/falcosidekick/0.13.1/CATALOG.md,recipes/falcosecurity/falcosidekick/0.13.1/helm-pain-report.yaml
74,aqua/trivy-operator@0.32.1,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/aqua/trivy-operator/0.32.1/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/aqua/trivy-operator/0.32.1/CATALOG.md,recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml
75,argo-cd/argo-events@2.4.21,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/argo-cd/argo-events/2.4.21/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/argo-cd/argo-events/2.4.21/CATALOG.md,recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml
76,argo-cd/argo-rollouts@2.40.9,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/argo-cd/argo-rollouts/2.40.9/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/argo-cd/argo-rollouts/2.40.9/CATALOG.md,recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml
77,argo-cd/argo-workflows@1.0.14,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/argo-cd/argo-workflows/1.0.14/CATALOG.md,live-helm-vs-confighub-parity,3/3,local:1/3 gitops:3/3 live-parity:3/3 two-cluster:3/3,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/argo-cd/argo-workflows/1.0.14/CATALOG.md,recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml
78,argo-cd/argocd-image-updater@1.2.2,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/argo-cd/argocd-image-updater/1.2.2/CATALOG.md,live-helm-vs-confighub-parity,1/1,local:1/1 gitops:1/1 live-parity:1/1 two-cluster:1/1,no,-,-,no-crds (template-baked CRDs; no clean chart toggle yet),"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/argo-cd/argocd-image-updater/1.2.2/CATALOG.md,recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml
79,autoscaler/cluster-autoscaler@9.57.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/autoscaler/cluster-autoscaler/9.57.0/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:0/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; high scan findings require review before catalog support; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/autoscaler/cluster-autoscaler/9.57.0/CATALOG.md,recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml
80,autoscaler/vertical-pod-autoscaler@0.9.0,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/CATALOG.md,live-helm-vs-confighub-parity,2/2,local:2/2 gitops:2/2 live-parity:2/2 two-cluster:2/2,yes,"review the existing variants, then write production disposition or support-decision artifacts before changing catalog status",human review needed: confirm variants are the obvious Helm-user paths; medium scan findings require review or waiver before production support; install gate warns; production support requires documented disposition or acceptance; CRD lifecycle policy must be catalog-readable; webhook readiness/observation policy must be catalog-readable,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/CATALOG.md,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/helm-pain-report.yaml
81,aws-controllers-k8s/ec2-chart@1.18.4,review-needed,The chart needs manual review before a user-facing recommendation is made.,Open top100 readiness and the chart catalog page.,default,recipes/aws-controllers-k8s/ec2-chart/1.18.4/CATALOG.md,render-parity,2/2,local:0/2 gitops:0/2 live-parity:0/2 two-cluster:0/2,no,-,-,-,No production claim.,recipes/aws-controllers-k8s/ec2-chart/1.18.4/CATALOG.md,recipes/aws-controllers-k8s/ec2-chart/1.18.4/helm-pain-report.yaml
82,aws-controllers-k8s/eks-chart@1.16.3,review-needed,The chart needs manual review before a user-facing recommendation is made.,Open top100 readiness and the chart catalog page.,default,recipes/aws-controllers-k8s/eks-chart/1.16.3/CATALOG.md,render-parity,2/2,local:0/2 gitops:0/2 live-parity:0/2 two-cluster:0/2,no,-,-,-,No production claim.,recipes/aws-controllers-k8s/eks-chart/1.16.3/CATALOG.md,recipes/aws-controllers-k8s/eks-chart/1.16.3/helm-pain-report.yaml
83,aws-controllers-k8s/iam-chart@1.7.3,review-needed,The chart needs manual review before a user-facing recommendation is made.,Open top100 readiness and the chart catalog page.,default,recipes/aws-controllers-k8s/iam-chart/1.7.3/CATALOG.md,render-parity,2/2,local:0/2 gitops:0/2 live-parity:0/2 two-cluster:0/2,no,-,-,-,No production claim.,recipes/aws-controllers-k8s/iam-chart/1.7.3/CATALOG.md,recipes/aws-controllers-k8s/iam-chart/1.7.3/helm-pain-report.yaml
84,bitnami/opensearch@2.0.10,not-yet-public-catalog-proof-ready,"The recipe/package proof exists and useful variants exist, but this chart has not been promoted into the public catalog.",Run catalog promotion review and add selected live lanes for the base a user would actually try.,default,recipes/bitnami/opensearch/2.0.10/CATALOG.md,local-kubernetes-live,3/3,local:1/3 gitops:0/3 live-parity:0/3 two-cluster:0/3,no,-,-,-,Do not present as a catalog-supported chart until promotion review and support decisions are recorded.,recipes/bitnami/opensearch/2.0.10/CATALOG.md,recipes/bitnami/opensearch/2.0.10/helm-pain-report.yaml
85,cloudpirates/nginx@0.16.1,not-yet-user-ready,"The mechanism works, but the current base is too default-shaped to be a good user offer.",Design at least one useful base variant before catalog promotion.,default,recipes/cloudpirates/nginx/0.16.1/CATALOG.md,render-parity,1/1,local:0/1 gitops:0/1 live-parity:0/1 two-cluster:0/1,no,-,-,-,"Render parity alone is useful evidence, not a production or catalog recommendation.",recipes/cloudpirates/nginx/0.16.1/CATALOG.md,recipes/cloudpirates/nginx/0.16.1/helm-pain-report.yaml
