chart,support_status,production_readiness,model_supported_level2,model_score,variant_count,variant_rich,base_rows,complete_core_rows,render_parity_pass,in_confighub_pass,local_live_pass,gitops_live_pass,gitops_live_non_pass_receipts,live_parity_pass,live_parity_non_pass_receipts,two_cluster_kind_parity_pass,two_cluster_kind_parity_non_pass_receipts,lifecycle_observation_pass,supported_variants,hook_route_status,feature_summary,hard_gap,buildable_backlog,recipe_path
prometheus-community/prometheus-adapter@5.3.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,1,0,0,0,0,0,0,0,0,cluster-metrics-readonly;default,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/prometheus-community/prometheus-adapter/5.3.0
prometheus-community/prometheus-blackbox-exporter@11.10.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,1,2,2,2,1,0,1,0,1,0,0,cluster-metrics-readonly;default,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0
prometheus-community/prometheus-node-exporter@4.55.0,proof-grade,not-reviewed-for-production,yes,6/6,1,no,2,1,2,2,2,1,0,1,0,1,0,0,cluster-metrics-readonly;default,,required-values;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/prometheus-community/prometheus-node-exporter/4.55.0
prometheus-community/prometheus-operator-crds@29.0.0,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,0,1,0,0,0,0,0,0,0,default,,crds,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/prometheus-community/prometheus-operator-crds/29.0.0
prometheus-community/prometheus-pushgateway@3.6.0,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,0,1,0,0,0,0,0,0,0,default,,generated-secrets;required-values;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/prometheus-community/prometheus-pushgateway/3.6.0
prometheus-community/prometheus@29.8.0,catalog-supported,production-review-ready,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,2,0,0,default;server-only-ephemeral,,generated-secrets;required-values;values-schema;extension-slots;remote-dependencies;dependency-range-frozen,ha (curated proof lane - bespoke teaching needed),-,recipes/prometheus-community/prometheus/29.8.0
prometheus-community/prometheus@29.9.0,catalog-candidate,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,0,2,0,0,0,0,0,0,0,default;server-only-ephemeral,,none-recorded,,,recipes/prometheus-community/prometheus/29.9.0
rook-release/rook-ceph-cluster@v1.19.5,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/rook-release/rook-ceph-cluster/v1.19.5
rook-release/rook-ceph@v1.19.5,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,crds,no-crds (template-baked CRDs; no clean chart toggle yet),-,recipes/rook-release/rook-ceph/v1.19.5
runix/pgadmin4@1.62.0,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,required-values;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/runix/pgadmin4/1.62.0
sealed-secrets/sealed-secrets@2.18.6,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,1,2,2,2,1,0,1,0,1,0,0,default;no-crds,,crds;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/sealed-secrets/sealed-secrets/2.18.6
secrets-store-csi-driver/secrets-store-csi-driver@1.6.0,catalog-supported,production-review-ready,yes,6/6,2,yes,2,2,2,2,2,2,0,2,0,2,0,0,default;sync-secret-rotation,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),no-crds (buildable - not yet run),recipes/secrets-store-csi-driver/secrets-store-csi-driver/1.6.0
stakater/reloader@2.2.12,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,2,2,0,0,0,0,0,0,0,controller-default-reviewed;default,,values-schema;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/stakater/reloader/2.2.12
strimzi/strimzi-kafka-operator@1.0.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,1,2,2,1,1,0,1,0,1,0,0,default;no-crds,,crds;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/strimzi/strimzi-kafka-operator/1.0.0
traefik/traefik@40.2.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,1,2,2,2,1,0,1,0,0,0,0,default;no-crds,,generated-secrets;crds;webhooks;required-values;values-schema;extension-slots,existing-secret (chart ships no Secret toggle),-,recipes/traefik/traefik/40.2.0
velero/velero@12.0.1,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,2,0,0,0,0,0,0,0,0,default;no-crds,,crds;extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/velero/velero/12.0.1
vm/victoria-logs-single@0.12.5,proof-grade,not-reviewed-for-production,yes,6/6,1,no,1,0,1,1,1,0,0,0,0,0,0,0,default,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),existing-secret (buildable - not yet run),recipes/vm/victoria-logs-single/0.12.5
vm/victoria-metrics-single@0.39.0,proof-grade,not-reviewed-for-production,yes,6/6,2,yes,2,0,2,2,2,0,0,0,0,0,0,0,default;default-reviewed,,extension-slots,- (no open gap: recommended capabilities built or n/a; quirks modeled - Level 2),-,recipes/vm/victoria-metrics-single/0.39.0
