rank,chart,source_version,current_recipe_version,proof_match_basis,version_match,source_status,recipe_status,package_status,variant_status,proof_status,catalog_status,production_readiness,supported_variants,next_action,source_features,recipe_path,package_path,support_level,supported_scopes,candidate_variants,current_risk,source_classification,source_problem_score,source_pre_recipe_risk_count,source_lifecycle_policy_count,source_early_policy_count,source_generated_facts_count,source_install_operate_count,lookup_count,rand_count,cert_count,time_uuid_count,required_fail_count,tpl_count,capabilities_api_count,capabilities_kube_version_count,hooks_count,crd_files_count,cluster_roles_count,webhooks_count,api_services_count,stateful_sets_count,pvc_count,secrets_count,dependencies_declared,dependency_lock_present,non_exact_dependency_constraints,proof_tier,proof_variant_count,proof_revision_count,proof_rendered_object_count,proof_first_rendered_sha256,proof_semantic_matches,proof_scan_results,proof_gate_results,proof_scan_high,proof_scan_medium,proof_scan_low,proof_control_categories,proof_uses_lookup,proof_uses_generated_facts,proof_uses_capabilities,proof_uses_tpl,proof_has_extension_slots,proof_receipts,weirdness_note,source_repository_url,source_archive_sha256,old_matrix_scan_status,old_matrix_error
104,argo/argo-events,2.4.21,2.4.21,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,tpl;capabilities;crds;cluster-rbac,recipes/argo-cd/argo-events/2.4.21/recipe.yaml,packages/argo-cd/argo-events/2.4.21,machine-proof-only,,default,proof-grade-needs-variants,P2 recipe/render/install policy,10,0,0,1,0,2,0,0,0,0,0,2,1,0,0,3,5,0,0,0,0,0,0,false,0,next80-full,1,1,9,fe5c705f2f03410df75055542a79619c82947dafbf3f1c01c05eca2fc197503b,9/9,warn,warn,0,5,0,capability-profile;cluster-rbac;crds;dependency-lock;extension-slots;helm-equivalence;rendered-manifest-scan;source-lock;tpl-extension-slots;variant-revision,false,false,true,true,true,helmEquivalence;installGate;render;scan,,https://argoproj.github.io/argo-helm,b325ca4569aa43b6bef3bb0065bb997727124017b307491a731e47cf527b69c7,scanned,
105,twuni/docker-registry,3.0.0,,none,none,source-scan-failed,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,repair source acquisition before recipe proof,plain-ish,,,none,,,source-risk-no-proof,P0 blocked: archive unavailable/malformed,100,1,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,false,0,,0,0,0,,,,,,,,,,,,,,,,https://helm.twun.io,,failed,
106,codecentric/keycloak,18.10.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;hooks;stateful-storage,,,none,,,source-risk-no-proof,P0 source/dependency risk,82,1,2,5,8,1,3,6,2,0,4,58,3,4,2,0,0,0,0,4,0,3,1,true,1,,0,0,0,,,,,,,,,,,,,,,,https://codecentric.github.io/helm-charts,5b6f541629d4dda489e439c7bf9d288307c71e8050583fe1362729a012a79b67,scanned,
107,elastic/logstash,8.5.1,8.5.1,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,tpl;capabilities;stateful-storage,recipes/elastic/logstash/8.5.1/recipe.yaml,packages/elastic/logstash/8.5.1,machine-proof-only,,default,proof-grade-needs-variants,P2 recipe/render/install policy,9,0,0,1,0,1,0,0,0,0,0,7,1,0,0,0,0,0,0,1,0,1,0,false,0,next80-full,1,1,3,1bb5971d54f2bb9fd05ffe69b339261a9c31e8b81eeba48064a9dbc337fe5ecd,3/3,pass,allow,0,0,0,capability-profile;dependency-lock;extension-slots;helm-equivalence;rendered-manifest-scan;source-lock;stateful-storage;tpl-extension-slots;variant-revision,false,false,true,true,true,helmEquivalence;installGate;render;scan,,https://helm.elastic.co,70aace1eb5ecb759942e60ffd192a849330582900658a6b306055a9530adb44b,scanned,
108,bitnami/grafana,12.1.8,10.5.15,chart-name-only,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,blocked-by-current-scan-gate,generated-passwords;existing-secret-ingress,review source/current-version drift and refresh recipe if needed,lookup;generated-facts;tpl;capabilities;stateful-storage,recipes/grafana/grafana/10.5.15/recipe.yaml,packages/grafana/grafana/10.5.15,supported-for-declared-scopes,local-test,,local-test-supported-production-blocked,P0 source/dependency risk,64,1,0,5,7,1,3,5,2,0,3,9,2,1,0,0,0,0,0,0,1,6,1,true,1,,2,2,18,893351c9b8cad0a10b0176a946bf514a76c5895bdb2d88a31bdd53a94288066d,9/9,warn,warn,0,14,0,capability-profile;chart-deprecation;cluster-rbac;dependency-lock;deployment-workload;extension-slots;generated-facts;installer-support-object;source-lock;target-facts;ui-ingress-policy,false,false,false,false,false,helmEquivalence;installGate;render;scan,recipes/grafana/grafana/10.5.15/weirdness-and-mitigations.md,https://charts.bitnami.com/bitnami,2203a6c7956e72a0f890cdcf1a9203a03f4a3499b25b0df1fb29f546042dafc6,scanned,
109,minecraft-server-charts/minecraft,5.1.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",tpl;capabilities;stateful-storage,,,none,,,not-yet-proved,P2 recipe/render/install policy,16,0,0,2,0,1,0,0,0,0,2,4,0,2,0,0,0,0,0,0,2,3,0,false,0,,0,0,0,,,,,,,,,,,,,,,,https://itzg.github.io/minecraft-server-charts/,827de1a74cdc26744150f34c524bc64fd8fab16fc943aa0ef29a3f18c2f5f623,scanned,
110,opensearch-project-helm-charts/opensearch,3.6.0,2.0.10,chart-name-only,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,review source/current-version drift and refresh recipe if needed,tpl;capabilities;stateful-storage,recipes/bitnami/opensearch/2.0.10/recipe.yaml,packages/bitnami/opensearch/2.0.10,machine-proof-only,,default,proof-grade-needs-variants,P2 recipe/render/install policy,20,0,0,3,0,1,0,0,0,0,6,10,2,9,0,0,0,0,0,1,0,2,0,false,0,next80-full,1,1,18,99c0b24ee1850d1f5a4da323e9924a8a1f9d93a34a97a985d92c954836747afd,18/18,warn,warn,4,4,0,capability-profile;dependency-lock;extension-slots;generated-facts;helm-equivalence;lifecycle-policy;rendered-manifest-scan;source-lock;stateful-storage;target-facts;tpl-extension-slots;variant-revision,true,true,true,true,true,helmEquivalence;installGate;render;scan,,https://opensearch-project.github.io/helm-charts,ca273ab819658024253fac6a81d289d8cace24b668f8d50c6995910e658d7d90,scanned,
111,prometheus-community/prometheus-postgres-exporter,8.0.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",tpl,,,none,,,not-yet-proved,P2 recipe/render/install policy,7,0,0,0,0,0,0,0,0,0,2,20,0,0,0,0,0,0,0,0,0,1,0,false,0,,0,0,0,,,,,,,,,,,,,,,,https://prometheus-community.github.io/helm-charts,7859e0c4f62698241530d5928cc2fe0480af24becf65cf4783dee5a1f81f216d,scanned,
112,forgejo-helm/forgejo,17.1.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;stateful-storage,,,none,,,not-yet-proved,P1 compiler policy needed,46,0,0,5,5,1,3,5,0,0,15,17,2,1,0,0,0,0,0,0,1,6,1,true,0,,0,0,0,,,,,,,,,,,,,,,,oci://code.forgejo.org/forgejo-helm/forgejo,9629bf7d1fc9b40755ab4eb08c8125b1f1a4f0a0dc32b845270bfc10e054929b,scanned,"Error: looks like ""oci://code.forgejo.org/forgejo-helm/forgejo"" is not a valid chart repository or cannot be reached: failed to perform ""FetchReference"" on source: invalid reference
"
113,kured/kured,5.11.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",tpl;capabilities;cluster-rbac,,,none,,,not-yet-proved,P2 recipe/render/install policy,11,0,0,2,0,1,0,0,0,0,0,3,0,1,0,0,2,0,0,0,0,0,0,false,0,,0,0,0,,,,,,,,,,,,,,,,https://kubereboot.github.io/charts,220e6469599308f852575b5358f222142b08b3936c59b6e6918919c84f8223ae,scanned,
114,victoriametrics/victoria-metrics-k8s-stack,0.79.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks;stateful-storage,,,none,,,source-risk-no-proof,P0 source/dependency risk,65,1,0,4,7,4,5,2,2,3,46,167,5,2,0,10,14,1,0,4,2,8,2,true,7,,0,0,0,,,,,,,,,,,,,,,,https://victoriametrics.github.io/helm-charts/,5b0fdf06e3fec7d75921f429c4b73c2931f512311501df955790abb9f0599d4b,scanned,
115,aws/aws-node-termination-handler,0.21.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",capabilities;cluster-rbac,,,none,,,not-yet-proved,P2 recipe/render/install policy,13,0,0,3,0,1,0,0,0,0,0,0,1,2,0,0,2,0,0,0,0,0,0,false,0,,0,0,0,,,,,,,,,,,,,,,,https://aws.github.io/eks-charts,1ecfd0f542aaf2cf93c31fad72e09ff006c32119653a4ddf8ce4b5f2464f286b,scanned,
116,grafana/k8s-monitoring,4.1.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;hooks;crds;cluster-rbac;stateful-storage,,,none,,,not-yet-proved,P1 compiler policy needed,72,0,3,5,2,3,3,0,0,2,116,39,11,1,5,2,25,0,0,2,1,10,0,true,0,,0,0,0,,,,,,,,,,,,,,,,https://grafana.github.io/helm-charts,6037a138e132d315a8d9b4ba1df1ce5b4e15f3e80db2c5a3e710c091831b4c79,scanned,
117,openebs/openebs,4.5.0-develop,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks;stateful-storage,,,none,,,source-risk-no-proof,P0 source/dependency risk,69,1,0,5,19,4,11,8,0,5,79,210,44,75,0,57,62,2,0,55,37,11,2,true,1,,0,0,0,,,,,,,,,,,,,,,,https://openebs.github.io/openebs,3601124b8088b65ad18c6d3d49d113c05cc78030554fdb3fce6a613acbdb3dc7,scanned,
118,prometheus-community/prometheus-adapter,5.3.0,5.3.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,tpl;capabilities;cluster-rbac,recipes/prometheus-community/prometheus-adapter/5.3.0/recipe.yaml,packages/prometheus-community/prometheus-adapter/5.3.0,machine-proof-only,,default,proof-grade-needs-variants,P2 recipe/render/install policy,10,0,0,1,0,2,0,0,0,0,0,2,3,0,0,0,10,0,3,0,0,1,0,false,0,next80-full,1,1,11,50e586691867cf7be3f14a7c3e71839f3f8b6cae32b64a10f01362d68add983a,11/11,warn,warn,0,6,0,apiservice;capability-profile;cluster-rbac;dependency-lock;extension-slots;helm-equivalence;rendered-manifest-scan;source-lock;tpl-extension-slots;variant-revision,false,false,true,true,true,helmEquivalence;installGate;render;scan,,https://prometheus-community.github.io/helm-charts,aa6752b6207ed788522714c3ef7f67f27d423eb4d9512fecb52dc641b6434f31,scanned,
119,bitnami/etcd,12.0.18,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;stateful-storage,,,none,,,source-risk-no-proof,P0 source/dependency risk,64,1,0,5,5,1,4,5,0,0,5,12,2,1,0,0,0,0,0,1,1,2,1,true,1,,0,0,0,,,,,,,,,,,,,,,,https://charts.bitnami.com/bitnami,bb54d6659a2e8629de4b7d5074f647568afa40fe311259d0e2f0b12e41490306,scanned,
120,bitnami/rabbitmq-cluster-operator,4.4.34,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks,,,none,,,source-risk-no-proof,P0 source/dependency risk,63,1,0,5,7,3,3,5,2,0,0,4,2,1,0,14,8,1,0,0,0,1,1,true,1,,0,0,0,,,,,,,,,,,,,,,,https://charts.bitnami.com/bitnami,c3b4cb87d0395c834f160097282c94d0e905eba21b34439c1d0512ee55c9d670,scanned,
121,backstage/backstage,2.7.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;stateful-storage,,,none,,,source-risk-no-proof,P0 source/dependency risk,60,1,0,4,13,1,6,11,2,0,9,26,0,4,0,0,0,0,0,2,2,4,2,true,1,,0,0,0,,,,,,,,,,,,,,,,oci://ghcr.io/backstage/charts/backstage,f8c761f9171b3584756f8552c7615d5fba8fbe12a4eabbb0341b86a2ab1e3684,scanned,"Error: looks like ""oci://ghcr.io/backstage/charts/backstage"" is not a valid chart repository or cannot be reached: failed to perform ""FetchReference"" on source: invalid reference
"
122,open-webui/open-webui,14.6.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,,,none,,,source-risk-no-proof,P0 source/dependency risk,46,1,0,2,1,3,0,1,0,0,8,37,0,22,0,0,2,0,0,0,4,1,0,true,4,,0,0,0,,,,,,,,,,,,,,,,https://helm.openwebui.com,20d434e160f560a517f8edfa4e9957d508919ea32c8357586c96c626d2206f9a,scanned,
123,helm-hass/home-assistant,0.3.61,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",tpl;capabilities;stateful-storage,,,none,,,source-risk-no-proof,P0 source/dependency risk,34,1,0,2,0,1,0,0,0,0,2,2,0,18,0,0,0,0,0,1,1,0,0,false,0,,0,0,0,,,,,,,,,,,,,,,,http://pajikos.github.io/home-assistant-helm-chart,f6e9c0267009c280d09f7f38031a0392c53513e955948be52282d4392d81601e,scanned,
124,kafka-ui/kafka-ui,1.6.4,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",tpl;capabilities,,,none,,,not-yet-proved,P2 recipe/render/install policy,13,0,0,2,0,0,0,0,0,0,4,9,4,2,0,0,0,0,0,0,0,1,0,false,0,,0,0,0,,,,,,,,,,,,,,,,https://ui.charts.kafbat.io/,6fef123306f9c75acf754fe3c7e4f01258878316c171511e1c12a555cd17becf,scanned,
125,actions-runner-controller/actions-runner-controller,0.23.7,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",generated-facts;crds;cluster-rbac;webhooks,,,none,,,not-yet-proved,P1 compiler policy needed,11,0,0,0,2,3,0,0,2,0,0,0,0,0,0,5,12,2,0,0,0,5,0,false,0,,0,0,0,,,,,,,,,,,,,,,,https://actions-runner-controller.github.io/actions-runner-controller,014d73474c09ef9f82cd25fbf9daba72a3441df81d9b4017a0c60e864b907e48,scanned,
126,projectcalico/tigera-operator,3.32.0,v3.32.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,lookup;hooks;cluster-rbac,recipes/projectcalico/tigera-operator/v3.32.0/recipe.yaml,packages/projectcalico/tigera-operator/v3.32.0,machine-proof-only,,default,proof-grade-needs-variants,P1 compiler policy needed,40,0,3,1,0,1,1,0,0,0,7,0,0,0,1,0,4,0,0,0,0,3,0,false,0,next80-full,1,1,10,9ce56a65a1b0ca63aec202cb662a5389fe6a6a55e6d4b9db9920febcc5b2b350,10/10,warn,warn,0,4,0,capability-profile;cluster-rbac;dependency-lock;helm-equivalence;lifecycle-policy;rendered-manifest-scan;source-lock;target-facts;variant-revision,true,false,false,false,false,helmEquivalence;installGate;render;scan,,https://docs.projectcalico.org/charts/,7e968633c7d8b1de1e648a15fa838995bdbae285bdca9af9badd13156e360450,scanned,
127,airbyte/airbyte,1.9.2,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",generated-facts;tpl;capabilities;hooks;cluster-rbac;stateful-storage,,,none,,,not-yet-proved,P1 compiler policy needed,39,0,2,2,1,2,0,0,0,1,25,45,0,12,21,0,2,0,0,3,0,13,0,true,0,,0,0,0,,,,,,,,,,,,,,,,https://airbytehq.github.io/helm-charts,ba7afc86f424d030a5b79988130512176b0ef3e1f1e5e403f54a9fa7c3becee2,scanned,
128,bitnami/kube-prometheus,11.3.10,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;crds;cluster-rbac,,,none,,,source-risk-no-proof,P0 source/dependency risk,62,1,0,5,23,2,9,15,8,0,0,25,6,3,0,10,16,0,0,0,0,13,4,true,6,,0,0,0,,,,,,,,,,,,,,,,https://charts.bitnami.com/bitnami,2ad916c641bbfa01b62dcba76154017040232938c22dfbc5f37c90073796428d,scanned,
129,bitnami/nginx-ingress-controller,12.0.7,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;cluster-rbac,,,none,,,source-risk-no-proof,P0 source/dependency risk,61,1,0,5,5,1,3,5,0,0,0,4,2,1,0,0,2,0,0,0,0,2,1,true,1,,0,0,0,,,,,,,,,,,,,,,,https://charts.bitnami.com/bitnami,61cf41038a922d9c6ee089dcfde142280c3ed81d69ed2014827abeaf9a6376d0,scanned,
130,fairwinds-stable/goldilocks,10.3.0,10.3.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks,recipes/fairwinds-stable/goldilocks/10.3.0/recipe.yaml,packages/fairwinds-stable/goldilocks/10.3.0,machine-proof-only,,default,proof-grade-needs-variants,P0 source/dependency risk,58,1,0,4,1,4,3,0,1,0,0,1,4,13,0,1,39,1,2,0,0,1,0,true,2,next80-full,1,1,9,5939f53dfe4e6c888630fc4c30fcc478e4786a56cb0092139c418510da17d7a5,9/9,warn,warn,0,4,0,capability-profile;cluster-rbac;dependency-lock;extension-slots;generated-facts;helm-equivalence;lifecycle-policy;rendered-manifest-scan;source-lock;target-facts;tpl-extension-slots;variant-revision,true,true,true,true,true,helmEquivalence;installGate;render;scan,,https://charts.fairwinds.com/stable,9498a6f49cdea77f8777e9f8640a7711c63644fd1d5f7c8c81c313902190f2fd,scanned,
131,cloudpirates-redis/redis,0.29.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;stateful-storage,,,none,,,not-yet-proved,P1 compiler policy needed,32,0,0,2,2,1,2,1,0,1,8,1,1,0,0,0,0,0,0,1,1,1,1,true,0,,0,0,0,,,,,,,,,,,,,,,,oci://registry-1.docker.io/cloudpirates/redis,9f53dd97e66174e4c862b3bee5c08254594654fb9bda75cb37f5e94d5c6e83ed,scanned,"Error: looks like ""oci://registry-1.docker.io/cloudpirates/redis"" is not a valid chart repository or cannot be reached: failed to perform ""FetchReference"" on source: invalid reference
"
132,aws/aws-for-fluent-bit,0.2.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",capabilities;cluster-rbac,,,none,,,not-yet-proved,P2 recipe/render/install policy,5,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,false,0,,0,0,0,,,,,,,,,,,,,,,,https://aws.github.io/eks-charts,666c244b9cfca211be57cf97d9e224157f581d41f413eb89744575fbc9b8980c,scanned,
133,prometheus-community/prometheus-operator-crds,29.0.0,29.0.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,generated-facts;crds,recipes/prometheus-community/prometheus-operator-crds/29.0.0/recipe.yaml,packages/prometheus-community/prometheus-operator-crds/29.0.0,machine-proof-only,,default,proof-grade-needs-variants,P1 compiler policy needed,9,0,0,0,3,1,0,0,0,3,0,0,0,0,0,11,0,0,0,0,0,0,1,true,0,next80-full,1,1,10,32cfda19c8684a1ad319476b44d9056af7824df3c06622b04a7e28d6bdfd5ab4,10/10,warn,warn,0,10,0,capability-profile;crds;dependency-lock;generated-facts;helm-equivalence;rendered-manifest-scan;source-lock;target-facts;variant-revision,true,true,false,false,false,helmEquivalence;installGate;render;scan,,https://prometheus-community.github.io/helm-charts,25b32cd6f4483e0ebe9ebd08b8cd1c073ff734ceb82e84bacfb75d552ce2fafd,scanned,
134,codecentric/keycloakx,7.1.11,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",tpl;capabilities;hooks;cluster-rbac;stateful-storage,,,none,,,not-yet-proved,P1 compiler policy needed,33,0,2,2,0,2,0,0,0,0,2,66,0,1,2,0,2,0,0,2,0,2,0,false,0,,0,0,0,,,,,,,,,,,,,,,,https://codecentric.github.io/helm-charts,beeb7ac7cee425ad438a6fbc6545b234a636b1c65f3fa7158aae443c076d7559,scanned,
135,bitnami/odoo,28.2.10,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;stateful-storage,,,none,,,source-risk-no-proof,P0 source/dependency risk,64,1,0,5,17,1,6,11,4,2,9,35,4,2,0,0,0,0,0,2,4,10,2,true,3,,0,0,0,,,,,,,,,,,,,,,,https://charts.bitnami.com/bitnami,6d228b27c1125b6f5288521d62fd526891cacfc832b6e1674bc6fee460b69f8a,scanned,
136,atlassian-data-center/jira,2.0.13,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;stateful-storage,,,none,,,not-yet-proved,P1 compiler policy needed,42,0,0,4,2,1,2,1,0,1,11,17,3,11,0,0,0,0,0,2,2,3,1,true,0,,0,0,0,,,,,,,,,,,,,,,,https://atlassian.github.io/data-center-helm-charts,30e2ab4db952d91716598a79aaac51eff0eaa7059a5e0738362d3a28a7881cb9,scanned,
137,grafana-community/grafana,12.4.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,,,none,,,not-yet-proved,P1 compiler policy needed,33,0,0,2,2,2,4,2,0,0,15,110,3,0,0,0,2,0,0,2,2,4,0,false,0,,0,0,0,,,,,,,,,,,,,,,,https://grafana-community.github.io/helm-charts/,26e40ce8b9a6c586c529e827d489aa249a8620603fbe93a421096cbb34a4781b,scanned,
138,community-charts/mlflow,1.8.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",lookup;generated-facts;tpl;capabilities;stateful-storage,,,none,,,source-risk-no-proof,P0 source/dependency risk,66,1,0,5,19,1,7,11,4,4,40,38,5,10,0,0,0,0,0,4,3,18,2,true,1,,0,0,0,,,,,,,,,,,,,,,,https://community-charts.github.io/helm-charts,48c6e852546fb2734b3c39fc4bd88a46adc2d41a71556f48efe3f234d95b6a98,scanned,
139,bitnami/zookeeper,13.8.7,13.8.7,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,lookup;generated-facts;tpl;capabilities;stateful-storage,recipes/bitnami/zookeeper/13.8.7/recipe.yaml,packages/bitnami/zookeeper/13.8.7,machine-proof-only,,default,proof-grade-needs-variants,P0 source/dependency risk,61,1,0,5,13,1,3,9,4,0,0,13,2,1,0,0,0,0,0,1,2,6,1,true,1,next80-full,1,1,7,67672a9bfa85db38f8485736cd19f80ccec599fc17c2c5bb154e3c2feeb54bdb,7/7,pass,allow,0,0,0,capability-profile;dependency-lock;extension-slots;generated-facts;helm-equivalence;rendered-manifest-scan;source-lock;stateful-storage;target-facts;tpl-extension-slots;variant-revision,true,true,true,true,true,helmEquivalence;installGate;render;scan,,https://charts.bitnami.com/bitnami,2bc9869d780095693effb093f6ed934426907fb33e6c8946cbfffe1f30d902f7,scanned,
140,elastic/filebeat,8.5.1,8.5.1,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,tpl;cluster-rbac,recipes/elastic/filebeat/8.5.1/recipe.yaml,packages/elastic/filebeat/8.5.1,machine-proof-only,,default,proof-grade-needs-variants,P2 recipe/render/install policy,3,0,0,0,0,1,0,0,0,0,0,4,0,0,0,0,2,0,0,0,0,0,0,false,0,next80-full,1,1,7,690fcc3d2e2d1019f35b7d9ec64ba0783b4dc445a2060c400d49dae6a251e020,7/7,warn,warn,0,2,0,capability-profile;cluster-rbac;dependency-lock;extension-slots;helm-equivalence;rendered-manifest-scan;source-lock;tpl-extension-slots;variant-revision,false,false,false,true,true,helmEquivalence;installGate;render;scan,,https://helm.elastic.co,a705f1aacc5dffbcb6f817acb2f7613a5e6e74eb68a66fdbcbfbb37bde55bd4d,scanned,
141,hashicorp/terraform,1.1.2,1.1.2,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,crds,recipes/hashicorp/terraform/1.1.2/recipe.yaml,packages/hashicorp/terraform/1.1.2,machine-proof-only,,default,proof-grade-needs-variants,P2 recipe/render/install policy,4,0,0,0,0,1,0,0,0,0,6,0,0,0,0,1,0,0,0,0,0,1,0,false,0,next80-full,1,1,5,5cc2a190066cc639af6f8856b1ff8e28a40e61546d53cd04f19c5b14d6c37d3b,5/5,warn,warn,1,1,0,capability-profile;crds;dependency-lock;helm-equivalence;lifecycle-policy;rendered-manifest-scan;source-lock;variant-revision,false,false,false,false,false,helmEquivalence;installGate;render;scan,,https://helm.releases.hashicorp.com,9115fecf667f3d41a5a1c5833de948ef699321a6165be7bebe4976a7279702d5,scanned,
