rank,chart,source_version,current_recipe_version,proof_match_basis,version_match,source_status,recipe_status,package_status,variant_status,proof_status,catalog_status,production_readiness,supported_variants,next_action,not_yet_enabled,source_features,recipe_path,package_path
78,nats/nats,2.14.0,2.14.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl,recipes/nats/nats/2.14.0/recipe.yaml,packages/nats/nats/2.14.0
79,open-8gears/n8n,2.0.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;stateful-storage,,
80,dex/dex,0.24.0,0.24.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;capabilities;cluster-rbac,recipes/dex/dex/0.24.0/recipe.yaml,packages/dex/dex/0.24.0
81,argo/argocd-image-updater,1.2.2,1.2.2,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,,tpl;cluster-rbac,recipes/argo-cd/argocd-image-updater/1.2.2/recipe.yaml,packages/argo-cd/argocd-image-updater/1.2.2
82,uptime-kuma/uptime-kuma,4.1.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),capabilities;stateful-storage,,
83,kubeview/kubeview,2.0.6,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),cluster-rbac,,
84,airflow-helm/airflow,8.9.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;tpl;capabilities;hooks;stateful-storage,,
85,bitnami/postgresql-ha,16.3.2,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
86,renovate/renovate,46.168.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
87,kvaps/nfs-server-provisioner,1.8.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;tpl;cluster-rbac;stateful-storage,,
88,prometheus-community/alertmanager,1.37.0,1.37.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;stateful-storage,recipes/prometheus-community/alertmanager/1.37.0/recipe.yaml,packages/prometheus-community/alertmanager/1.37.0
89,ollama-helm/ollama,1.57.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities;stateful-storage,,
90,falcosecurity/falco,8.0.5,9.0.0,exact-chart-ref,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,review source/current-version drift and refresh recipe if needed,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),lookup;tpl;capabilities;cluster-rbac;stateful-storage,recipes/falcosecurity/falco/9.0.0/recipe.yaml,packages/falcosecurity/falco/9.0.0
91,superset/superset,0.15.5,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
92,chartmuseum/chartmuseum,3.10.4,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),capabilities;stateful-storage,,
93,headlamp/headlamp,0.42.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities;cluster-rbac;stateful-storage,,
94,prometheus-community/prometheus-node-exporter,4.55.0,4.55.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),generated-facts;tpl;capabilities;cluster-rbac,recipes/prometheus-community/prometheus-node-exporter/4.55.0/recipe.yaml,packages/prometheus-community/prometheus-node-exporter/4.55.0
95,minio/minio,8.0.10,,none,none,source-scan-failed,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,repair source acquisition before recipe proof,no recipe yet (source-recon only),plain-ish,,
96,bitnami/metallb,6.4.22,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks,,
97,kong/kong,3.2.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;hooks;crds;cluster-rbac;webhooks;stateful-storage,,
98,dandydev-charts/redis-ha,4.35.10,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;tpl;capabilities;stateful-storage,,
99,opentelemetry-helm/opentelemetry-collector,0.156.2,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities;cluster-rbac;stateful-storage,,
100,rook/rook-ceph,1.20.0-beta.0,v1.19.5,chart-name-only,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,review source/current-version drift and refresh recipe if needed,,capabilities;cluster-rbac,recipes/rook-release/rook-ceph/v1.19.5/recipe.yaml,packages/rook-release/rook-ceph/v1.19.5
101,bitnami/spark,10.0.3,10.0.3,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;stateful-storage,recipes/bitnami/spark/10.0.3/recipe.yaml,packages/bitnami/spark/10.0.3
102,crossplane/crossplane,2.4.0-rc.0.21.gb600bec28,2.3.1,chart-name-only,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,review source/current-version drift and refresh recipe if needed,,tpl;capabilities;cluster-rbac,recipes/crossplane-stable/crossplane/2.3.1/recipe.yaml,packages/crossplane-stable/crossplane/2.3.1
103,trivy-operator/trivy-operator,0.32.1,0.32.1,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,,lookup;tpl;crds;cluster-rbac;stateful-storage,recipes/aqua/trivy-operator/0.32.1/recipe.yaml,packages/aqua/trivy-operator/0.32.1
104,argo/argo-events,2.4.21,2.4.21,chart-name-version,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,,tpl;capabilities;crds;cluster-rbac,recipes/argo-cd/argo-events/2.4.21/recipe.yaml,packages/argo-cd/argo-events/2.4.21
105,twuni/docker-registry,3.0.0,,none,none,source-scan-failed,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,repair source acquisition before recipe proof,no recipe yet (source-recon only),plain-ish,,
106,codecentric/keycloak,18.10.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;hooks;stateful-storage,,
107,elastic/logstash,8.5.1,8.5.1,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;capabilities;stateful-storage,recipes/elastic/logstash/8.5.1/recipe.yaml,packages/elastic/logstash/8.5.1
108,bitnami/grafana,12.1.8,10.5.15,chart-name-only,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,multi-variant,proof:2 revision(s),catalog-supported,production-review-ready,generated-passwords;existing-secret-ingress,review source/current-version drift and refresh recipe if needed,,lookup;generated-facts;tpl;capabilities;stateful-storage,recipes/grafana/grafana/10.5.15/recipe.yaml,packages/grafana/grafana/10.5.15
109,minecraft-server-charts/minecraft,5.1.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities;stateful-storage,,
110,opensearch-project-helm-charts/opensearch,3.6.0,2.0.10,chart-name-only,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,review source/current-version drift and refresh recipe if needed,,tpl;capabilities;stateful-storage,recipes/bitnami/opensearch/2.0.10/recipe.yaml,packages/bitnami/opensearch/2.0.10
111,prometheus-community/prometheus-postgres-exporter,8.0.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl,,
112,forgejo-helm/forgejo,17.1.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
113,kured/kured,5.11.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities;cluster-rbac,,
114,victoriametrics/victoria-metrics-k8s-stack,0.79.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks;stateful-storage,,
115,aws/aws-node-termination-handler,0.21.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),capabilities;cluster-rbac,,
116,grafana/k8s-monitoring,4.1.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;hooks;crds;cluster-rbac;stateful-storage,,
117,openebs/openebs,4.5.0-develop,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks;stateful-storage,,
118,prometheus-community/prometheus-adapter,5.3.0,5.3.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;capabilities;cluster-rbac,recipes/prometheus-community/prometheus-adapter/5.3.0/recipe.yaml,packages/prometheus-community/prometheus-adapter/5.3.0
119,bitnami/etcd,12.0.18,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
120,bitnami/rabbitmq-cluster-operator,4.4.34,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks,,
121,backstage/backstage,2.7.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
122,open-webui/open-webui,14.6.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,,
123,helm-hass/home-assistant,0.3.61,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities;stateful-storage,,
124,kafka-ui/kafka-ui,1.6.4,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities,,
125,actions-runner-controller/actions-runner-controller,0.23.7,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;crds;cluster-rbac;webhooks,,
126,projectcalico/tigera-operator,3.32.0,v3.32.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),lookup;hooks;cluster-rbac,recipes/projectcalico/tigera-operator/v3.32.0/recipe.yaml,packages/projectcalico/tigera-operator/v3.32.0
127,airbyte/airbyte,1.9.2,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),generated-facts;tpl;capabilities;hooks;cluster-rbac;stateful-storage,,
128,bitnami/kube-prometheus,11.3.10,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac,,
129,bitnami/nginx-ingress-controller,12.0.7,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;cluster-rbac,,
130,fairwinds-stable/goldilocks,10.3.0,10.3.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks,recipes/fairwinds-stable/goldilocks/10.3.0/recipe.yaml,packages/fairwinds-stable/goldilocks/10.3.0
131,cloudpirates-redis/redis,0.29.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
132,aws/aws-for-fluent-bit,0.2.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),capabilities;cluster-rbac,,
133,prometheus-community/prometheus-operator-crds,29.0.0,29.0.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),generated-facts;crds,recipes/prometheus-community/prometheus-operator-crds/29.0.0/recipe.yaml,packages/prometheus-community/prometheus-operator-crds/29.0.0
134,codecentric/keycloakx,7.1.11,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities;hooks;cluster-rbac;stateful-storage,,
135,bitnami/odoo,28.2.10,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
136,atlassian-data-center/jira,2.0.13,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
137,grafana-community/grafana,12.4.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,,
138,community-charts/mlflow,1.8.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
139,bitnami/zookeeper,13.8.7,13.8.7,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;stateful-storage,recipes/bitnami/zookeeper/13.8.7/recipe.yaml,packages/bitnami/zookeeper/13.8.7
140,elastic/filebeat,8.5.1,8.5.1,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;cluster-rbac,recipes/elastic/filebeat/8.5.1/recipe.yaml,packages/elastic/filebeat/8.5.1
141,hashicorp/terraform,1.1.2,1.1.2,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),crds,recipes/hashicorp/terraform/1.1.2/recipe.yaml,packages/hashicorp/terraform/1.1.2
142,enix/x509-certificate-exporter,4.2.0-beta.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;hooks;cluster-rbac,,
143,coredns/coredns,1.45.2,1.45.2,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),generated-facts;tpl;capabilities;cluster-rbac,recipes/coredns/coredns/1.45.2/recipe.yaml,packages/coredns/coredns/1.45.2
144,bitnami/fluentd,7.2.5,0.5.3,chart-name-only,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,review source/current-version drift and refresh recipe if needed,,lookup;generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,recipes/fluent/fluentd/0.5.3/recipe.yaml,packages/fluent/fluentd/0.5.3
145,bitnami/harbor,27.0.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
146,bitnami/influxdb,7.1.20,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
147,opentelemetry-helm/opentelemetry-operator,0.113.1,0.114.0,chart-name-only,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,review source/current-version drift and refresh recipe if needed,,lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks,recipes/open-telemetry/opentelemetry-operator/0.114.0/recipe.yaml,packages/open-telemetry/opentelemetry-operator/0.114.0
148,fairwinds-stable/vpa,4.11.0,4.11.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,multi-variant,next80-full:2 revision(s),proof-grade,not-reviewed-for-production,,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),lookup;tpl;capabilities;crds;cluster-rbac;webhooks,recipes/fairwinds-stable/vpa/4.11.0/recipe.yaml,packages/fairwinds-stable/vpa/4.11.0
149,bitnami/ghost,25.0.4,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
150,immich/immich,0.12.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities;stateful-storage,,
151,bitnami/kubernetes-event-exporter,3.6.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;cluster-rbac,,
152,vector/vector,0.52.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;tpl;capabilities;cluster-rbac;stateful-storage,,
153,qdrant/qdrant,1.18.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;stateful-storage,,
154,bitnami/mariadb-galera,16.0.1,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
155,apisix/apisix,2.14.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;webhooks;stateful-storage,,
156,trino/trino,1.42.2,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl,,
157,bitnami/airflow,25.0.2,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
158,bitnami/clickhouse,9.4.4,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
159,codecentric/mailhog,5.8.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),capabilities,,
160,ananace-charts/matrix-synapse,3.12.28,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;hooks;stateful-storage,,
161,stevehipwell/nexus3,5.22.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;capabilities;stateful-storage,,
162,bitnami/phpmyadmin,20.0.0,20.0.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,existing-secret (chart ships no Secret toggle),lookup;generated-facts;tpl;capabilities;stateful-storage,recipes/bitnami/phpmyadmin/20.0.0/recipe.yaml,packages/bitnami/phpmyadmin/20.0.0
163,prometheus-community/prometheus-redis-exporter,6.24.0,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),tpl;capabilities,,
164,zabbix-community/zabbix,7.0.12,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;cluster-rbac;stateful-storage,,
165,jfrog/artifactory,107.146.13,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),lookup;generated-facts;tpl;capabilities;stateful-storage,,
166,karpenter/karpenter,0.16.3,,none,none,source-scanned,no-current-recipe,no-package-proof,no-variants,not-proved,not-in-catalog,none,,"create recipe, package, variants, rendered digest, scans, and receipts",no recipe yet (source-recon only),capabilities;crds;cluster-rbac;webhooks,,
167,prometheus-community/prometheus-pushgateway,3.6.0,3.6.0,exact-chart-ref,exact,source-scanned,current-recipe-exact-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),tpl;stateful-storage,recipes/prometheus-community/prometheus-pushgateway/3.6.0/recipe.yaml,packages/prometheus-community/prometheus-pushgateway/3.6.0
168,rook/rook-ceph-cluster,1.20.0-beta.0,v1.19.5,chart-name-only,different-current-version,source-scanned,current-recipe-different-version,package-proof-exists,default-only,next80-full:1 revision(s),proof-grade,not-reviewed-for-production,,review source/current-version drift and refresh recipe if needed,,tpl;capabilities;cluster-rbac,recipes/rook-release/rook-ceph-cluster/v1.19.5/recipe.yaml,packages/rook-release/rook-ceph-cluster/v1.19.5
