chart,version,user_status,support_claim,evidence_depth,recommended_base,prerequisites,quirks_disposition,skill,cub_scout_check,next_action,try_it
elastic/kibana,8.5.1,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default,"your wanted install shape, until a reviewed base exists",extension-slots;tpl — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,none (),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/elastic/kibana/8.5.1/CATALOG.md
descheduler/descheduler,0.36.0,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 1/1)",default,"mandatory chart inputs; your wanted install shape, until a reviewed base exists",extension-slots;required-values;tpl;rbac — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/descheduler/descheduler/0.36.0/CATALOG.md
prometheus-community/prometheus-blackbox-exporter,11.10.0,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 1/2)",cluster-metrics-readonly,nothing beyond a cluster and namespace,extension-slots;tpl;capabilities — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/prometheus-community/prometheus-blackbox-exporter/11.10.0/CATALOG.md
bitnami/elasticsearch,22.1.6,not-ready-yet,decision-needed-first,"proof-grade-with-named-limitation (render parity 2/2, local live 0/2, live parity 0/2)",default,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; target facts at variant time; mandatory chart inputs; a decision on the named limitation before use,generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;storage — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",review limitation before promotion: existing-secret (chart ships no Secret toggle),recipes/bitnami/elasticsearch/22.1.6/CATALOG.md
stakater/reloader,2.2.12,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 1/2)",controller-default-reviewed,nothing beyond a cluster and namespace,extension-slots;tpl;capabilities;rbac — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/stakater/reloader/2.2.12/CATALOG.md
jaegertracing/jaeger,4.8.0,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"an existing Secret for some bases (NOT built - chart ships no Secret toggle); target facts at variant time; your wanted install shape, until a reviewed base exists",generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;lookup;generated-facts;tpl;capabilities — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/jaegertracing/jaeger/4.8.0/CATALOG.md
grafana/alloy,1.8.2,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 2/2)",default,a StorageClass / storage decision; a CRD ownership choice (crds vs no-crds base); mandatory chart inputs,crds;extension-slots;required-values;tpl;capabilities;rbac;storage — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,target-facts-and-lifecycle (docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/grafana/alloy/1.8.2/CATALOG.md
nats/nats,2.14.0,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 2/2)",default,an existing Secret for some bases (buildable — not yet run); mandatory chart inputs,existing-secret;extension-slots;required-values;tpl — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/nats/nats/2.14.0/CATALOG.md
dex/dex,0.24.0,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default,"an existing Secret for some bases (buildable — not yet run); your wanted install shape, until a reviewed base exists",existing-secret;extension-slots;tpl;capabilities;rbac — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,none (),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/dex/dex/0.24.0/CATALOG.md
prometheus-community/alertmanager,1.37.0,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 2/2)",default,a StorageClass / storage decision,extension-slots;tpl;storage — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,target-facts-and-lifecycle (docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/prometheus-community/alertmanager/1.37.0/CATALOG.md
falcosecurity/falco,9.0.0,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"an existing Secret for some bases (buildable — not yet run); a StorageClass / storage decision; target facts at variant time; mandatory chart inputs; your wanted install shape, until a reviewed base exists",existing-secret;extension-slots;required-values;lookup;tpl;capabilities;rbac;storage — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,target-facts-and-lifecycle (docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/falcosecurity/falco/9.0.0/CATALOG.md
prometheus-community/prometheus-node-exporter,4.55.0,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 1/2)",cluster-metrics-readonly,an existing Secret for some bases (buildable — not yet run); target facts at variant time; mandatory chart inputs,existing-secret;extension-slots;required-values;generated-facts;tpl;capabilities;rbac — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/prometheus-community/prometheus-node-exporter/4.55.0/CATALOG.md
bitnami/spark,10.0.3,not-ready-yet,decision-needed-first,"proof-grade-with-named-limitation (render parity 2/2, local live 0/2, live parity 0/2)",default,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; target facts at variant time; a decision on the named limitation before use,generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;lookup;generated-facts;tpl;capabilities;storage — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",review limitation before promotion: existing-secret (chart ships no Secret toggle),recipes/bitnami/spark/10.0.3/CATALOG.md
elastic/logstash,8.5.1,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 1/2, live parity 2/2)",default,a StorageClass / storage decision,extension-slots;tpl;capabilities;storage — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,target-facts-and-lifecycle (docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/elastic/logstash/8.5.1/CATALOG.md
prometheus-community/prometheus-adapter,5.3.0,works-with-operator-review,review-needed,"proof-grade-compatible-base-needs-standard-lanes (render parity 3/3, local live 1/3, live parity 0/3)",default,nothing beyond a cluster and namespace,extension-slots;tpl;capabilities;rbac — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.","Run ConfigHub proof, local live, live Helm-vs-ConfigHub parity, and the APIService runtime contract for the maintained apiservice-v1-capability base before catalog promotion.",recipes/prometheus-community/prometheus-adapter/5.3.0/CATALOG.md
projectcalico/tigera-operator,v3.32.0,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default,"target facts at variant time; mandatory chart inputs; your wanted install shape, until a reviewed base exists",hooks;required-values;lookup;rbac — exact rendered objects with render parity and receipts; hooks classified and routed (not silently executed); cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/projectcalico/tigera-operator/v3.32.0/CATALOG.md
fairwinds-stable/goldilocks,10.3.0,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"an existing Secret for some bases (NOT built - chart ships no Secret toggle); a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; target facts at variant time; your wanted install shape, until a reviewed base exists",crds;generated-secrets;existing-secret;webhooks;extension-slots;lookup;generated-facts;tpl;capabilities;rbac — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; CRD handling split into explicit bases; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,serious-chart-playbooks (docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/fairwinds-stable/goldilocks/10.3.0/CATALOG.md
prometheus-community/prometheus-operator-crds,29.0.0,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base); target facts at variant time; your wanted install shape, until a reviewed base exists",crds;existing-secret;generated-facts — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/prometheus-community/prometheus-operator-crds/29.0.0/CATALOG.md
bitnami/zookeeper,13.8.7,not-ready-yet,decision-needed-first,"proof-grade-with-named-limitation (render parity 2/2, local live 0/2, live parity 0/2)",default,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; target facts at variant time; a decision on the named limitation before use,generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;lookup;generated-facts;tpl;capabilities;storage — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",review limitation before promotion: existing-secret (chart ships no Secret toggle),recipes/bitnami/zookeeper/13.8.7/CATALOG.md
elastic/filebeat,8.5.1,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",default,nothing beyond a cluster and namespace,extension-slots;tpl;rbac — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,none (),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/elastic/filebeat/8.5.1/CATALOG.md
hashicorp/terraform,1.1.2,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",default,a CRD ownership choice (crds vs no-crds base); mandatory chart inputs,crds;required-values — exact rendered objects with render parity and receipts; CRD handling split into explicit bases,target-facts-and-lifecycle (docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/hashicorp/terraform/1.1.2/CATALOG.md
coredns/coredns,1.45.2,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"an existing Secret for some bases (buildable — not yet run); target facts at variant time; mandatory chart inputs; your wanted install shape, until a reviewed base exists",existing-secret;extension-slots;required-values;generated-facts;tpl;capabilities;rbac — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/coredns/coredns/1.45.2/CATALOG.md
fairwinds-stable/vpa,4.11.0,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 2/2)",default,a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time; target facts at variant time,crds;webhooks;extension-slots;lookup;tpl;capabilities;rbac — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,serious-chart-playbooks (docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",review APIService render-path notes: current maintained bases do not render APIService objects; create a separate APIService-enabled base only if product chooses that path,recipes/fairwinds-stable/vpa/4.11.0/CATALOG.md
bitnami/phpmyadmin,20.0.0,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default,"an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; target facts at variant time; mandatory chart inputs; your wanted install shape, until a reviewed base exists",generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;required-values;lookup;generated-facts;tpl;capabilities;storage — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/bitnami/phpmyadmin/20.0.0/CATALOG.md
prometheus-community/prometheus-pushgateway,3.6.0,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"a StorageClass / storage decision; mandatory chart inputs; your wanted install shape, until a reviewed base exists",generated-secrets;extension-slots;required-values;tpl;storage — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases,target-facts-and-lifecycle (docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/prometheus-community/prometheus-pushgateway/3.6.0/CATALOG.md
fluent/fluentd,0.5.3,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"a StorageClass / storage decision; your wanted install shape, until a reviewed base exists",extension-slots;tpl;capabilities;rbac;storage — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,target-facts-and-lifecycle (docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/fluent/fluentd/0.5.3/CATALOG.md
jaegertracing/jaeger-operator,2.57.0,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 0/2, live parity 0/2)",default,a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time,crds;webhooks;extension-slots — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,serious-chart-playbooks (docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/jaegertracing/jaeger-operator/2.57.0/CATALOG.md
bitnami/memcached,8.5.5,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"an existing Secret for some bases (NOT built - chart ships no Secret toggle); a StorageClass / storage decision; target facts at variant time; your wanted install shape, until a reviewed base exists",generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;lookup;generated-facts;tpl;capabilities;storage — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/bitnami/memcached/8.5.5/CATALOG.md
strimzi/strimzi-kafka-operator,1.0.0,works-with-operator-review,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 1/2, live parity 1/2)",default,a CRD ownership choice (crds vs no-crds base),crds;extension-slots;tpl;capabilities;rbac — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; extension slots routed to reviewed bases,target-facts-and-lifecycle (docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/strimzi/strimzi-kafka-operator/1.0.0/CATALOG.md
opencost/opencost,2.5.21,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default,"a StorageClass / storage decision; mandatory chart inputs; your wanted install shape, until a reviewed base exists",extension-slots;required-values;tpl;capabilities;rbac;storage — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,target-facts-and-lifecycle (docs/skills/target-facts-and-lifecycle.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/opencost/opencost/2.5.21/CATALOG.md
gatekeeper/gatekeeper,3.22.2,works-with-target-prerequisites,not-yet-public-catalog-proof-ready,"proof-grade-ready-for-promotion-review (render parity 2/2, local live 2/2, live parity 2/2)",default,an existing Secret for some bases (buildable — not yet run); a CRD ownership choice (crds vs no-crds base); webhook/cert readiness at delivery time,hooks;crds;existing-secret;webhooks;extension-slots;capabilities;rbac — exact rendered objects with render parity and receipts; CRD handling split into explicit bases; hooks classified and routed (not silently executed); extension slots routed to reviewed bases,serious-chart-playbooks (docs/skills/serious-chart-playbooks.md; docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",run catalog promotion review,recipes/gatekeeper/gatekeeper/3.22.2/CATALOG.md
bitnami/contour,21.1.4,not-ready-yet,decision-needed-first,"proof-grade-with-named-limitation (render parity 2/2, local live 0/2, live parity 0/2)",default,an existing Secret for some bases (NOT built - chart ships no Secret toggle); a CRD ownership choice (crds vs no-crds base); target facts at variant time; a decision on the named limitation before use,crds;generated-secrets;existing-secret;extension-slots;install-vs-upgrade-divergence;lookup;generated-facts;tpl;capabilities;rbac — exact rendered objects with render parity and receipts; generated Secrets separated out of the published artifact; CRD handling split into explicit bases; extension slots routed to reviewed bases; install-vs-upgrade render divergence captured per revision; cluster lookups lifted into declared target facts,hook-and-secret-lifecycle (docs/skills/hook-and-secret-lifecycle.md; docs/skills/target-facts-and-lifecycle.md; docs/skills/large-app-evidence-funnel.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",review limitation before promotion: existing-secret (chart ships no Secret toggle),recipes/bitnami/contour/21.1.4/CATALOG.md
kyverno/kyverno-policies,3.8.0,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"target facts at variant time; mandatory chart inputs; your wanted install shape, until a reviewed base exists",extension-slots;required-values;lookup;tpl — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases; cluster lookups lifted into declared target facts,target-facts-and-lifecycle (docs/skills/target-facts-and-lifecycle.md; docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/kyverno/kyverno-policies/3.8.0/CATALOG.md
elastic/metricbeat,8.5.1,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 0/1, live parity 0/1)",default,"a StorageClass / storage decision; your wanted install shape, until a reviewed base exists",extension-slots;tpl;capabilities;rbac;storage — exact rendered objects with render parity and receipts; extension slots routed to reviewed bases,target-facts-and-lifecycle (docs/skills/target-facts-and-lifecycle.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/elastic/metricbeat/8.5.1/CATALOG.md
minio-operator/operator,7.1.1,needs-better-base-variant,not-yet-user-ready,"proof-grade-needs-user-shaped-variant (render parity 1/1, local live 1/1, live parity 0/1)",default,"a CRD ownership choice (crds vs no-crds base); your wanted install shape, until a reviewed base exists",crds;rbac — exact rendered objects with render parity and receipts; CRD handling split into explicit bases,live-parity (docs/skills/live-parity.md),"After apply, confirm convergence with cub-scout (`object-set-matches`, `prerequisites-met`, `workloads-converged`) — ""created"" is not ""working"". `prerequisites-met` will flag the missing prerequisite before you debug pods.",add at least one user-shaped variant before catalog promotion,recipes/minio-operator/operator/7.1.1/CATALOG.md
