proof_surface_rank,proof_surface,top20_rank,top500_rank,chart,version,latest_version,latest_status,catalog_status,production_readiness,variant_count,supported_variants,candidate_variants,start_variant,namespace,source_features,source_classification,top500_next_action,not_yet_enabled,recipe_path,package_path,catalog_path,helm_pain_report
54,next80-proof-grade,,148,fairwinds-stable/vpa,4.11.0,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,lookup;tpl;capabilities;crds;cluster-rbac;webhooks,P1 compiler policy needed,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/fairwinds-stable/vpa/4.11.0/recipe.yaml,packages/fairwinds-stable/vpa/4.11.0,recipes/fairwinds-stable/vpa/4.11.0/CATALOG.md,recipes/fairwinds-stable/vpa/4.11.0/helm-pain-report.yaml
55,next80-proof-grade,,162,bitnami/phpmyadmin,20.0.0,,,proof-grade,not-reviewed-for-production,1,,default,default,default,lookup;generated-facts;tpl;capabilities;stateful-storage,P0 source/dependency risk,add user-shaped variants before catalog promotion,existing-secret (chart ships no Secret toggle),recipes/bitnami/phpmyadmin/20.0.0/recipe.yaml,packages/bitnami/phpmyadmin/20.0.0,recipes/bitnami/phpmyadmin/20.0.0/CATALOG.md,recipes/bitnami/phpmyadmin/20.0.0/helm-pain-report.yaml
56,next80-proof-grade,,167,prometheus-community/prometheus-pushgateway,3.6.0,,,proof-grade,not-reviewed-for-production,1,,default,default,default,tpl;stateful-storage,P1 compiler policy needed,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/prometheus-community/prometheus-pushgateway/3.6.0/recipe.yaml,packages/prometheus-community/prometheus-pushgateway/3.6.0,recipes/prometheus-community/prometheus-pushgateway/3.6.0/CATALOG.md,recipes/prometheus-community/prometheus-pushgateway/3.6.0/helm-pain-report.yaml
57,next80-proof-grade,,175,fluent/fluentd,0.5.3,,,proof-grade,not-reviewed-for-production,1,,default,default,default,tpl;capabilities;cluster-rbac;stateful-storage,P2 recipe/render/install policy,"create recipe, package, variants, rendered digest, scans, and receipts",— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/fluent/fluentd/0.5.3/recipe.yaml,packages/fluent/fluentd/0.5.3,recipes/fluent/fluentd/0.5.3/CATALOG.md,recipes/fluent/fluentd/0.5.3/helm-pain-report.yaml
58,next80-proof-grade,,179,jaegertracing/jaeger-operator,2.57.0,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,crds;webhooks,P2 recipe/render/install policy,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/jaegertracing/jaeger-operator/2.57.0/recipe.yaml,packages/jaegertracing/jaeger-operator/2.57.0,recipes/jaegertracing/jaeger-operator/2.57.0/CATALOG.md,recipes/jaegertracing/jaeger-operator/2.57.0/helm-pain-report.yaml
59,next80-proof-grade,,182,bitnami/memcached,8.5.5,,,proof-grade,not-reviewed-for-production,1,,default,default,default,lookup;generated-facts;tpl;capabilities;stateful-storage,P1 compiler policy needed,add user-shaped variants before catalog promotion,existing-secret (chart ships no Secret toggle),recipes/bitnami/memcached/8.5.5/recipe.yaml,packages/bitnami/memcached/8.5.5,recipes/bitnami/memcached/8.5.5/CATALOG.md,recipes/bitnami/memcached/8.5.5/helm-pain-report.yaml
60,next80-proof-grade,,186,strimzi/strimzi-kafka-operator,1.0.0,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,tpl;capabilities;crds;cluster-rbac,P2 recipe/render/install policy,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/strimzi/strimzi-kafka-operator/1.0.0/recipe.yaml,packages/strimzi/strimzi-kafka-operator/1.0.0,recipes/strimzi/strimzi-kafka-operator/1.0.0/CATALOG.md,recipes/strimzi/strimzi-kafka-operator/1.0.0/helm-pain-report.yaml
61,next80-proof-grade,,190,opencost/opencost,2.5.21,,,proof-grade,not-reviewed-for-production,1,,default,default,default,tpl;capabilities;cluster-rbac;stateful-storage,P2 recipe/render/install policy,review source/current-version drift and refresh recipe if needed,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/opencost/opencost/2.5.21/recipe.yaml,packages/opencost/opencost/2.5.21,recipes/opencost/opencost/2.5.21/CATALOG.md,recipes/opencost/opencost/2.5.21/helm-pain-report.yaml
62,next80-proof-grade,,203,gatekeeper/gatekeeper,3.22.2,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,capabilities;hooks;crds;cluster-rbac;webhooks,P1 compiler policy needed,review source/current-version drift and refresh recipe if needed,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/gatekeeper/gatekeeper/3.22.2/recipe.yaml,packages/gatekeeper/gatekeeper/3.22.2,recipes/gatekeeper/gatekeeper/3.22.2/CATALOG.md,recipes/gatekeeper/gatekeeper/3.22.2/helm-pain-report.yaml
63,next80-proof-grade,,205,bitnami/contour,21.1.4,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,lookup;generated-facts;tpl;capabilities;crds;cluster-rbac,P0 source/dependency risk,run catalog promotion review,existing-secret (chart ships no Secret toggle),recipes/bitnami/contour/21.1.4/recipe.yaml,packages/bitnami/contour/21.1.4,recipes/bitnami/contour/21.1.4/CATALOG.md,recipes/bitnami/contour/21.1.4/helm-pain-report.yaml
64,next80-proof-grade,,215,kyverno/kyverno-policies,3.8.0,,,proof-grade,not-reviewed-for-production,1,,default,default,default,lookup;tpl,P1 compiler policy needed,review source/current-version drift and refresh recipe if needed,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/kyverno/kyverno-policies/3.8.0/recipe.yaml,packages/kyverno/kyverno-policies/3.8.0,recipes/kyverno/kyverno-policies/3.8.0/CATALOG.md,recipes/kyverno/kyverno-policies/3.8.0/helm-pain-report.yaml
65,next80-proof-grade,,308,elastic/metricbeat,8.5.1,,,proof-grade,not-reviewed-for-production,1,,default,default,default,tpl;capabilities;cluster-rbac;stateful-storage,P2 recipe/render/install policy,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/elastic/metricbeat/8.5.1/recipe.yaml,packages/elastic/metricbeat/8.5.1,recipes/elastic/metricbeat/8.5.1/CATALOG.md,recipes/elastic/metricbeat/8.5.1/helm-pain-report.yaml
66,next80-proof-grade,,336,minio-operator/operator,7.1.1,,,proof-grade,not-reviewed-for-production,1,,default,default,default,cluster-rbac,P2 recipe/render/install policy,add user-shaped variants before catalog promotion,no-crds (template-baked CRDs; no clean chart toggle yet),recipes/minio-operator/operator/7.1.1/recipe.yaml,packages/minio-operator/operator/7.1.1,recipes/minio-operator/operator/7.1.1/CATALOG.md,recipes/minio-operator/operator/7.1.1/helm-pain-report.yaml
67,next80-proof-grade,,338,percona/pxc-operator,1.19.1,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,lookup;crds;cluster-rbac,P1 compiler policy needed,run catalog promotion review,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/percona/pxc-operator/1.19.1/recipe.yaml,packages/percona/pxc-operator/1.19.1,recipes/percona/pxc-operator/1.19.1/CATALOG.md,recipes/percona/pxc-operator/1.19.1/helm-pain-report.yaml
68,next80-proof-grade,,371,bitnami/apache,11.4.29,,,proof-grade,not-reviewed-for-production,1,,default,default,default,lookup;generated-facts;tpl;capabilities,P0 source/dependency risk,add user-shaped variants before catalog promotion,existing-secret (chart ships no Secret toggle),recipes/bitnami/apache/11.4.29/recipe.yaml,packages/bitnami/apache/11.4.29,recipes/bitnami/apache/11.4.29/CATALOG.md,recipes/bitnami/apache/11.4.29/helm-pain-report.yaml
69,next80-proof-grade,,388,grafana/pyroscope,2.0.2,,,proof-grade,not-reviewed-for-production,3,,default;ha;no-crds,default,default,lookup;generated-facts;tpl;capabilities;crds;cluster-rbac;stateful-storage,P1 compiler policy needed,run catalog promotion review,existing-secret (chart ships no Secret toggle),recipes/grafana/pyroscope/2.0.2/recipe.yaml,packages/grafana/pyroscope/2.0.2,recipes/grafana/pyroscope/2.0.2/CATALOG.md,recipes/grafana/pyroscope/2.0.2/helm-pain-report.yaml
70,next80-proof-grade,,452,aws-ebs-csi-driver/aws-ebs-csi-driver,2.60.1,,,proof-grade,not-reviewed-for-production,1,,default,default,default,tpl;capabilities;cluster-rbac,P2 recipe/render/install policy,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/recipe.yaml,packages/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/CATALOG.md,recipes/aws-ebs-csi-driver/aws-ebs-csi-driver/2.60.1/helm-pain-report.yaml
71,next80-proof-grade,,499,falcosecurity/falcosidekick,0.13.1,,,proof-grade,not-reviewed-for-production,1,,default,default,default,capabilities;cluster-rbac;stateful-storage,P2 recipe/render/install policy,add user-shaped variants before catalog promotion,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/falcosecurity/falcosidekick/0.13.1/recipe.yaml,packages/falcosecurity/falcosidekick/0.13.1,recipes/falcosecurity/falcosidekick/0.13.1/CATALOG.md,recipes/falcosecurity/falcosidekick/0.13.1/helm-pain-report.yaml
72,next80-proof-grade,,,aqua/trivy-operator,0.32.1,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/aqua/trivy-operator/0.32.1/recipe.yaml,packages/aqua/trivy-operator/0.32.1,recipes/aqua/trivy-operator/0.32.1/CATALOG.md,recipes/aqua/trivy-operator/0.32.1/helm-pain-report.yaml
73,next80-proof-grade,,,argo-cd/argo-events,2.4.21,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/argo-cd/argo-events/2.4.21/recipe.yaml,packages/argo-cd/argo-events/2.4.21,recipes/argo-cd/argo-events/2.4.21/CATALOG.md,recipes/argo-cd/argo-events/2.4.21/helm-pain-report.yaml
74,next80-proof-grade,,,argo-cd/argo-rollouts,2.40.9,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/argo-cd/argo-rollouts/2.40.9/recipe.yaml,packages/argo-cd/argo-rollouts/2.40.9,recipes/argo-cd/argo-rollouts/2.40.9/CATALOG.md,recipes/argo-cd/argo-rollouts/2.40.9/helm-pain-report.yaml
75,next80-proof-grade,,,argo-cd/argo-workflows,1.0.14,,,proof-grade,not-reviewed-for-production,2,,default;controller-default-reviewed,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/argo-cd/argo-workflows/1.0.14/recipe.yaml,packages/argo-cd/argo-workflows/1.0.14,recipes/argo-cd/argo-workflows/1.0.14/CATALOG.md,recipes/argo-cd/argo-workflows/1.0.14/helm-pain-report.yaml
76,next80-proof-grade,,,argo-cd/argocd-image-updater,1.2.2,,,proof-grade,not-reviewed-for-production,1,,default,default,default,,,,no-crds (template-baked CRDs; no clean chart toggle yet),recipes/argo-cd/argocd-image-updater/1.2.2/recipe.yaml,packages/argo-cd/argocd-image-updater/1.2.2,recipes/argo-cd/argocd-image-updater/1.2.2/CATALOG.md,recipes/argo-cd/argocd-image-updater/1.2.2/helm-pain-report.yaml
77,next80-proof-grade,,,autoscaler/cluster-autoscaler,9.57.0,,,proof-grade,not-reviewed-for-production,2,,default;controller-default-reviewed,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/autoscaler/cluster-autoscaler/9.57.0/recipe.yaml,packages/autoscaler/cluster-autoscaler/9.57.0,recipes/autoscaler/cluster-autoscaler/9.57.0/CATALOG.md,recipes/autoscaler/cluster-autoscaler/9.57.0/helm-pain-report.yaml
78,next80-proof-grade,,,autoscaler/vertical-pod-autoscaler,0.9.0,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/autoscaler/vertical-pod-autoscaler/0.9.0/recipe.yaml,packages/autoscaler/vertical-pod-autoscaler/0.9.0,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/CATALOG.md,recipes/autoscaler/vertical-pod-autoscaler/0.9.0/helm-pain-report.yaml
79,next80-proof-grade,,,bitnami/opensearch,2.0.10,,,proof-grade,not-reviewed-for-production,2,,default;ha,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/bitnami/opensearch/2.0.10/recipe.yaml,packages/bitnami/opensearch/2.0.10,recipes/bitnami/opensearch/2.0.10/CATALOG.md,recipes/bitnami/opensearch/2.0.10/helm-pain-report.yaml
80,next80-proof-grade,,,crossplane-stable/crossplane,2.3.1,,,proof-grade,not-reviewed-for-production,1,,default,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/crossplane-stable/crossplane/2.3.1/recipe.yaml,packages/crossplane-stable/crossplane/2.3.1,recipes/crossplane-stable/crossplane/2.3.1/CATALOG.md,recipes/crossplane-stable/crossplane/2.3.1/helm-pain-report.yaml
81,next80-proof-grade,,,grafana/promtail,6.17.1,,,proof-grade,not-reviewed-for-production,1,,default,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/grafana/promtail/6.17.1/recipe.yaml,packages/grafana/promtail/6.17.1,recipes/grafana/promtail/6.17.1/CATALOG.md,recipes/grafana/promtail/6.17.1/helm-pain-report.yaml
82,next80-proof-grade,,,grafana/rollout-operator,0.49.0,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/grafana/rollout-operator/0.49.0/recipe.yaml,packages/grafana/rollout-operator/0.49.0,recipes/grafana/rollout-operator/0.49.0/CATALOG.md,recipes/grafana/rollout-operator/0.49.0/helm-pain-report.yaml
83,next80-proof-grade,,,haproxytech/kubernetes-ingress,1.52.0,,,proof-grade,not-reviewed-for-production,1,,default,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/haproxytech/kubernetes-ingress/1.52.0/recipe.yaml,packages/haproxytech/kubernetes-ingress/1.52.0,recipes/haproxytech/kubernetes-ingress/1.52.0/CATALOG.md,recipes/haproxytech/kubernetes-ingress/1.52.0/helm-pain-report.yaml
84,next80-proof-grade,,,istio/gateway,1.30.0,,,proof-grade,not-reviewed-for-production,2,,default;controller-default-reviewed,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/istio/gateway/1.30.0/recipe.yaml,packages/istio/gateway/1.30.0,recipes/istio/gateway/1.30.0/CATALOG.md,recipes/istio/gateway/1.30.0/helm-pain-report.yaml
85,next80-proof-grade,,,istio/istiod,1.30.0,,,proof-grade,not-reviewed-for-production,1,,default,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/istio/istiod/1.30.0/recipe.yaml,packages/istio/istiod/1.30.0,recipes/istio/istiod/1.30.0/CATALOG.md,recipes/istio/istiod/1.30.0/helm-pain-report.yaml
86,next80-proof-grade,,,jetstack/cert-manager-csi-driver,v0.14.0,,,proof-grade,not-reviewed-for-production,1,,default,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/jetstack/cert-manager-csi-driver/v0.14.0/recipe.yaml,packages/jetstack/cert-manager-csi-driver/v0.14.0,recipes/jetstack/cert-manager-csi-driver/v0.14.0/CATALOG.md,recipes/jetstack/cert-manager-csi-driver/v0.14.0/helm-pain-report.yaml
87,next80-proof-grade,,,jetstack/trust-manager,v0.22.1,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/jetstack/trust-manager/v0.22.1/recipe.yaml,packages/jetstack/trust-manager/v0.22.1,recipes/jetstack/trust-manager/v0.22.1/CATALOG.md,recipes/jetstack/trust-manager/v0.22.1/helm-pain-report.yaml
88,next80-proof-grade,,,linkerd/linkerd-crds,1.8.0,,,proof-grade,not-reviewed-for-production,1,,default,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/linkerd/linkerd-crds/1.8.0/recipe.yaml,packages/linkerd/linkerd-crds/1.8.0,recipes/linkerd/linkerd-crds/1.8.0/CATALOG.md,recipes/linkerd/linkerd-crds/1.8.0/helm-pain-report.yaml
89,next80-proof-grade,,,minio-operator/tenant,7.1.1,,,proof-grade,not-reviewed-for-production,1,,default,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/minio-operator/tenant/7.1.1/recipe.yaml,packages/minio-operator/tenant/7.1.1,recipes/minio-operator/tenant/7.1.1/CATALOG.md,recipes/minio-operator/tenant/7.1.1/helm-pain-report.yaml
90,next80-proof-grade,,,nats/nack,0.34.0,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/nats/nack/0.34.0/recipe.yaml,packages/nats/nack/0.34.0,recipes/nats/nack/0.34.0/CATALOG.md,recipes/nats/nack/0.34.0/helm-pain-report.yaml
91,next80-proof-grade,,,nats/surveyor,0.20.9,,,proof-grade,not-reviewed-for-production,2,,default;default-reviewed,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/nats/surveyor/0.20.9/recipe.yaml,packages/nats/surveyor/0.20.9,recipes/nats/surveyor/0.20.9/CATALOG.md,recipes/nats/surveyor/0.20.9/helm-pain-report.yaml
92,next80-proof-grade,,,open-telemetry/opentelemetry-operator,0.114.0,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/open-telemetry/opentelemetry-operator/0.114.0/recipe.yaml,packages/open-telemetry/opentelemetry-operator/0.114.0,recipes/open-telemetry/opentelemetry-operator/0.114.0/CATALOG.md,recipes/open-telemetry/opentelemetry-operator/0.114.0/helm-pain-report.yaml
93,next80-proof-grade,,,percona/pg-operator,3.0.0,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/percona/pg-operator/3.0.0/recipe.yaml,packages/percona/pg-operator/3.0.0,recipes/percona/pg-operator/3.0.0/CATALOG.md,recipes/percona/pg-operator/3.0.0/helm-pain-report.yaml
94,next80-proof-grade,,,percona/psmdb-operator,1.22.0,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/percona/psmdb-operator/1.22.0/recipe.yaml,packages/percona/psmdb-operator/1.22.0,recipes/percona/psmdb-operator/1.22.0/CATALOG.md,recipes/percona/psmdb-operator/1.22.0/helm-pain-report.yaml
95,next80-proof-grade,,,rook-release/rook-ceph,v1.19.5,,,proof-grade,not-reviewed-for-production,1,,default,default,default,,,,no-crds (template-baked CRDs; no clean chart toggle yet),recipes/rook-release/rook-ceph/v1.19.5/recipe.yaml,packages/rook-release/rook-ceph/v1.19.5,recipes/rook-release/rook-ceph/v1.19.5/CATALOG.md,recipes/rook-release/rook-ceph/v1.19.5/helm-pain-report.yaml
96,next80-proof-grade,,,rook-release/rook-ceph-cluster,v1.19.5,,,proof-grade,not-reviewed-for-production,1,,default,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/rook-release/rook-ceph-cluster/v1.19.5/recipe.yaml,packages/rook-release/rook-ceph-cluster/v1.19.5,recipes/rook-release/rook-ceph-cluster/v1.19.5/CATALOG.md,recipes/rook-release/rook-ceph-cluster/v1.19.5/helm-pain-report.yaml
97,next80-proof-grade,,,sealed-secrets/sealed-secrets,2.18.6,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/sealed-secrets/sealed-secrets/2.18.6/recipe.yaml,packages/sealed-secrets/sealed-secrets/2.18.6,recipes/sealed-secrets/sealed-secrets/2.18.6/CATALOG.md,recipes/sealed-secrets/sealed-secrets/2.18.6/helm-pain-report.yaml
98,next80-proof-grade,,,velero/velero,12.0.1,,,proof-grade,not-reviewed-for-production,2,,default;no-crds,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/velero/velero/12.0.1/recipe.yaml,packages/velero/velero/12.0.1,recipes/velero/velero/12.0.1/CATALOG.md,recipes/velero/velero/12.0.1/helm-pain-report.yaml
99,next80-proof-grade,,,vm/victoria-logs-single,0.12.5,,,proof-grade,not-reviewed-for-production,1,,default,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/vm/victoria-logs-single/0.12.5/recipe.yaml,packages/vm/victoria-logs-single/0.12.5,recipes/vm/victoria-logs-single/0.12.5/CATALOG.md,recipes/vm/victoria-logs-single/0.12.5/helm-pain-report.yaml
100,next80-proof-grade,,,vm/victoria-metrics-single,0.39.0,,,proof-grade,not-reviewed-for-production,2,,default;default-reviewed,default,default,,,,— (no open gap: recommended capabilities built or n/a; quirks modeled — Level 2),recipes/vm/victoria-metrics-single/0.39.0/recipe.yaml,packages/vm/victoria-metrics-single/0.39.0,recipes/vm/victoria-metrics-single/0.39.0/CATALOG.md,recipes/vm/victoria-metrics-single/0.39.0/helm-pain-report.yaml
